|6.6.6
mars_bf97_2.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wad            Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        17.3680        100.000        35.4407        4.94572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        17.3612        100.000        35.4486        4.96621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        17.3543        100.000        35.4565        4.98670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        17.3475        100.000        35.4645        5.00720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        17.3406        100.000        35.4724        5.02769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        17.3338        100.000        35.4803        5.04819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        17.3275        100.000        35.4886        5.06866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        17.3205        100.000        35.4971        5.08912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        17.3136        100.000        35.5050        5.10962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        17.3065        100.000        35.5120        5.13021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        17.2996        100.000        35.5199        5.15072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        17.2928        100.000        35.5278        5.17123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        17.2860        100.000        35.5358        5.19175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        17.2792        100.000        35.5437        5.21226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        17.2724        100.000        35.5517        5.23278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        17.2656        100.000        35.5596        5.25331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        17.2587        100.000        35.5676        5.27383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        17.2519        100.000        35.5755        5.29435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        17.2451        100.000        35.5835        5.31488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        17.2383        100.000        35.5915        5.33541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        17.2315        100.000        35.5994        5.35595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        17.2247        100.000        35.6074        5.37648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        17.2179        100.000        35.6154        5.39702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        17.2112        100.000        35.6234        5.41756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        17.2044        100.000        35.6313        5.43810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        17.1976        100.000        35.6393        5.45864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        17.1908        100.000        35.6473        5.47919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        17.1840        100.000        35.6553        5.49974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        17.1772        100.000        35.6633        5.52029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        17.1705        100.000        35.6713        5.54084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        17.1637        100.000        35.6793        5.56139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        17.1569        100.000        35.6873        5.58195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        17.1501        100.000        35.6954        5.60251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        17.1434        100.000        35.7034        5.62307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        17.1366        100.000        35.7114        5.64364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        17.1299        100.000        35.7194        5.66420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        17.1231        100.000        35.7274        5.68477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        17.1049        100.000        35.7516        5.74181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        17.0861        100.000        35.7767        5.80099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        17.0672        100.000        35.8018        5.86019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        17.0484        100.000        35.8269        5.91939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        17.0295        100.000        35.8520        5.97861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        17.0107        100.000        35.8772        6.03785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        16.9919        100.000        35.9023        6.09710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        16.9731        100.000        35.9275        6.15636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        16.9543        100.000        35.9527        6.21563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        16.9354        100.000        35.9778        6.27492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        16.9166        100.000        36.0030        6.33422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        16.8978        100.000        36.0282        6.39354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        16.8790        100.000        36.0535        6.45287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        16.8602        100.000        36.0787        6.51221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        16.8414        100.000        36.1039        6.57157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        16.8226        100.000        36.1292        6.63093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        16.8039        100.000        36.1545        6.69032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        16.7851        100.000        36.1797        6.74971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        16.7663        100.000        36.2050        6.80912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        16.7475        100.000        36.2303        6.86854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        16.7288        100.000        36.2556        6.92797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        16.7100        100.000        36.2810        6.98742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        16.6912        100.000        36.3063        7.04688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        16.8467        100.000        36.0843        6.54757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        16.6984        100.000        36.2935        7.02237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        16.6653        100.000        36.3393        7.12808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        16.7949        100.000        36.1538        6.71135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        16.7679        100.000        36.1910        6.79754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        16.9153        100.000        35.9801        6.32356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        16.8942        100.000        36.0087        6.39028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        16.8732        100.000        36.0373        6.45703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        16.8522        100.000        36.0658        6.52379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        16.8311        100.000        36.0944        6.59058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        1296.56        16.8101        100.000        36.1230        6.65739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        1297.37        16.7891        100.000        36.1517        6.72422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        1298.17        16.7681        100.000        36.1803        6.79107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        1298.97        16.7470        100.000        36.2090        6.85795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        1299.78        16.7260        100.000        36.2376        6.92484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        1300.58        16.7050        100.000        36.2663        6.99176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        1301.38        16.6840        100.000        36.2950        7.05870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        1302.19        16.6630        100.000        36.3237        7.12567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        1302.99        16.6420        100.000        36.3525        7.19265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        1303.79        16.6210        100.000        36.3812        7.25966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        1304.59        16.5999        100.000        36.4100        7.32668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        1305.40        16.5789        100.000        36.4388        7.39373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        1306.20        16.5579        100.000        36.4676        7.46081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        1307.00        16.5369        100.000        36.4964        7.52790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        1307.80        16.5159        100.000        36.5252        7.59501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        1308.61        16.4949        100.000        36.5540        7.66215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        1309.41        16.4740        100.000        36.5829        7.72931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        1310.21        16.4530        100.000        36.6118        7.79649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        1311.01        16.4320        100.000        36.6407        7.86369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
