|6.6.6
mars_ma79_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        301.774                 NaN   100.000        32.2836                 NaN            NaN            NaN            NaN   1.29818                 NaN   10.7997       0.294887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688                 NaN   100.000        32.2840                 NaN            NaN            NaN            NaN   1.29876                 NaN   10.8036       0.291221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564                 NaN   100.000        32.2829                 NaN            NaN            NaN            NaN   1.28995                 NaN   10.7952       0.293325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401                 NaN   100.000        32.2816                 NaN            NaN            NaN            NaN   1.28159                 NaN   10.7845       0.297817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201                 NaN   100.000        32.2795                 NaN            NaN            NaN            NaN   1.26508                 NaN   10.7675       0.303025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963                 NaN   100.000        32.2757                 NaN            NaN            NaN            NaN   1.23844                 NaN   10.7380       0.313588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688                 NaN   100.000        32.2744                 NaN            NaN            NaN            NaN   1.22881                 NaN   10.7279       0.316730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375                 NaN   100.000        32.2733                 NaN            NaN            NaN            NaN   1.22116                 NaN   10.7199       0.319103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025                 NaN   100.000        32.2720                 NaN            NaN            NaN            NaN   1.21149                 NaN   10.7099       0.322186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637                 NaN   100.000        32.2694                 NaN            NaN            NaN            NaN   1.19069                 NaN   10.6945       0.323593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213                 NaN   100.000        32.2676                 NaN            NaN            NaN            NaN   1.17065                 NaN   10.6746       0.329361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752                 NaN   100.000        32.2639                 NaN            NaN            NaN            NaN   1.15082                 NaN   10.6545       0.335082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254                 NaN   100.000        32.2618                 NaN            NaN            NaN            NaN   1.13573                 NaN   10.6387       0.340160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719                 NaN   100.000        32.2597                 NaN            NaN            NaN            NaN   1.11630                 NaN   10.6198       0.345828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149                 NaN   100.000        32.2576                 NaN            NaN            NaN            NaN   1.09704                 NaN   10.6010       0.351017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541                 NaN   100.000        32.2550                 NaN            NaN            NaN            NaN   1.07662                 NaN   10.5806       0.357061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898                 NaN   100.000        32.2524                 NaN            NaN            NaN            NaN   1.05469                 NaN   10.5589       0.363286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219                 NaN   100.000        32.2624                 NaN            NaN            NaN            NaN   1.13252                 NaN   10.6317       0.343625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504                 NaN   100.000        32.2497                 NaN            NaN            NaN            NaN   1.03012                 NaN   10.5334       0.371147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753                 NaN   100.000        32.2484                 NaN            NaN            NaN            NaN   1.01840                 NaN   10.5210       0.375017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967                 NaN   98.8850        31.8590                 NaN            NaN            NaN            NaN  0.540803                 NaN   10.0512        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145                 NaN   98.8581        31.8457                 NaN            NaN            NaN            NaN  0.499642                 NaN   10.0100        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288                 NaN   98.8309        31.8321                 NaN            NaN            NaN            NaN  0.455615                 NaN   9.96668        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395                 NaN   98.8061        31.8199                 NaN            NaN            NaN            NaN  0.417778                 NaN   9.92872        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468                 NaN   98.8927        31.8663                 NaN            NaN            NaN            NaN  0.567086                 NaN   10.0706        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506                 NaN   98.8928        31.8662                 NaN            NaN            NaN            NaN  0.567036                 NaN   10.0703        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510                 NaN   98.7256        31.7802                 NaN            NaN            NaN            NaN  0.285370                 NaN   9.79888        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478                 NaN   98.7064        31.7710                 NaN            NaN            NaN            NaN  0.252960                 NaN   9.76716        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412                 NaN   98.7564        31.7976                 NaN            NaN            NaN            NaN  0.334282                 NaN   9.84557        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312                 NaN   98.6556        31.7462                 NaN            NaN            NaN            NaN  0.166097                 NaN   9.68277        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178                 NaN   98.6240        31.7311                 NaN            NaN            NaN            NaN  0.107894                 NaN   9.62710        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010                 NaN   98.5989        31.7188                 NaN            NaN            NaN            NaN  0.662386E-001            NaN   9.58634        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808                 NaN   98.5727        31.7059                 NaN            NaN            NaN            NaN  0.227403E-001            NaN   9.54380        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572                 NaN   89.0384        22.1787                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303                 NaN   89.0398        22.1806                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000                 NaN   89.0412        22.1825                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663                 NaN   89.0433        22.1852                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294                 NaN   89.0449        22.1873                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891                 NaN   89.0466        22.1897                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456                 NaN   89.0483        22.1918                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988                 NaN   89.0499        22.1939                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487                 NaN   89.0515        22.1961                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953                 NaN   89.0523        22.1971                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        2.42571        86.0134        24.5938                 NaN            NaN            NaN            NaN   2.42571        2.42571        2.42571        2.42571        2.42571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        3.68071        84.4414        25.8354                 NaN            NaN            NaN            NaN   3.68071        3.68071        3.68071        3.68071        3.68071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        5.96371        81.5809        28.0907                 NaN            NaN            NaN            NaN   5.96371        5.96371        5.96371        5.96371        5.96371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        8.12738        78.8688        30.2291                 NaN            NaN            NaN            NaN   8.12738        8.12738        8.12738        8.12738        8.12738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        8.63500        78.2299        30.7329                 NaN            NaN            NaN            NaN   8.63500        8.63500        8.63500        8.63500        8.63500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        8.63315        78.2313        30.7322                 NaN            NaN            NaN            NaN   8.63315        8.63315        8.63315        8.63315        8.63315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        8.62863        78.2343        30.7305                 NaN            NaN            NaN            NaN   8.62863        8.62863        8.62863        8.62863        8.62863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        8.62472        78.2369        30.7289                 NaN            NaN            NaN            NaN   8.62472        8.62472        8.62472        8.62472        8.62472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        8.62015        78.2399        30.7271                 NaN            NaN            NaN            NaN   8.62015        8.62015        8.62015        8.62015        8.62015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        8.61571        78.2428        30.7253                 NaN            NaN            NaN            NaN   8.61571        8.61571        8.61571        8.61571        8.61571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        8.61084        78.2461        30.7233                 NaN            NaN            NaN            NaN   8.61084        8.61084        8.61084        8.61084        8.61084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        8.60622        78.2491        30.7214                 NaN            NaN            NaN            NaN   8.60622        8.60622        8.60622        8.60622        8.60622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        8.60141        78.2521        30.7194                 NaN            NaN            NaN            NaN   8.60141        8.60141        8.60141        8.60141        8.60141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        8.59624        78.2554        30.7171                 NaN            NaN            NaN            NaN   8.59624        8.59624        8.59624        8.59624        8.59624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        8.59062        78.2589        30.7145                 NaN            NaN            NaN            NaN   8.59062        8.59062        8.59062        8.59062        8.59062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        8.58571        78.2622        30.7126                 NaN            NaN            NaN            NaN   8.58571        8.58571        8.58571        8.58571        8.58571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        8.58023        78.2655        30.7100                 NaN            NaN            NaN            NaN   8.58023        8.58023        8.58023        8.58023        8.58023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        8.57483        78.2690        30.7077                 NaN            NaN            NaN            NaN   8.57483        8.57483        8.57483        8.57483        8.57483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        719.811        8.56904        78.2725        30.7050                 NaN            NaN            NaN            NaN   8.56904        8.56904        8.56904        8.56904        8.56904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        8.56318        78.2761        30.7023                 NaN            NaN            NaN            NaN   8.56318        8.56318        8.56318        8.56318        8.56318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        8.52490        78.2940        30.6782                 NaN            NaN            NaN            NaN   8.52490        8.52490        8.52490        8.52490        8.52490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        8.51581        78.2987        30.6731                 NaN            NaN            NaN            NaN   8.51581        8.51581        8.51581        8.51581        8.51581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        743.005        8.50845        78.3029        30.6692                 NaN            NaN            NaN            NaN   8.50845        8.50845        8.50845        8.50845        8.50845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        8.50124        78.3069        30.6654                 NaN            NaN            NaN            NaN   8.50124        8.50124        8.50124        8.50124        8.50124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        8.49003        78.3119        30.6581                 NaN            NaN            NaN            NaN   8.49003        8.49003        8.49003        8.49003        8.49003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        8.48072        78.3165        30.6526                 NaN            NaN            NaN            NaN   8.48072        8.48072        8.48072        8.48072        8.48072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        8.51797        78.3030        30.6802                 NaN            NaN            NaN            NaN   8.51797        8.51797        8.51797        8.51797        8.51797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        771.337        8.46567        78.3244        30.6442                 NaN            NaN            NaN            NaN   8.46567        8.46567        8.46567        8.46567        8.46567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        776.916        8.45465        78.3283        30.6359                 NaN            NaN            NaN            NaN   8.45465        8.45465        8.45465        8.45465        8.45465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        782.466        8.49629        78.3153        30.6690                 NaN            NaN            NaN            NaN   8.49629        8.49629        8.49629        8.49629        8.49629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        787.988        8.48814        78.3197        30.6645                 NaN            NaN            NaN            NaN   8.48814        8.48814        8.48814        8.48814        8.48814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        793.482        8.42869        78.3409        30.6201                 NaN            NaN            NaN            NaN   8.42869        8.42869        8.42869        8.42869        8.42869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        798.947        8.47331        78.3283        30.6569                 NaN            NaN            NaN            NaN   8.47331        8.47331        8.47331        8.47331        8.47331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        804.384        8.46539        78.3326        30.6527                 NaN            NaN            NaN            NaN   8.46539        8.46539        8.46539        8.46539        8.46539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        809.792        8.46115        78.3361        30.6511                 NaN            NaN            NaN            NaN   8.46115        8.46115        8.46115        8.46115        8.46115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        815.173        8.44822        78.3416        30.6429                 NaN            NaN            NaN            NaN   8.44822        8.44822        8.44822        8.44822        8.44822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        820.526        8.44049        78.3461        30.6389                 NaN            NaN            NaN            NaN   8.44049        8.44049        8.44049        8.44049        8.44049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        825.851        8.37351        78.3684        30.5873                 NaN            NaN            NaN            NaN   8.37351        8.37351        8.37351        8.37351        8.37351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        831.148        8.42294        78.3554        30.6290                 NaN            NaN            NaN            NaN   8.42294        8.42294        8.42294        8.42294        8.42294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        836.418        8.41419        78.3600        30.6241                 NaN            NaN            NaN            NaN   8.41419        8.41419        8.41419        8.41419        8.41419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
