|6.6.6
mars_bf97_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        726.010        3500.43        7.90734        4.45938     
  10501.0        729.479        3500.33        7.90634        4.45839     
  10601.0        732.938        3500.23        7.90534        4.45739     
  10701.0        736.388        3500.17        7.90451        4.45647     
  10801.0        739.829        3500.07        7.90354        4.45548     
  10901.0        743.260        3499.89        7.90216        4.45437     
  11001.0        746.681        3499.79        7.90113        4.45336     
  11101.0        750.093        3499.71        7.90029        4.45257     
  11201.0        753.496        3499.62        7.89932        4.45159     
  11301.0        756.889        3499.53        7.89836        4.45062     
  11401.0        760.273        3499.50        7.89763        4.44952     
  11501.0        763.648        3499.43        7.89679        4.44864     
  11601.0        767.013        3499.15        7.89504        4.44760     
  11701.0        770.369        3499.06        7.89405        4.44665     
  11801.0        773.715        3498.99        7.89322        4.44571     
  11901.0        777.052        3498.91        7.89232        4.44477     
  12001.0        780.380        3498.84        7.89142        4.44384     
  12101.0        783.699        3498.64        7.89001        4.44284     
  12201.0        787.009        3498.56        7.88912        4.44191     
  12301.0        790.309        3498.76        7.88939        4.44108     
  12401.0        793.600        3498.69        7.88851        4.44017     
  12501.0        796.882        3498.58        7.88748        4.43918     
  12601.0        800.155        3498.52        7.88664        4.43828     
  12701.0        803.419        3498.36        7.88541        4.43726     
  12801.0        806.673        3498.30        7.88458        4.43634     
  12901.0        809.919        3498.24        7.88376        4.43545     
  13001.0        813.155        3498.10        7.88258        4.43446     
  13101.0        816.382        3497.86        7.88108        4.43358     
  13201.0        819.601        3497.76        7.88010        4.43265     
  13301.0        822.810        3497.69        7.87922        4.43174     
  13401.0        826.010        3497.61        7.87835        4.43083     
  13501.0        829.201        3497.54        7.87748        4.42993     
  13601.0        832.384        3497.47        7.87662        4.42903     
  13701.0        835.557        3497.44        7.87599        4.42827     
  13801.0        838.722        3497.65        7.87627        4.42749     
  13901.0        841.877        3497.59        7.87549        4.42662     
  14001.0        845.024        3497.39        7.87412        4.42572     
  14101.0        848.161        3497.32        7.87327        4.42484     
  14201.0        851.290        3497.24        7.87236        4.42394     
  14301.0        854.410        3497.17        7.87151        4.42306     
  14401.0        857.522        3497.10        7.87067        4.42219     
  14501.0        860.624        3497.02        7.86976        4.42130     
  14601.0        863.718        3496.95        7.86893        4.42043     
  14701.0        866.803        3496.87        7.86803        4.41954     
  14801.0        869.879        3496.80        7.86720        4.41868     
  14901.0        872.946        3496.89        7.86702        4.41786     
  15001.0        876.005        3496.69        7.86563        4.41695     
  15101.0        879.055        3496.63        7.86481        4.41609     
  15201.0        882.096        3496.00        7.86141        4.41443     
  15301.0        885.129        3495.93        7.86054        4.41356     
  15401.0        888.153        3495.94        7.86008        4.41282     
  15501.0        891.169        3495.75        7.85865        4.41177     
  15601.0        894.175        3495.67        7.85780        4.41091     
  15701.0        897.174        3495.71        7.85746        4.41023     
  15801.0        900.163        3496.49        7.86048        4.41047     
  15901.0        903.144        3496.42        7.85963        4.40962     
  16001.0        906.117        3496.35        7.85880        4.40877     
  16101.0        909.081        3496.29        7.85797        4.40793     
  16201.0        912.037        3496.22        7.85714        4.40709     
  16301.0        914.984        3496.15        7.85632        4.40625     
  16401.0        917.923        3496.09        7.85550        4.40542     
  16501.0        920.853        3496.07        7.85492        4.40467     
  16601.0        923.775        3496.02        7.85415        4.40386     
  16701.0        926.688        3496.15        7.85429        4.40336     
  16801.0        929.593        3496.12        7.85363        4.40258     
  16901.0        932.490        3496.09        7.85297        4.40181     
  17001.0        935.378        3496.06        7.85231        4.40104     
  17101.0        938.258        3496.03        7.85166        4.40027     
  17201.0        941.130        3496.00        7.85102        4.39950     
  17301.0        943.993        3495.96        7.85034        4.39873     
  17401.0        946.848        3495.92        7.84964        4.39795     
  17501.0        949.695        3495.88        7.84894        4.39717     
  17601.0        952.534        3495.84        7.84825        4.39639     
  17701.0        955.364        3495.80        7.84756        4.39562     
  17801.0        958.186        3495.76        7.84685        4.39484     
  17901.0        961.000        3495.73        7.84619        4.39408     
  18001.0        963.806        3495.67        7.84540        4.39327     
  18101.0        966.604        3495.63        7.84474        4.39252     
  18201.0        969.393        3495.58        7.84401        4.39174     
  18301.0        972.175        3495.64        7.84379        4.39114     
  18401.0        974.948        3495.62        7.84320        4.39042     
  18501.0        977.713        3495.61        7.84262        4.38969     
  18601.0        980.470        3495.59        7.84204        4.38897     
  18701.0        983.219        3495.57        7.84146        4.38825     
  18801.0        985.960        3495.56        7.84089        4.38754     
  18901.0        988.693        3495.54        7.84033        4.38683     
  19001.0        991.418        3495.53        7.83977        4.38612     
  19101.0        994.135        3495.52        7.83921        4.38541     
  19201.0        996.845        3495.51        7.83866        4.38471     
  19301.0        999.546        3495.49        7.83808        4.38399     
  19401.0        1002.24        3495.47        7.83748        4.38327     
  19501.0        1004.92        3495.45        7.83688        4.38256     
  19601.0        1007.60        3495.43        7.83629        4.38184     
  19701.0        1010.27        3495.41        7.83571        4.38113     
  19801.0        1012.93        3495.39        7.83513        4.38043     
  19901.0        1015.59        3495.38        7.83455        4.37972     
  20001.0        1018.23        3495.39        7.83414        4.37907     
  20101.0        1020.87        3495.38        7.83359        4.37838     
  20201.0        1023.50        3494.16        7.82721        4.37568     
  20301.0        1026.12        3494.17        7.82678        4.37503     
  20401.0        1028.74        3494.21        7.82642        4.37436     
  20501.0        1031.35        3495.36        7.83153        4.37567     
  20601.0        1033.94        3495.36        7.83103        4.37501     
  20701.0        1036.54        3495.36        7.83052        4.37434     
  20801.0        1039.12        3495.26        7.82962        4.37358     
  20901.0        1041.70        3495.26        7.82915        4.37292     
  21001.0        1044.27        3495.19        7.82830        4.37212     
  21101.0        1046.83        3495.20        7.82785        4.37147     
  21201.0        1049.38        3495.21        7.82740        4.37083     
  21301.0        1051.93        3494.99        7.82586        4.36980     
  21401.0        1054.46        3494.98        7.82532        4.36913     
  21501.0        1056.99        3494.98        7.82479        4.36846     
  21601.0        1059.52        3494.99        7.82437        4.36783     
  21701.0        1062.03        3494.83        7.82312        4.36691     
  21801.0        1064.54        3494.82        7.82255        4.36623     
  21901.0        1067.04        3493.21        7.81436        4.36290     
  22001.0        1069.53        3493.19        7.81375        4.36221     
  22101.0        1072.02        3493.16        7.81313        4.36151     
  22201.0        1074.50        3492.73        7.81055        4.36011     
  22301.0        1076.97        3492.70        7.80990        4.35941     
  22401.0        1079.43        3492.67        7.80926        4.35871     
  22501.0        1081.89        3494.15        7.81598        4.36065     
  22601.0        1084.34        3492.62        7.80805        4.35734     
  22701.0        1086.78        3492.51        7.80703        4.35652     
  22801.0        1089.21        3493.17        7.80969        4.35694     
  22901.0        1091.64        3494.73        7.81672        4.35897     
  23001.0        1094.06        3494.72        7.81618        4.35831     
  23101.0        1096.47        3494.79        7.81605        4.35780     
  23201.0        1098.87        3494.79        7.81554        4.35716     
  23301.0        1101.27        3494.78        7.81503        4.35651     
  23401.0        1103.66        3494.78        7.81452        4.35587     
  23501.0        1106.04        3494.69        7.81358        4.35508     
  23601.0        1108.42        3494.68        7.81305        4.35443     
  23701.0        1110.78        3492.85        7.80371        4.35067     
  23801.0        1113.15        3493.72        7.80750        4.35160     
  23901.0        1115.50        3493.72        7.80701        4.35097     
  24001.0        1117.85        3492.77        7.80186        4.34865     
  24101.0        1120.18        3492.71        7.80111        4.34793     
  24201.0        1122.52        3493.61        7.80496        4.34882     
  24301.0        1124.84        3493.60        7.80441        4.34817     
  24401.0        1127.16        3493.81        7.80496        4.34793     
  24501.0        1129.47        3493.83        7.80454        4.34733     
  24601.0        1131.78        3493.82        7.80401        4.34670     
  24701.0        1134.07        3493.81        7.80350        4.34607     
  24801.0        1136.36        3493.46        7.80127        4.34482     
  24901.0        1138.64        3493.44        7.80071        4.34417     
  25001.0        1140.92        3496.08        7.81313        4.34820     
  25101.0        1143.19        3496.12        7.81282        4.34765     
  25201.0        1145.45        3496.15        7.81252        4.34711     
  25301.0        1147.71        3494.15        7.80207        4.34290     
  25401.0        1149.95        3494.21        7.80189        4.34239     
  25501.0        1152.20        3496.31        7.81184        4.34556     
  25601.0        1154.43        3496.35        7.81158        4.34504     
  25701.0        1156.66        3496.39        7.81130        4.34450     
  25801.0        1158.88        3496.43        7.81098        4.34396     
  25901.0        1161.09        3496.46        7.81068        4.34342     
  26001.0        1163.30        3496.50        7.81038        4.34288     
  26101.0        1165.50        3496.54        7.81008        4.34235     
  26201.0        1167.69        3496.57        7.80978        4.34182     
  26301.0        1169.88        3496.61        7.80949        4.34129     
  26401.0        1172.06        3496.65        7.80921        4.34076     
  26501.0        1174.23        3496.69        7.80893        4.34024     
  26601.0        1176.39        3496.73        7.80865        4.33971     
  26701.0        1178.55        3496.77        7.80837        4.33919     
  26801.0        1180.71        3496.82        7.80810        4.33868     
  26901.0        1182.85        3496.86        7.80784        4.33816     
  27001.0        1184.99        3496.90        7.80758        4.33765     
