|6.6.6
mars_bf97_3.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10001.0        1320.62        3354.96        7.32621        4.10817     
  10101.0        1321.42        3371.28        7.35595        4.13691     
  10201.0        1322.22        3371.52        7.35663        4.13694     
  10301.0        1323.02        3371.76        7.35731        4.13696     
  10401.0        1323.82        3372.00        7.35799        4.13699     
  10501.0        1324.62        3373.10        7.36049        4.13849     
  10601.0        1325.42        3374.36        7.36337        4.14029     
  10701.0        1326.22        3375.67        7.36620        4.14220     
  10801.0        1327.02        3376.89        7.36912        4.14389     
  10901.0        1327.81        3378.15        7.37201        4.14570     
  11001.0        1328.61        3379.42        7.37490        4.14750     
  11101.0        1329.41        3380.69        7.37779        4.14932     
  11201.0        1330.21        3382.94        7.38203        4.15308     
  11301.0        1331.01        3383.22        7.38359        4.15295     
  11401.0        1331.81        3384.48        7.38649        4.15477     
  11501.0        1332.60        3384.81        7.38580        4.15541     
  11601.0        1333.40        3385.05        7.38648        4.15543     
  11701.0        1334.20        3388.28        7.39523        4.16024     
  11801.0        1335.00        3389.55        7.39815        4.16207     
  11901.0        1335.79        3390.81        7.40108        4.16391     
  12001.0        1336.59        3392.08        7.40401        4.16574     
  12101.0        1337.39        3393.34        7.40694        4.16758     
  12201.0        1338.18        3395.74        7.41132        4.17171     
  12301.0        1338.98        3395.88        7.41282        4.17127     
  12401.0        1339.78        3397.14        7.41577        4.17312     
  12501.0        1340.57        3398.45        7.41867        4.17509     
  12601.0        1341.37        3399.68        7.42167        4.17683     
  12701.0        1342.17        3400.94        7.42463        4.17868     
  12801.0        1342.96        3402.21        7.42759        4.18054     
  12901.0        1343.76        3403.48        7.43056        4.18241     
  13001.0        1344.55        3404.75        7.43353        4.18427     
  13101.0        1345.35        3406.01        7.43651        4.18614     
  13201.0        1346.14        3407.28        7.43949        4.18801     
  13301.0        1346.94        3408.55        7.44247        4.18989     
  13401.0        1347.73        3409.91        7.44536        4.19203     
  13501.0        1348.53        3411.14        7.44840        4.19379     
  13601.0        1349.32        3412.58        7.45196        4.19594     
  13701.0        1350.12        3412.81        7.45263        4.19595     
  13801.0        1350.91        3413.04        7.45330        4.19597     
  13901.0        1351.71        3413.27        7.45398        4.19598     
  14001.0        1352.50        3413.51        7.45465        4.19600     
  14101.0        1353.29        3418.50        7.47441        4.20379     
  14201.0        1354.09        3418.73        7.47507        4.20380     
  14301.0        1354.88        3418.96        7.47573        4.20382     
  14401.0        1355.67        3419.19        7.47640        4.20383     
  14501.0        1356.47        3419.42        7.47706        4.20384     
  14601.0        1357.26        3419.65        7.47772        4.20386     
  14701.0        1358.05        3419.88        7.47838        4.20387     
  14801.0        1358.85        3420.11        7.47904        4.20389     
  14901.0        1359.64        3425.10        7.50226        4.21172     
  15001.0        1360.43        3425.33        7.50291        4.21173     
  15101.0        1361.22        3425.55        7.50356        4.21174     
  15201.0        1362.01        3425.78        7.50421        4.21176     
  15301.0        1362.81        3426.12        7.50543        4.21196     
  15401.0        1363.60        3426.49        7.50685        4.21223     
  15501.0        1364.39        3426.79        7.50790        4.21238     
  15601.0        1365.18        3427.13        7.50919        4.21260     
  15701.0        1365.97        3427.60        7.51109        4.21304     
  15801.0        1366.76        3427.97        7.51250        4.21331     
  15901.0        1367.55        3428.34        7.51391        4.21357     
  16001.0        1368.34        3428.71        7.51532        4.21384     
  16101.0        1369.13        3428.99        7.51630        4.21396     
  16201.0        1369.92        3429.35        7.51766        4.21422     
  16301.0        1370.71        3429.71        7.51902        4.21447     
  16401.0        1371.50        3429.55        7.51766        4.21378     
  16501.0        1372.29        3430.34        7.52124        4.21480     
  16601.0        1373.08        3430.58        7.52198        4.21484     
  16701.0        1373.87        3430.92        7.52325        4.21506     
  16801.0        1374.66        3431.27        7.52453        4.21528     
  16901.0        1375.45        3431.61        7.52580        4.21551     
  17001.0        1376.23        3431.95        7.52707        4.21573     
  17101.0        1377.02        3432.29        7.52835        4.21595     
  17201.0        1377.81        3432.64        7.52962        4.21618     
  17301.0        1378.60        3433.10        7.53151        4.21662     
  17401.0        1379.39        3433.44        7.53275        4.21683     
  17501.0        1380.17        3433.77        7.53399        4.21704     
  17601.0        1380.96        3434.02        7.53475        4.21709     
  17701.0        1381.75        3434.36        7.53602        4.21731     
  17801.0        1382.53        3434.70        7.53729        4.21754     
  17901.0        1383.32        3435.04        7.53856        4.21776     
  18001.0        1384.11        3435.38        7.53982        4.21799     
  18101.0        1384.89        3435.79        7.54140        4.21832     
  18201.0        1385.68        3436.12        7.54264        4.21853     
  18301.0        1386.46        3436.46        7.54387        4.21874     
  18401.0        1387.25        3436.79        7.54510        4.21896     
  18501.0        1388.04        3437.13        7.54633        4.21917     
  18601.0        1388.82        3437.43        7.54742        4.21933     
  18701.0        1389.61        3437.77        7.54868        4.21956     
  18801.0        1390.39        3438.11        7.54994        4.21978     
  18901.0        1391.17        3438.46        7.55125        4.22002     
  19001.0        1391.96        3438.80        7.55248        4.22023     
  19101.0        1392.74        3439.13        7.55371        4.22045     
