|6.6.6
mars_kc08_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  3001.00        441.466        60.0742                 NaN   9.10690                 NaN            NaN            NaN   3.80656                 NaN   27.0123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        445.695        60.0751                 NaN   9.10719                 NaN            NaN            NaN   3.80644                 NaN   27.0112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        449.914        60.0760                 NaN   9.10748                 NaN            NaN            NaN   3.80630                 NaN   27.0102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        454.121        60.0770                 NaN   9.10775                 NaN            NaN            NaN   3.80623                 NaN   27.0090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        458.318        60.0779                 NaN   9.10804                 NaN            NaN            NaN   3.80608                 NaN   27.0080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        462.503        60.0787                 NaN   9.10833                 NaN            NaN            NaN   3.80594                 NaN   27.0070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        466.678        60.0797                 NaN   9.10862                 NaN            NaN            NaN   3.80580                 NaN   27.0059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        470.842        60.0803                 NaN   9.10893                 NaN            NaN            NaN   3.80561                 NaN   27.0051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        474.994        60.0812                 NaN   9.10921                 NaN            NaN            NaN   3.80534                 NaN   27.0043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        479.136        60.0818                 NaN   9.10952                 NaN            NaN            NaN   3.80498                 NaN   27.0037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        483.267        60.0825                 NaN   9.10984                 NaN            NaN            NaN   3.80479                 NaN   27.0029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        487.388        60.0832                 NaN   9.11014                 NaN            NaN            NaN   3.80452                 NaN   27.0022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        491.497        60.0837                 NaN   9.11045                 NaN            NaN            NaN   3.80414                 NaN   27.0017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        495.596        60.0845                 NaN   9.11077                 NaN            NaN            NaN   3.80410                 NaN   27.0007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        499.683        60.0834                 NaN   9.11111                 NaN            NaN            NaN   3.80357                 NaN   27.0019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        503.761        60.0856                 NaN   9.11138                 NaN            NaN            NaN   3.80341                 NaN   26.9996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        507.827        60.0861                 NaN   9.11174                 NaN            NaN            NaN   3.80313                 NaN   26.9991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        511.883        60.0645                 NaN   9.11295                 NaN            NaN            NaN   3.78528                 NaN   27.0372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
