|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  41952.5        1526.76        3531.24     
  41976.0        1526.92        3531.29     
  41999.5        1527.08        3531.34     
  42023.0        1527.24        3531.40     
  42046.5        1527.39        3531.45     
  42070.0        1527.55        3531.50     
  42093.5        1527.71        3531.55     
  42117.0        1527.86        3531.60     
  42140.5        1528.02        3531.65     
  42164.0        1528.18        3531.70     
  42187.5        1528.34        3531.63     
  42211.0        1528.49        3531.68     
  42234.5        1528.65        3531.73     
  42258.0        1528.81        3531.78     
  42281.5        1528.96        3531.83     
  42305.1        1529.12        3531.88     
  42328.6        1529.28        3531.93     
  42352.1        1529.44        3531.99     
  42375.6        1529.59        3532.04     
  42399.1        1529.75        3532.09     
  42422.6        1529.91        3532.14     
  42446.1        1530.06        3532.19     
  42469.6        1530.22        3532.24     
  42493.1        1530.38        3532.29     
  42516.6        1530.54        3532.34     
  42540.1        1530.69        3532.39     
  42563.6        1530.85        3532.44     
  42587.1        1531.01        3532.49     
  42610.6        1531.16        3532.54     
  42634.1        1531.32        3532.59     
  42657.6        1531.48        3532.64     
  42681.1        1531.64        3532.69     
  42704.6        1531.79        3532.74     
  42728.1        1531.95        3532.80     
  42751.6        1532.11        3532.85     
  42775.1        1532.27        3532.90     
  42798.6        1532.42        3532.95     
  42822.1        1532.58        3533.00     
  42845.6        1532.74        3533.05     
  42869.1        1532.89        3533.10     
  42892.6        1533.05        3533.15     
  42916.1        1533.21        3533.20     
  42939.6        1533.37        3533.25     
  42963.1        1533.52        3533.30     
  42986.6        1533.68        3533.35     
  43010.1        1533.84        3533.40     
  43033.6        1533.99        3533.45     
  43057.1        1534.15        3533.50     
  43080.6        1534.31        3533.55     
  43104.1        1534.47        3533.60     
  43127.6        1534.62        3533.66     
  43151.1        1534.78        3533.71     
  43174.6        1534.94        3533.76     
  43198.1        1535.09        3533.81     
  43221.6        1535.25        3533.86     
  43245.1        1535.41        3533.91     
  43268.6        1535.57        3533.96     
  43292.1        1535.72        3534.01     
  43315.6        1535.88        3534.06     
  43339.1        1536.04        3534.11     
  43362.7        1536.20        3534.16     
  43386.2        1536.35        3534.21     
  43409.7        1536.51        3534.26     
  43433.2        1536.67        3534.31     
  43456.7        1536.82        3534.36     
  43480.2        1536.98        3534.41     
  43503.7        1537.14        3534.46     
  43527.2        1537.30        3534.51     
  43550.7        1537.45        3534.56     
  43574.2        1537.61        3534.62     
  43597.7        1537.77        3534.67     
  43621.2        1537.92        3534.72     
  43644.7        1538.08        3534.77     
  43668.2        1538.24        3534.82     
  43691.7        1538.40        3534.87     
  43715.2        1538.55        3534.92     
  43738.7        1538.71        3534.97     
  43762.2        1538.87        3535.02     
  43785.7        1539.03        3535.07     
  43809.2        1539.18        3535.12     
  43832.7        1539.34        3535.17     
  43856.2        1539.50        3535.22     
  43879.7        1539.65        3535.27     
  43903.2        1539.81        3535.32     
  43926.7        1539.97        3535.37     
  43950.2        1540.13        3535.42     
  43973.7        1540.28        3535.47     
  43997.2        1540.44        3535.52     
  44020.7        1540.60        3535.58     
  44044.2        1540.75        3535.63     
  44067.7        1540.91        3535.68     
  44091.2        1541.07        3535.73     
  44114.7        1541.23        3535.78     
  44138.2        1541.38        3535.83     
  44161.7        1541.54        3535.88     
  44185.2        1541.70        3535.93     
  44208.7        1541.86        3535.98     
  44232.2        1542.01        3536.03     
  44255.7        1542.17        3536.08     
  44279.2        1542.33        3536.13     
  44302.7        1542.48        3536.18     
  44326.2        1542.64        3536.23     
  44349.7        1542.80        3536.28     
  44373.2        1542.96        3536.33     
  44396.8        1543.11        3536.38     
  44420.3        1543.27        3536.43     
  44443.8        1543.43        3536.48     
  44467.3        1543.58        3536.53     
  44490.8        1543.74        3536.58     
  44514.3        1543.90        3536.63     
  44537.8        1544.06        3536.69     
  44561.3        1544.21        3536.74     
  44584.8        1544.37        3536.79     
  44608.3        1544.53        3536.84     
  44631.8        1544.68        3536.89     
  44655.3        1544.84        3536.94     
  44678.8        1545.00        3536.99     
  44702.3        1545.16        3537.04     
  44725.8        1545.31        3537.09     
  44749.3        1545.47        3537.14     
  44772.8        1545.63        3537.19     
  44796.3        1545.79        3537.24     
  44819.8        1545.94        3537.29     
  44843.3        1546.10        3537.34     
  44866.8        1546.26        3537.39     
  44890.3        1546.41        3537.44     
  44913.8        1546.57        3537.49     
  44937.3        1546.73        3537.54     
  44960.8        1546.89        3537.59     
  44984.3        1547.04        3537.64     
  45007.8        1547.20        3537.69     
  45031.3        1547.36        3537.74     
  45054.8        1547.51        3537.79     
  45078.3        1547.67        3537.85     
  45101.8        1547.83        3537.90     
  45125.3        1547.99        3537.95     
  45148.8        1548.14        3538.00     
  45172.3        1548.30        3538.05     
  45195.8        1548.46        3538.10     
  45219.3        1548.61        3538.15     
  45242.8        1548.77        3538.20     
  45266.3        1548.93        3538.25     
  45289.8        1549.09        3538.30     
  45313.3        1549.24        3538.35     
  45336.8        1549.40        3538.40     
  45360.3        1549.56        3538.45     
  45383.8        1549.71        3538.50     
  45407.3        1549.87        3538.55     
  45430.8        1550.03        3538.60     
  45454.4        1550.19        3538.65     
  45477.9        1550.34        3538.70     
  45501.4        1550.50        3538.75     
  45524.9        1550.66        3538.80     
  45548.4        1550.81        3538.85     
  45571.9        1550.97        3538.90     
  45595.4        1551.13        3538.95     
  45618.9        1551.29        3539.00     
  45642.4        1551.44        3539.05     
  45665.9        1551.60        3539.10     
  45689.4        1551.76        3539.15     
  45712.9        1551.91        3539.21     
  45736.4        1552.07        3539.26     
  45759.9        1552.23        3539.31     
  45783.4        1552.39        3539.36     
  45806.9        1552.54        3539.41     
  45830.4        1552.70        3539.46     
  45853.9        1552.86        3539.51     
  45877.4        1553.01        3539.56     
  45900.9        1553.17        3539.61     
  45924.4        1553.33        3539.66     
  45947.9        1553.49        3539.71     
  45971.4        1553.64        3539.76     
  45994.9        1553.80        3539.81     
  46018.4        1553.96        3539.86     
  46041.9        1554.11        3539.91     
  46065.4        1554.27        3539.96     
  46088.9        1554.43        3540.01     
  46112.4        1554.58        3540.06     
  46135.9        1554.74        3540.11     
  46159.4        1554.90        3540.16     
  46182.9        1555.06        3540.21     
  46206.4        1555.21        3540.26     
  46229.9        1555.37        3540.31     
  46253.4        1555.53        3540.36     
  46276.9        1555.68        3540.41     
  46300.4        1555.84        3540.46     
  46323.9        1556.00        3540.51     
  46347.4        1556.16        3540.56     
  46370.9        1556.31        3540.61     
  46394.4        1556.47        3540.66     
  46417.9        1556.63        3540.71     
  46441.4        1556.78        3540.77     
  46464.9        1556.94        3540.82     
  46488.5        1557.10        3540.87     
  46512.0        1557.25        3540.92     
  46535.5        1557.41        3540.97     
  46559.0        1557.57        3541.02     
  46582.5        1557.73        3541.07     
  46606.0        1557.88        3541.12     
  46629.5        1558.04        3541.17     
  46653.0        1558.20        3541.22     
  46676.5        1558.35        3541.27     
  46700.0        1558.51        3541.32     
  46723.5        1558.67        3541.37     
  46747.0        1558.83        3541.42     
  46770.5        1558.98        3541.47     
  46794.0        1559.14        3541.52     
  46817.5        1559.30        3541.57     
  46841.0        1559.45        3541.62     
  46864.5        1559.61        3541.67     
  46888.0        1559.77        3541.72     
  46911.5        1559.92        3541.77     
  46935.0        1560.08        3541.82     
  46958.5        1560.24        3541.87     
  46982.0        1560.40        3541.92     
  47005.5        1560.55        3541.97     
  47029.0        1560.71        3542.02     
  47052.5        1560.87        3542.07     
  47076.0        1561.02        3542.12     
  47099.5        1561.18        3542.17     
  47123.0        1561.34        3542.22     
  47146.5        1561.49        3542.27     
  47170.0        1561.65        3542.32     
  47193.5        1561.81        3542.37     
  47217.0        1561.96        3542.42     
  47240.5        1562.12        3542.47     
  47264.0        1562.28        3542.52     
  47287.5        1562.44        3542.57     
  47311.0        1562.59        3542.63     
  47334.5        1562.75        3542.68     
  47358.0        1562.91        3542.73     
  47381.5        1563.06        3542.78     
  47405.0        1563.22        3542.83     
  47428.5        1563.38        3542.88     
  47452.0        1563.53        3542.93     
  47475.5        1563.69        3542.98     
  47499.0        1563.85        3543.03     
  47522.5        1564.00        3543.08     
  47546.1        1564.16        3543.13     
  47569.6        1564.32        3543.18     
  47593.1        1564.48        3543.23     
  47616.6        1564.63        3543.28     
  47640.1        1564.79        3543.33     
  47663.6        1564.95        3543.38     
  47687.1        1565.10        3543.43     
  47710.6        1565.26        3543.48     
  47734.1        1565.42        3543.53     
  47757.6        1565.57        3543.58     
  47781.1        1565.73        3543.63     
  47804.6        1565.89        3543.68     
  47828.1        1566.04        3543.73     
  47851.6        1566.20        3543.78     
  47875.1        1566.36        3543.83     
  47898.6        1566.51        3543.88     
  47922.1        1566.67        3543.93     
  47945.6        1566.83        3543.98     
  47969.1        1566.98        3544.03     
  47992.6        1567.14        3544.08     
  48016.1        1567.30        3544.13     
  48039.6        1567.46        3544.18     
  48063.1        1567.61        3544.23     
  48086.6        1567.77        3544.28     
  48110.1        1567.93        3544.33     
  48133.6        1568.08        3544.38     
  48157.1        1568.24        3544.43     
  48180.6        1568.40        3544.48     
  48204.1        1568.55        3544.53     
  48227.6        1568.71        3544.58     
  48251.1        1568.87        3544.63     
  48274.6        1569.02        3544.68     
  48298.1        1569.18        3544.73     
  48321.6        1569.34        3544.78     
  48345.1        1569.49        3544.83     
  48368.6        1569.65        3544.88     
  48392.1        1569.81        3544.93     
  48415.6        1569.96        3544.98     
  48439.1        1570.12        3545.03     
  48462.6        1570.28        3545.08     
  48486.1        1570.43        3545.13     
  48509.6        1570.59        3545.18     
  48533.1        1570.75        3545.23     
  48556.6        1570.90        3545.28     
  48580.2        1571.06        3545.33     
  48603.7        1571.22        3545.38     
  48627.2        1571.37        3545.43     
  48650.7        1571.53        3545.48     
  48674.2        1571.69        3545.53     
  48697.7        1571.84        3545.58     
  48721.2        1572.00        3545.63     
  48744.7        1572.16        3545.69     
  48768.2        1572.31        3545.74     
  48791.7        1572.47        3545.79     
  48815.2        1572.63        3545.84     
  48838.7        1572.78        3545.89     
  48862.2        1572.94        3545.94     
  48885.7        1573.10        3545.99     
  48909.2        1573.25        3546.04     
  48932.7        1573.41        3546.09     
  48956.2        1573.57        3546.14     
  48979.7        1573.72        3546.19     
  49003.2        1573.88        3546.24     
  49026.7        1574.04        3546.29     
  49050.2        1574.19        3546.34     
  49073.7        1574.35        3546.39     
  49097.2        1574.51        3546.44     
  49120.7        1574.66        3546.49     
  49144.2        1574.82        3546.54     
  49167.7        1574.98        3546.59     
  49191.2        1575.13        3546.64     
  49214.7        1575.29        3546.69     
  49238.2        1575.45        3546.74     
  49261.7        1575.60        3546.79     
  49285.2        1575.76        3546.84     
  49308.7        1575.92        3546.89     
  49332.2        1576.07        3546.94     
  49355.7        1576.23        3546.99     
  49379.2        1576.38        3547.04     
  49402.7        1576.54        3547.09     
  49426.2        1576.70        3547.14     
  49449.7        1576.85        3547.19     
  49473.2        1577.01        3547.24     
  49496.7        1577.17        3547.29     
  49520.2        1577.32        3547.34     
  49543.7        1577.48        3547.39     
  49567.2        1577.64        3547.44     
  49590.7        1577.79        3547.49     
  49614.3        1577.95        3547.54     
  49637.8        1578.11        3547.59     
  49661.3        1578.26        3547.64     
  49684.8        1578.42        3547.69     
  49708.3        1578.58        3547.74     
  49731.8        1578.73        3547.79     
  49755.3        1578.89        3547.84     
  49778.8        1579.04        3547.89     
  49802.3        1579.20        3547.94     
  49825.8        1579.36        3547.99     
  49849.3        1579.51        3548.04     
  49872.8        1579.67        3548.08     
  49896.3        1579.83        3548.13     
  49919.8        1579.98        3548.18     
  49943.3        1580.14        3548.23     
  49966.8        1580.30        3548.28     
  49990.3        1580.45        3548.33     
  50013.8        1580.61        3548.38     
  50037.3        1580.77        3548.43     
  50060.8        1580.92        3548.48     
  50084.3        1581.08        3548.53     
  50107.8        1581.23        3548.58     
  50131.3        1581.39        3548.63     
  50154.8        1581.55        3548.68     
  50178.3        1581.70        3548.73     
  50201.8        1581.86        3548.78     
  50225.3        1582.02        3548.83     
  50248.8        1582.17        3548.88     
  50272.3        1582.33        3548.93     
  50295.8        1582.48        3548.98     
  50319.3        1582.64        3549.03     
  50342.8        1582.80        3549.08     
  50366.3        1582.95        3549.13     
  50389.8        1583.11        3549.18     
  50413.3        1583.27        3549.23     
  50436.8        1583.42        3549.28     
  50460.3        1583.58        3549.33     
  50483.8        1583.73        3549.39     
  50507.3        1583.89        3549.44     
  50530.8        1584.05        3549.49     
  50554.3        1584.20        3549.54     
  50577.8        1584.36        3549.59     
  50601.3        1584.52        3549.64     
  50624.8        1584.67        3549.69     
  50648.3        1584.83        3549.74     
  50671.9        1584.98        3549.79     
  50695.4        1585.14        3549.84     
  50718.9        1585.30        3549.89     
  50742.4        1585.45        3549.94     
  50765.9        1585.61        3549.99     
  50789.4        1585.76        3550.04     
  50812.9        1585.92        3550.09     
  50836.4        1586.08        3550.14     
  50859.9        1586.23        3550.19     
  50883.4        1586.39        3550.24     
  50906.9        1586.55        3550.29     
  50930.4        1586.70        3550.34     
  50953.9        1586.86        3550.39     
  50977.4        1587.01        3550.44     
  51000.9        1587.17        3550.49     
  51024.4        1587.33        3550.54     
  51047.9        1587.48        3550.59     
  51071.4        1587.64        3550.64     
  51094.9        1587.79        3550.69     
  51118.4        1587.95        3550.74     
  51141.9        1588.11        3550.79     
  51165.4        1588.26        3550.84     
  51188.9        1588.42        3550.89     
  51212.4        1588.57        3550.94     
  51235.9        1588.73        3550.99     
  51259.4        1588.89        3551.04     
  51282.9        1589.04        3551.09     
  51306.4        1589.20        3551.14     
  51329.9        1589.35        3551.19     
  51353.4        1589.51        3551.23     
  51376.9        1589.67        3551.28     
  51400.4        1589.82        3551.33     
  51423.9        1589.98        3551.38     
  51447.4        1590.13        3551.43     
  51470.9        1590.29        3551.48     
  51494.4        1590.45        3551.53     
  51517.9        1590.60        3551.58     
  51541.4        1590.76        3551.63     
  51564.9        1590.91        3551.68     
  51588.4        1591.07        3551.73     
  51611.9        1591.23        3551.78     
  51635.4        1591.38        3551.83     
  51658.9        1591.54        3551.88     
  51682.4        1591.69        3551.93     
  51706.0        1591.85        3551.98     
  51729.5        1592.00        3552.03     
  51753.0        1592.16        3552.08     
  51776.5        1592.32        3552.11     
  51800.0        1592.47        3552.16     
  51823.5        1592.63        3552.21     
  51847.0        1592.78        3552.26     
  51870.5        1592.94        3552.31     
  51894.0        1593.10        3552.36     
  51917.5        1593.25        3552.41     
  51941.0        1593.41        3552.46     
  51964.5        1593.56        3552.51     
  51988.0        1593.72        3552.56     
  52011.5        1593.87        3552.61     
  52035.0        1594.03        3552.66     
  52058.5        1594.19        3552.71     
  52082.0        1594.34        3552.76     
  52105.5        1594.50        3552.81     
  52129.0        1594.65        3552.86     
  52152.5        1594.81        3552.91     
  52176.0        1594.96        3552.96     
  52199.5        1595.12        3553.01     
  52223.0        1595.28        3553.08     
  52246.5        1595.43        3553.13     
  52270.0        1595.59        3553.18     
  52293.5        1595.74        3553.23     
  52317.0        1595.90        3553.28     
  52340.5        1596.05        3553.33     
  52364.0        1596.21        3553.38     
  52387.5        1596.37        3553.43     
  52411.0        1596.52        3553.48     
  52434.5        1596.68        3553.53     
  52458.0        1596.83        3553.58     
  52481.5        1596.99        3553.63     
  52505.0        1597.14        3553.68     
  52528.5        1597.30        3553.73     
  52552.0        1597.45        3553.78     
  52575.5        1597.61        3553.83     
  52599.0        1597.77        3553.88     
  52622.5        1597.92        3553.93     
  52646.0        1598.08        3553.98     
  52669.5        1598.23        3554.03     
  52693.0        1598.39        3554.08     
  52716.5        1598.54        3554.13     
  52740.0        1598.70        3554.18     
  52763.6        1598.85        3554.23     
  52787.1        1599.01        3554.28     
  52810.6        1599.17        3554.33     
  52834.1        1599.32        3554.38     
  52857.6        1599.48        3554.43     
  52881.1        1599.63        3554.48     
  52904.6        1599.79        3554.53     
  52928.1        1599.94        3554.58     
  52951.6        1600.10        3554.63     
  52975.1        1600.25        3554.68     
  52998.6        1600.41        3554.73     
  53022.1        1600.56        3554.78     
  53045.6        1600.72        3554.83     
  53069.1        1600.87        3554.88     
  53092.6        1601.03        3554.93     
  53116.1        1601.19        3554.96     
  53139.6        1601.34        3555.01     
  53163.1        1601.50        3555.06     
  53186.6        1601.65        3555.11     
  53210.1        1601.81        3555.16     
  53233.6        1601.96        3555.21     
  53257.1        1602.12        3555.26     
  53280.6        1602.27        3555.31     
  53304.1        1602.43        3555.36     
  53327.6        1602.58        3555.41     
  53351.1        1602.74        3555.46     
  53374.6        1602.89        3555.51     
  53398.1        1603.05        3555.56     
  53421.6        1603.20        3555.61     
  53445.1        1603.36        3555.66     
  53468.6        1603.51        3555.71     
  53492.1        1603.67        3555.75     
  53515.6        1603.83        3555.80     
  53539.1        1603.98        3555.85     
  53562.6        1604.14        3555.90     
  53586.1        1604.29        3555.95     
  53609.6        1604.45        3556.00     
  53633.1        1604.60        3556.05     
  53656.6        1604.76        3556.10     
  53680.1        1604.91        3556.15     
  53703.6        1605.07        3556.20     
  53727.1        1605.22        3556.25     
  53750.6        1605.38        3556.30     
  53774.1        1605.53        3556.35     
  53797.7        1605.69        3556.40     
  53821.2        1605.84        3556.45     
  53844.7        1606.00        3556.50     
  53868.2        1606.15        3556.52     
  53891.7        1606.31        3556.57     
  53915.2        1606.46        3556.62     
  53938.7        1606.62        3556.67     
  53962.2        1606.77        3556.72     
  53985.7        1606.93        3556.77     
  54009.2        1607.08        3556.82     
  54032.7        1607.24        3556.87     
  54056.2        1607.39        3556.92     
  54079.7        1607.55        3556.97     
  54103.2        1607.70        3557.02     
  54126.7        1607.86        3557.07     
  54150.2        1608.01        3557.12     
  54173.7        1608.17        3557.17     
  54197.2        1608.32        3557.22     
  54220.7        1608.48        3557.27     
  54244.2        1608.63        3557.32     
  54267.7        1608.79        3557.36     
  54291.2        1608.94        3557.41     
  54314.7        1609.10        3557.46     
  54338.2        1609.25        3557.51     
  54361.7        1609.41        3557.56     
  54385.2        1609.56        3557.61     
  54408.7        1609.72        3557.66     
  54432.2        1609.87        3557.71     
  54455.7        1610.03        3557.76     
  54479.2        1610.18        3557.81     
  54502.7        1610.33        3557.86     
  54526.2        1610.49        3557.91     
  54549.7        1610.64        3557.96     
  54573.2        1610.80        3558.01     
  54596.7        1610.95        3558.06     
  54620.2        1611.11        3558.15     
  54643.7        1611.26        3558.20     
  54667.2        1611.42        3558.25     
  54690.7        1611.57        3558.30     
  54714.2        1611.73        3558.35     
  54737.7        1611.88        3558.40     
  54761.2        1612.04        3558.45     
  54784.7        1612.19        3558.50     
  54808.2        1612.35        3558.55     
  54831.7        1612.50        3558.60     
  54855.3        1612.66        3558.65     
  54878.8        1612.81        3558.70     
  54902.3        1612.96        3558.75     
  54925.8        1613.12        3558.80     
  54949.3        1613.27        3558.85     
  54972.8        1613.43        3558.90     
  54996.3        1613.58        3558.95     
  55019.8        1613.74        3559.00     
  55043.3        1613.89        3559.05     
  55066.8        1614.05        3559.10     
  55090.3        1614.20        3559.15     
  55113.8        1614.36        3559.20     
  55137.3        1614.51        3559.25     
  55160.8        1614.66        3559.29     
  55184.3        1614.82        3559.34     
  55207.8        1614.97        3559.39     
  55231.3        1615.13        3559.44     
  55254.8        1615.28        3559.49     
  55278.3        1615.44        3559.54     
  55301.8        1615.59        3559.59     
  55325.3        1615.75        3559.64     
  55348.8        1615.90        3559.69     
  55372.3        1616.05        3559.74     
  55395.8        1616.21        3559.79     
  55419.3        1616.36        3559.84     
  55442.8        1616.52        3559.89     
  55466.3        1616.67        3559.94     
  55489.8        1616.83        3559.99     
  55513.3        1616.98        3560.04     
  55536.8        1617.14        3560.09     
  55560.3        1617.29        3560.14     
  55583.8        1617.44        3560.19     
  55607.3        1617.60        3560.24     
  55630.8        1617.75        3560.29     
  55654.3        1617.91        3560.34     
  55677.8        1618.06        3560.39     
  55701.3        1618.22        3560.44     
  55724.8        1618.37        3560.48     
  55748.3        1618.52        3560.53     
  55771.8        1618.68        3560.58     
  55795.3        1618.83        3560.63     
  55818.8        1618.99        3560.68     
  55842.3        1619.14        3560.73     
  55865.8        1619.29        3560.78     
  55889.4        1619.45        3560.83     
  55912.9        1619.60        3560.88     
  55936.4        1619.76        3560.93     
  55959.9        1619.91        3560.98     
  55983.4        1620.07        3561.02     
  56006.9        1620.22        3561.07     
  56030.4        1620.37        3561.12     
  56053.9        1620.53        3561.17     
  56077.4        1620.68        3561.22     
  56100.9        1620.84        3561.27     
  56124.4        1620.99        3561.32     
  56147.9        1621.14        3561.37     
  56171.4        1621.30        3561.42     
  56194.9        1621.45        3561.47     
  56218.4        1621.61        3561.52     
  56241.9        1621.76        3561.57     
  56265.4        1621.91        3561.62     
  56288.9        1622.07        3561.67     
  56312.4        1622.22        3561.72     
  56335.9        1622.38        3561.77     
  56359.4        1622.53        3561.82     
  56382.9        1622.68        3561.87     
  56406.4        1622.84        3561.92     
  56429.9        1622.99        3561.97     
  56453.4        1623.14        3562.02     
  56476.9        1623.30        3562.07     
  56500.4        1623.45        3562.12     
  56523.9        1623.61        3562.17     
  56547.4        1623.76        3562.21     
  56570.9        1623.91        3562.26     
  56594.4        1624.07        3562.30     
  56617.9        1624.22        3562.35     
  56641.4        1624.38        3562.40     
  56664.9        1624.53        3562.45     
  56688.4        1624.68        3562.50     
  56711.9        1624.84        3562.55     
  56735.4        1624.99        3562.60     
  56758.9        1625.14        3562.65     
  56782.4        1625.30        3562.70     
  56805.9        1625.45        3562.75     
  56829.4        1625.61        3562.80     
  56852.9        1625.76        3562.85     
  56876.4        1625.91        3562.90     
  56899.9        1626.07        3562.95     
  56923.5        1626.22        3563.00     
  56947.0        1626.37        3563.05     
  56970.5        1626.53        3563.10     
  56994.0        1626.68        3563.15     
  57017.5        1626.83        3563.20     
  57041.0        1626.99        3563.24     
  57064.5        1627.14        3563.29     
  57088.0        1627.29        3563.34     
  57111.5        1627.45        3563.39     
  57135.0        1627.60        3563.44     
  57158.5        1627.76        3563.49     
  57182.0        1627.91        3563.54     
  57205.5        1628.06        3563.59     
  57229.0        1628.22        3563.64     
  57252.5        1628.37        3563.69     
  57276.0        1628.52        3563.74     
  57299.5        1628.68        3563.79     
  57323.0        1628.83        3563.84     
  57346.5        1628.98        3563.89     
  57370.0        1629.14        3563.94     
  57393.5        1629.29        3563.99     
  57417.0        1629.44        3564.04     
  57440.5        1629.60        3564.09     
  57464.0        1629.75        3564.14     
  57487.5        1629.90        3564.19     
  57511.0        1630.06        3564.24     
  57534.5        1630.21        3564.29     
  57558.0        1630.36        3564.34     
  57581.5        1630.52        3564.39     
  57605.0        1630.67        3564.44     
  57628.5        1630.82        3564.48     
  57652.0        1630.98        3564.53     
  57675.5        1631.13        3564.58     
  57699.0        1631.28        3564.63     
  57722.5        1631.44        3564.68     
  57746.0        1631.59        3564.73     
  57769.5        1631.74        3564.78     
  57793.0        1631.90        3564.83     
  57816.5        1632.05        3564.88     
  57840.0        1632.20        3564.93     
  57863.5        1632.35        3564.98     
  57887.0        1632.51        3565.03     
  57910.5        1632.66        3565.08     
  57934.0        1632.81        3565.13     
  57957.5        1632.97        3565.18     
  57981.1        1633.12        3565.23     
  58004.6        1633.27        3565.28     
  58028.1        1633.43        3565.33     
  58051.6        1633.58        3565.38     
  58075.1        1633.73        3565.43     
  58098.6        1633.89        3565.48     
  58122.1        1634.04        3565.53     
  58145.6        1634.19        3565.58     
  58169.1        1634.34        3565.62     
  58192.6        1634.50        3565.67     
  58216.1        1634.65        3565.72     
  58239.6        1634.80        3565.77     
  58263.1        1634.96        3565.82     
  58286.6        1635.11        3565.87     
  58310.1        1635.26        3565.92     
  58333.6        1635.41        3565.97     
  58357.1        1635.57        3566.02     
  58380.6        1635.72        3566.07     
  58404.1        1635.87        3566.12     
  58427.6        1636.03        3566.17     
  58451.1        1636.18        3566.22     
  58474.6        1636.33        3566.27     
  58498.1        1636.48        3566.32     
  58521.6        1636.64        3566.37     
  58545.1        1636.79        3566.42     
  58568.6        1636.94        3566.47     
  58592.1        1637.10        3566.52     
  58615.6        1637.25        3566.57     
  58639.1        1637.40        3566.62     
  58662.6        1637.55        3566.67     
  58686.1        1637.71        3566.72     
  58709.6        1637.86        3566.76     
  58733.1        1638.01        3566.81     
  58756.6        1638.16        3566.86     
  58780.1        1638.32        3566.91     
  58803.6        1638.47        3566.96     
  58827.1        1638.62        3567.01     
  58850.6        1638.77        3567.06     
  58874.1        1638.93        3567.11     
  58897.6        1639.08        3567.16     
  58921.1        1639.23        3567.21     
  58944.6        1639.38        3567.26     
  58968.1        1639.54        3567.31     
  58991.6        1639.69        3567.36     
  59015.2        1639.84        3567.41     
  59038.7        1639.99        3567.46     
  59062.2        1640.15        3567.51     
  59085.7        1640.30        3567.56     
  59109.2        1640.45        3567.61     
  59132.7        1640.60        3567.66     
  59156.2        1640.76        3567.71     
  59179.7        1640.91        3567.76     
  59203.2        1641.06        3567.81     
  59226.7        1641.21        3567.85     
  59250.2        1641.37        3567.94     
  59273.7        1641.52        3567.99     
  59297.2        1641.67        3568.04     
  59320.7        1641.82        3568.09     
  59344.2        1641.97        3568.14     
  59367.7        1642.13        3568.19     
  59391.2        1642.28        3568.24     
  59414.7        1642.43        3568.29     
  59438.2        1642.58        3568.34     
  59461.7        1642.74        3568.39     
  59485.2        1642.89        3568.44     
  59508.7        1643.04        3568.49     
  59532.2        1643.19        3568.53     
  59555.7        1643.34        3568.58     
  59579.2        1643.50        3568.63     
  59602.7        1643.65        3568.68     
  59626.2        1643.80        3568.73     
  59649.7        1643.95        3568.78     
  59673.2        1644.11        3568.83     
  59696.7        1644.26        3568.88     
  59720.2        1644.41        3568.93     
  59743.7        1644.56        3568.98     
  59767.2        1644.71        3569.03     
  59790.7        1644.87        3569.08     
  59814.2        1645.02        3569.13     
  59837.7        1645.17        3569.18     
  59861.2        1645.32        3569.23     
  59884.7        1645.47        3569.24     
  59908.2        1645.62        3569.29     
  59931.7        1645.78        3569.34     
  59955.2        1645.93        3569.39     
  59978.7        1646.08        3569.44     
  60002.2        1646.23        3569.49     
  60025.7        1646.38        3569.54     
  60049.2        1646.54        3569.58     
  60072.8        1646.69        3569.63     
  60096.3        1646.84        3569.68     
  60119.8        1646.99        3569.73     
  60143.3        1647.14        3569.78     
  60166.8        1647.30        3569.83     
  60190.3        1647.45        3569.88     
  60213.8        1647.60        3569.93     
  60237.3        1647.75        3569.98     
  60260.8        1647.90        3570.04     
  60284.3        1648.05        3570.09     
  60307.8        1648.21        3570.14     
  60331.3        1648.36        3570.18     
  60354.8        1648.51        3570.23     
  60378.3        1648.66        3570.28     
  60401.8        1648.81        3570.33     
  60425.3        1648.96        3570.38     
  60448.8        1649.12        3570.43     
  60472.3        1649.27        3570.48     
  60495.8        1649.42        3570.53     
  60519.3        1649.57        3570.58     
  60542.8        1649.72        3570.63     
  60566.3        1649.87        3570.68     
  60589.8        1650.02        3570.73     
  60613.3        1650.18        3570.78     
  60636.8        1650.33        3570.83     
  60660.3        1650.48        3570.88     
  60683.8        1650.63        3570.93     
  60707.3        1650.78        3570.98     
  60730.8        1650.93        3571.03     
  60754.3        1651.08        3571.08     
  60777.8        1651.24        3571.11     
  60801.3        1651.39        3571.16     
  60824.8        1651.54        3571.20     
  60848.3        1651.69        3571.25     
  60871.8        1651.84        3571.30     
  60895.3        1651.99        3571.35     
  60918.8        1652.14        3571.40     
  60942.3        1652.29        3571.45     
  60965.8        1652.45        3571.50     
  60989.3        1652.60        3571.55     
  61012.8        1652.75        3571.60     
  61036.3        1652.90        3571.68     
  61059.8        1653.05        3571.73     
  61083.3        1653.20        3571.78     
  61106.9        1653.35        3571.83     
  61130.4        1653.50        3571.88     
  61153.9        1653.66        3571.93     
