|6.6.6
mars_s99_2.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          15
P(bar)         T(K)           Pl             O              Cpx            qtz            Opx            Gt             C2/c           Wad            Ring           st             Pv             Wus            ca-pv         
  2101.00        1257.08        14.0487        43.6904        6.58558                 NaN   35.6754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        14.0152        43.6795        6.61383                 NaN   35.6914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        13.9957        43.6737        6.62963                 NaN   35.7010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        13.9761        43.6679        6.64544                 NaN   35.7105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        13.9565        43.6622        6.66125                 NaN   35.7201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        13.9369        43.6564        6.67706                 NaN   35.7297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        13.9173        43.6506        6.69288                 NaN   35.7392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        13.8978        43.6448        6.70869                 NaN   35.7488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        13.9246        43.6560        6.68329                 NaN   35.7361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        13.9086        43.6515        6.69593                 NaN   35.7440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        13.8926        43.6470        6.70856                 NaN   35.7518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        13.8766        43.6425        6.72120                 NaN   35.7597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        13.8417        43.6311        6.75061                 NaN   35.7766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        13.8249        43.6263        6.76401                 NaN   35.7848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        13.8080        43.6215        6.77742                 NaN   35.7931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        13.7912        43.6166        6.79082                 NaN   35.8014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        13.5747        43.5394        6.97942                 NaN   35.9065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        13.5502        43.5318        6.99959                 NaN   35.9184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        13.5257        43.5241        7.01977                 NaN   35.9304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        13.5011        43.5165        7.03995                 NaN   35.9424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        13.6623        43.5761        6.89752                 NaN   35.8641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        13.6365        43.5679        6.91895                 NaN   35.8767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        13.6106        43.5598        6.94039                 NaN   35.8892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        13.5847        43.5516        6.96183                 NaN   35.9018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        13.5992        43.5583        6.94741                 NaN   35.8951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        13.5779        43.5518        6.96484                 NaN   35.9055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        13.5565        43.5452        6.98228                 NaN   35.9160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        13.5351        43.5387        6.99971                 NaN   35.9264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        13.5138        43.5322        7.01715                 NaN   35.9368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        13.4924        43.5257        7.03459                 NaN   35.9473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        13.4711        43.5192        7.05203                 NaN   35.9577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        13.4187        43.5011        7.09696                 NaN   35.9832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        13.4093        43.4991        7.10391                 NaN   35.9877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        13.4070        43.4996        7.10437                 NaN   35.9890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        13.3857        43.4930        7.12182                 NaN   35.9995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        13.3643        43.4865        7.13927                 NaN   36.0099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        13.3430        43.4799        7.15673                 NaN   36.0204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        13.3216        43.4734        7.17418                 NaN   36.0308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        13.3003        43.4668        7.19164                 NaN   36.0412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        13.2789        43.4603        7.20910                 NaN   36.0517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        13.2576        43.4537        7.22656                 NaN   36.0621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        13.2362        43.4472        7.24402                 NaN   36.0726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        13.2149        43.4406        7.26148                 NaN   36.0830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        13.1935        43.4340        7.27895                 NaN   36.0935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        12.2239        43.0830        8.09061                 NaN   36.6025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        12.1697        43.0645        8.13562                 NaN   36.6302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        12.1156        43.0459        8.18063                 NaN   36.6579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        12.0614        43.0274        8.22565                 NaN   36.6856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        12.7831        43.2908        7.63258                 NaN   36.2935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        1296.56        12.9554        43.3546        7.48030                 NaN   36.2097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        1297.37        12.9154        43.3412        7.51416                 NaN   36.2293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        1298.17        12.8754        43.3278        7.54803                 NaN   36.2488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        1298.97        12.8353        43.3144        7.58190                 NaN   36.2684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        1299.78        12.7953        43.3010        7.61578                 NaN   36.2879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        1300.58        12.7553        43.2876        7.64967                 NaN   36.3074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        1301.38        12.7153        43.2742        7.68356                 NaN   36.3270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        1302.19        12.6752        43.2608        7.71746                 NaN   36.3465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        1302.99        12.6352        43.2473        7.75136                 NaN   36.3661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        1303.79        12.5952        43.2339        7.78527                 NaN   36.3856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        1304.59        12.5551        43.2205        7.81919                 NaN   36.4052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        1305.40        12.5151        43.2070        7.85311                 NaN   36.4248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        1306.20        12.4751        43.1936        7.88704                 NaN   36.4443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        1307.00        12.4350        43.1801        7.92098                 NaN   36.4639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        1307.80        12.3950        43.1667        7.95493                 NaN   36.4834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        1308.61        12.3549        43.1532        7.98888                 NaN   36.5030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        1309.41        12.3149        43.1397        8.02283                 NaN   36.5226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        1310.21        12.2748        43.1262        8.05679                 NaN   36.5421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        1311.01        12.2348        43.1127        8.09076                 NaN   36.5617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        1311.81        12.1947        43.0993        8.12474                 NaN   36.5813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        1312.61        12.1547        43.0858        8.15872                 NaN   36.6009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        1313.41        12.1146        43.0723        8.19271                 NaN   36.6204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        1314.22        12.0746        43.0587        8.22670                 NaN   36.6400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        1315.02        12.0345        43.0452        8.26070                 NaN   36.6596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        1315.82        11.9944        43.0317        8.29471                 NaN   36.6792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        1316.62        11.9544        43.0182        8.32872                 NaN   36.6987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        1317.42        11.9143        43.0046        8.36274                 NaN   36.7183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        1318.22        11.8742        42.9911        8.39677                 NaN   36.7379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        1319.02        11.8342        42.9775        8.43080                 NaN   36.7575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        1319.82        11.7941        42.9640        8.46484                 NaN   36.7771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        1320.62        11.7540        42.9504        8.49889                 NaN   36.7967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        1321.42        11.7139        42.9369        8.53294                 NaN   36.8163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        1322.22        11.6739        42.9233        8.56700                 NaN   36.8359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        1323.02        11.6338        42.9097        8.60106                 NaN   36.8555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        1323.82        11.5937        42.8961        8.63513                 NaN   36.8751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        1324.62        11.5536        42.8825        8.66921                 NaN   36.8947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        1325.42        11.5135        42.8689        8.70329                 NaN   36.9143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        1326.22        11.4734        42.8553        8.73738                 NaN   36.9339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        1327.02        11.1938        42.7541        8.96417                 NaN   37.0879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        1327.81        11.2047        42.7591        8.95729                 NaN   37.0789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        1328.61        11.2156        42.7641        8.95041                 NaN   37.0699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        1329.41        11.2264        42.7691        8.94353                 NaN   37.0609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        1330.21        11.2372        42.7742        8.93667                 NaN   37.0519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        1331.01        10.6491        42.5598        9.42240                 NaN   37.3687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        1331.81        10.7334        42.5917        9.35515                 NaN   37.3198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        1332.60        10.8176        42.6236        9.28794                 NaN   37.2709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        1333.40        10.9018        42.6554        9.22076                 NaN   37.2220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        1334.20        10.9859        42.6873        9.15362                 NaN   37.1732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        1335.00        10.7623        42.6063        9.33018                 NaN   37.3011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11901.0        1335.79        10.6712        42.5740        9.40542                 NaN   37.3494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12001.0        1336.59        10.5801        42.5416        9.48069                 NaN   37.3976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12101.0        1337.39        10.4890        42.5091        9.55598                 NaN   37.4459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12201.0        1338.18        10.3979        42.4767        9.63129                 NaN   37.4942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12301.0        1338.98        10.3067        42.4442        9.70662                 NaN   37.5424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12401.0        1339.78        10.2155        42.4118        9.78197                 NaN   37.5907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12501.0        1340.57        10.3213        42.4516        9.69867                 NaN   37.5285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12601.0        1341.37        10.1687        42.3966        9.82352                 NaN   37.6112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12701.0        1342.17        10.0160        42.3415        9.94845                 NaN   37.6940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12801.0        1342.96        9.86332        42.2864        10.0735                 NaN   37.7769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12901.0        1343.76        10.5422        42.5366        9.52826                 NaN   37.3929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13001.0        1344.55        10.4407        42.5003        9.61197                 NaN   37.4470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13101.0        1345.35        10.3391        42.4640        9.69571                 NaN   37.5011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13201.0        1346.14        10.2375        42.4277        9.77950                 NaN   37.5553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13301.0        1346.94        10.1359        42.3913        9.86331                 NaN   37.6094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13401.0        1347.73        10.0343        42.3550        9.94717                 NaN   37.6636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13501.0        1348.53        9.93265        42.3185        10.0311                 NaN   37.7177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13601.0        1349.32        9.83096        42.2821        10.1150                 NaN   37.7719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13701.0        1350.12        9.72924        42.2457        10.1990                 NaN   37.8261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13801.0        1350.91        9.62749        42.2092        10.2830                 NaN   37.8804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13901.0        1351.71        9.52571        42.1727        10.3670                 NaN   37.9346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14001.0        1352.50        9.42390        42.1362        10.4511                 NaN   37.9889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14101.0        1353.29        9.32206        42.0996        10.5352                 NaN   38.0432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14201.0        1354.09        9.22019        42.0630        10.6193                 NaN   38.0974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14301.0        1354.88        9.11829        42.0264        10.7035                 NaN   38.1518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14401.0        1355.67        9.01636        41.9898        10.7877                 NaN   38.2061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14501.0        1356.47        8.91440        41.9532        10.8720                 NaN   38.2604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14601.0        1357.26        8.81241        41.9165        10.9563                 NaN   38.3148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14701.0        1358.05        8.71039        41.8798        11.0406                 NaN   38.3692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14801.0        1358.85        8.60834        41.8431        11.1250                 NaN   38.4236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14901.0        1359.64        6.69319        41.1374        12.6285                 NaN   39.5409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15001.0        1360.43        6.90527        41.2165        12.4684                 NaN   39.4098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15101.0        1361.22        7.11708        41.2955        12.3085                 NaN   39.2789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15201.0        1362.01        7.32864        41.3745        12.1488                 NaN   39.1481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15301.0        1362.81        7.53994        41.4534        11.9892                 NaN   39.0175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15401.0        1363.60        7.34725        41.3831        12.1482                 NaN   39.1215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15501.0        1364.39        6.97458        41.2462        12.4416                 NaN   39.3376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15601.0        1365.18        7.35734        41.3881        12.1612                 NaN   39.0933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15701.0        1365.97        7.53163        41.4536        12.0057                 NaN   39.0091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15801.0        1366.76        7.21868        41.3387        12.2511                 NaN   39.1915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15901.0        1367.55        6.90538        41.2237        12.4969                 NaN   39.3741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16001.0        1368.34        6.59175        41.1085        12.7429                 NaN   39.5569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16101.0        1369.13        7.19305        41.3318        12.2907                 NaN   39.1844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16201.0        1369.92        6.97499        41.2520        12.4638                 NaN   39.3092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16301.0        1370.71        6.75676        41.1721        12.6371                 NaN   39.4341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16401.0        1371.50        6.53837        41.0921        12.8105                 NaN   39.5590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16501.0        1372.29        6.31982        41.0120        12.9841                 NaN   39.6841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16601.0        1373.08        6.10110        40.9318        13.1579                 NaN   39.8093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16701.0        1373.87        5.88221        40.8515        13.3317                 NaN   39.9345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16801.0        1374.66        5.66316        40.7712        13.5058                 NaN   40.0599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16901.0        1375.45        5.44394        40.6907        13.6800                 NaN   40.1853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17001.0        1376.23        5.22456        40.6102        13.8544                 NaN   40.3109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17101.0        1377.02        5.00501        40.5296        14.0289                 NaN   40.4365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17201.0        1377.81        4.78530        40.4489        14.2036                 NaN   40.5623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17301.0        1378.60        3.54577        39.9900        15.1627                 NaN   41.3015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17401.0        1379.39        3.84338        40.1010        14.9527                 NaN   41.1029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17501.0        1380.17        3.62179        40.0194        15.1102                 NaN   41.2486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17601.0        1380.96        3.36563        39.9249        15.3095                 NaN   41.3999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17701.0        1381.75        3.58552        40.0073        15.1536                 NaN   41.2536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17801.0        1382.53        3.22715        39.8749        15.4328                 NaN   41.4651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17901.0        1383.32        2.86832        39.7423        15.7125                 NaN   41.6769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18001.0        1384.11        2.50902        39.6095        15.9925                 NaN   41.8890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18101.0        1384.89        2.14926        39.4765        16.2729                 NaN   42.1013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18201.0        1385.68        1.78903        39.3433        16.5538                 NaN   42.3139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18301.0        1386.46        1.42832        39.2098        16.8350                 NaN   42.5269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18401.0        1387.25        1.06715        39.0761        17.1167                 NaN   42.7400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18501.0        1388.04       0.960783        39.0371        17.1997                 NaN   42.8024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18601.0        1388.82       0.960715        39.0376        17.1999                 NaN   42.8018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18701.0        1389.61       0.960646        39.0381        17.2001                 NaN   42.8012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18801.0        1390.39       0.960578        39.0385        17.2003                 NaN   42.8006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18901.0        1391.17                 NaN   38.6820        17.9760                 NaN   43.3420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19001.0        1391.96                 NaN   38.6825        17.9762                 NaN   43.3413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19101.0        1392.74                 NaN   38.6829        17.9764                 NaN   43.3407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19201.0        1393.53                 NaN   38.6834        17.9766                 NaN   43.3400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19301.0        1394.31                 NaN   38.6838        17.9768                 NaN   43.3394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19401.0        1395.09                 NaN   38.6843        17.9868                 NaN   43.3289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19501.0        1395.88                 NaN   38.6848        17.9928                 NaN   43.3224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19601.0        1396.66                 NaN   38.6853        17.9988                 NaN   43.3159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19701.0        1397.44                 NaN   38.6858        18.0048                 NaN   43.3095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19801.0        1398.22                 NaN   38.6862        18.0107                 NaN   43.3030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
