|6.6.6
mars_s99_2.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          15
P(bar)         T(K)           Pl             O              Cpx            qtz            Opx            Gt             C2/c           Wad            Ring           st             Pv             Wus            ca-pv         
  1.00000        1240.11        14.2706        66.2058        7.44539        12.0782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        14.2697        66.2074        7.44551        12.0774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        14.2688        66.2090        7.44562        12.0766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        14.2679        66.2105        7.44573        12.0759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        14.2669        66.2121        7.44585        12.0751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        14.2443        43.7386        6.43465                 NaN   35.5824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        14.2434        43.7397        6.43477                 NaN   35.5821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        14.2422        43.7401        6.43476                 NaN   35.5829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        14.2413        43.7412        6.43487                 NaN   35.5826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        14.2276        43.7388        6.44543                 NaN   35.5882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        14.2140        43.7353        6.45596                 NaN   35.5948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        14.2004        43.7318        6.46649                 NaN   35.6013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        14.1869        43.7282        6.47702                 NaN   35.6079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        14.1733        43.7247        6.48755                 NaN   35.6144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        14.1597        43.7212        6.49808                 NaN   35.6210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        14.1462        43.7177        6.50862                 NaN   35.6276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        14.1326        43.7141        6.51915                 NaN   35.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        14.1103        43.7073        6.53736                 NaN   35.6451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        14.0354        43.6815        6.60146                 NaN   35.6816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        14.0120        43.6744        6.62060                 NaN   35.6929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        13.9887        43.6673        6.63973                 NaN   35.7043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
