|6.6.6
mars_s99_1.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10001.0        1320.62        3308.59        7.13690        4.05364     
  10101.0        1321.42        3309.13        7.13826        4.05415     
  10201.0        1322.22        3309.66        7.13962        4.05465     
  10301.0        1323.02        3310.20        7.14098        4.05516     
  10401.0        1323.82        3310.73        7.14233        4.05567     
  10501.0        1324.62        3311.26        7.14369        4.05618     
  10601.0        1325.42        3311.80        7.14505        4.05668     
  10701.0        1326.22        3312.33        7.14641        4.05719     
  10801.0        1327.02        3314.54        7.15174        4.06038     
  10901.0        1327.81        3314.72        7.15225        4.06032     
  11001.0        1328.61        3314.89        7.15277        4.06026     
  11101.0        1329.41        3315.07        7.15328        4.06019     
  11201.0        1330.21        3315.25        7.15380        4.06013     
  11301.0        1331.01        3319.60        7.16428        4.06683     
  11401.0        1331.81        3319.27        7.16357        4.06593     
  11501.0        1332.60        3318.93        7.16286        4.06504     
  11601.0        1333.40        3318.60        7.16215        4.06414     
  11701.0        1334.20        3318.27        7.16144        4.06325     
  11801.0        1335.00        3320.08        7.16586        4.06580     
  11901.0        1335.79        3320.96        7.16807        4.06689     
  12001.0        1336.59        3321.85        7.17028        4.06797     
  12101.0        1337.39        3322.74        7.17250        4.06905     
  12201.0        1338.18        3323.62        7.17472        4.07013     
  12301.0        1338.98        3324.51        7.17694        4.07122     
  12401.0        1339.78        3325.39        7.17916        4.07230     
  12501.0        1340.57        3324.91        7.17807        4.07116     
  12601.0        1341.37        3326.22        7.18132        4.07294     
  12701.0        1342.17        3327.53        7.18458        4.07472     
  12801.0        1342.96        3328.84        7.18784        4.07650     
  12901.0        1343.76        3324.38        7.17713        4.06890     
  13001.0        1344.55        3325.34        7.17952        4.07010     
  13101.0        1345.35        3326.29        7.18191        4.07130     
  13201.0        1346.14        3327.25        7.18430        4.07250     
  13301.0        1346.94        3328.21        7.18670        4.07370     
  13401.0        1347.73        3329.16        7.18909        4.07490     
  13501.0        1348.53        3330.12        7.19149        4.07610     
  13601.0        1349.32        3331.07        7.19389        4.07731     
  13701.0        1350.12        3332.03        7.19630        4.07851     
  13801.0        1350.91        3332.98        7.19870        4.07972     
  13901.0        1351.71        3333.94        7.20111        4.08092     
  14001.0        1352.50        3334.89        7.20352        4.08213     
  14101.0        1353.29        3335.85        7.20593        4.08334     
  14201.0        1354.09        3336.80        7.20835        4.08455     
  14301.0        1354.88        3337.75        7.21077        4.08576     
  14401.0        1355.67        3338.71        7.21318        4.08697     
  14501.0        1356.47        3339.66        7.21561        4.08818     
  14601.0        1357.26        3340.62        7.21803        4.08939     
  14701.0        1358.05        3341.57        7.22046        4.09060     
  14801.0        1358.85        3342.52        7.22288        4.09182     
  14901.0        1359.64        3355.95        7.25597        4.11371     
  15001.0        1360.43        3354.74        7.25310        4.11134     
  15101.0        1361.22        3353.53        7.25024        4.10897     
  15201.0        1362.01        3352.33        7.24739        4.10662     
  15301.0        1362.81        3351.13        7.24454        4.10427     
  15401.0        1363.60        3352.70        7.24854        4.10654     
  15501.0        1364.39        3355.51        7.25554        4.11085     
  15601.0        1365.18        3353.09        7.24947        4.10654     
  15701.0        1365.97        3352.17        7.24745        4.10457     
  15801.0        1366.76        3354.56        7.25342        4.10819     
  15901.0        1367.55        3356.96        7.25941        4.11181     
  16001.0        1368.34        3359.35        7.26542        4.11545     
  16101.0        1369.13        3355.49        7.25608        4.10867     
  16201.0        1369.92        3357.23        7.26048        4.11121     
  16301.0        1370.71        3358.97        7.26489        4.11376     
  16401.0        1371.50        3360.72        7.26931        4.11632     
  16501.0        1372.29        3362.46        7.27374        4.11888     
  16601.0        1373.08        3364.20        7.27818        4.12144     
