|6.6.6
mars_t13_ath_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        301.774        5.96596                 NaN   74.1514                 NaN   9.91491                 NaN            NaN            NaN   6.74180        3.22591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        5.89136                 NaN   74.1516                 NaN   9.96558                 NaN            NaN            NaN   6.74134        3.25016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        5.87479                 NaN   74.1527                 NaN   9.97653                 NaN            NaN            NaN   6.74260        3.25340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        5.93236                 NaN   74.1529                 NaN   9.93709                 NaN            NaN            NaN   6.74053        3.23710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        5.93265                 NaN   74.1548                 NaN   9.93638                 NaN            NaN            NaN   6.74422        3.23197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        5.97776                 NaN   74.1596                 NaN   9.90507                 NaN            NaN            NaN   6.75489        3.20264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        5.97841                 NaN   74.1611                 NaN   9.90431                 NaN            NaN            NaN   6.75686        3.19930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        5.97703                 NaN   74.1623                 NaN   9.90496                 NaN            NaN            NaN   6.75803        3.19768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        5.97597                 NaN   74.1638                 NaN   9.90534                 NaN            NaN            NaN   6.75992        3.19500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        5.86170                 NaN   74.1612                 NaN   9.98251                 NaN            NaN            NaN   6.75083        3.24375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        5.84999                 NaN   74.1627                 NaN   9.99044                 NaN            NaN            NaN   6.75343        3.24346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        5.83913                 NaN   74.1655                 NaN   9.99685                 NaN            NaN            NaN   6.75586        3.24268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        5.84126                 NaN   74.1676                 NaN   9.99493                 NaN            NaN            NaN   6.75921        3.23700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        5.83221                 NaN   74.1694                 NaN   10.0006                 NaN            NaN            NaN   6.76198        3.23583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        5.81836                 NaN   74.1709                 NaN   10.0097                 NaN            NaN            NaN   6.76403        3.23702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        5.81098                 NaN   74.1730                 NaN   10.0142                 NaN            NaN            NaN   6.76722        3.23460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        5.79940                 NaN   74.1749                 NaN   10.0217                 NaN            NaN            NaN   6.77015        3.23387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        5.88762                 NaN   74.1725                 NaN   9.96310                 NaN            NaN            NaN   6.76452        3.21231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        5.80522                 NaN   74.1785                 NaN   10.0171                 NaN            NaN            NaN   6.77550        3.22372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        5.83207                 NaN   61.5597                 NaN   10.1441                 NaN            NaN            NaN            NaN   3.25755        19.2066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        5.82112                 NaN   61.5518                 NaN   10.1507                 NaN            NaN            NaN            NaN   3.25182        19.2246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        5.81894                 NaN   61.5451                 NaN   10.1515                 NaN            NaN            NaN            NaN   3.24450        19.2399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        5.80370                 NaN   61.5391                 NaN   10.1612                 NaN            NaN            NaN            NaN   3.24205        19.2539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        5.80612                 NaN   61.5316                 NaN   10.1589                 NaN            NaN            NaN            NaN   3.23260        19.2707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        5.77256                 NaN   61.5102                 NaN   10.1790                 NaN            NaN            NaN            NaN   3.22092        19.3173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        5.80731                 NaN   61.4977                 NaN   10.1544                 NaN            NaN            NaN            NaN   3.19621        19.3444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        5.76592                 NaN   61.5125                 NaN   10.1844                 NaN            NaN            NaN            NaN   3.22276        19.3144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        5.76315                 NaN   61.5072                 NaN   10.1859                 NaN            NaN            NaN            NaN   3.21711        19.3266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        5.67791                 NaN   61.4664                 NaN   10.2385                 NaN            NaN            NaN            NaN   3.20308        19.4142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        5.89931                 NaN   61.4629                 NaN   10.0905                 NaN            NaN            NaN            NaN   3.12813        19.4191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        5.73652                 NaN   61.4690                 NaN   10.2018                 NaN            NaN            NaN            NaN   3.18525        19.4074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        5.79455                 NaN   61.4316                 NaN   10.1580                 NaN            NaN            NaN            NaN   3.12832        19.4875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        5.64260                 NaN   61.4451                 NaN   10.2626                 NaN            NaN            NaN            NaN   3.18921        19.4606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        5.99503                 NaN   61.4833                 NaN   10.0286                 NaN            NaN            NaN            NaN   3.11261        19.3805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        5.65406                 NaN   61.3840                 NaN   10.2478                 NaN            NaN            NaN            NaN   3.12277        19.5913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        5.65889                 NaN   61.4339                 NaN   10.2511                 NaN            NaN            NaN            NaN   3.16920        19.4869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        5.54115                 NaN   61.3485                 NaN   10.3205                 NaN            NaN            NaN            NaN   3.12170        19.6682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        5.62685                 NaN   61.4072                 NaN   10.2701                 NaN            NaN            NaN            NaN   3.15066        19.5453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        5.64269                 NaN   61.3675                 NaN   10.2550                 NaN            NaN            NaN            NaN   3.10530        19.6296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        5.58605                 NaN   61.3495                 NaN   10.2914                 NaN            NaN            NaN            NaN   3.10469        19.6683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        5.63956                 NaN   61.3933                 NaN   10.2611                 NaN            NaN            NaN            NaN   3.12933        19.5767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        5.68488                 NaN   57.2017                 NaN   10.2145                 NaN            NaN            NaN            NaN   1.05384        23.9753                 NaN   1.86979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953        5.68442                 NaN   57.2024                 NaN   10.2146                 NaN            NaN            NaN            NaN   1.05383        23.9749                 NaN   1.86979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        5.72826                 NaN   55.0946                 NaN   10.1768                 NaN            NaN            NaN            NaN            NaN   26.1921                 NaN   2.80826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        5.56767                 NaN   55.0199                 NaN   10.2825                 NaN            NaN            NaN            NaN            NaN   26.3008                 NaN   2.82912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        5.55854                 NaN   55.0294                 NaN   10.2878                 NaN            NaN            NaN            NaN            NaN   26.3054                 NaN   2.81883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        5.53358                 NaN   55.0266                 NaN   10.3040                 NaN            NaN            NaN            NaN            NaN   26.3209                 NaN   2.81489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        5.48818                 NaN   55.0688                 NaN   10.3272                 NaN            NaN            NaN            NaN            NaN   26.3507                 NaN   2.76511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        5.48054                 NaN   55.0185                 NaN   10.3387                 NaN            NaN            NaN            NaN            NaN   26.3539                 NaN   2.80830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        5.46224                 NaN   55.0386                 NaN   10.3486                 NaN            NaN            NaN            NaN            NaN   26.3647                 NaN   2.78589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        5.43979                 NaN   55.0345                 NaN   10.3632                 NaN            NaN            NaN            NaN            NaN   26.3786                 NaN   2.78395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        5.39948                 NaN   55.0228                 NaN   10.3900                 NaN            NaN            NaN            NaN            NaN   26.4044                 NaN   2.78335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        5.38968                 NaN   55.0616                 NaN   10.3920                 NaN            NaN            NaN            NaN            NaN   26.4099                 NaN   2.74685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
