|6.6.6
mars_ma79_2.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wus            Wad            Ring           ca-pv          Pv            
  1.00000        1240.11        20.9828        64.1818        7.46220        7.37314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        20.9634        64.1764        7.47165        7.38855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        20.9440        64.1710        7.48110        7.40396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        20.9245        64.1655        7.49055        7.41937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        20.9051        64.1601        7.50001        7.43478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        20.8857        64.1547        7.50946        7.45020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        20.8663        64.1492        7.51891        7.46561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        20.8476        64.1429        7.52863        7.48092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        20.8281        64.1372        7.53806        7.49668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        20.8080        64.1329        7.54727        7.51186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        20.7886        64.1274        7.55672        7.52728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        20.7691        64.1220        7.56618        7.54270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        20.7497        64.1165        7.57563        7.55812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        20.7303        64.1111        7.58509        7.57354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        20.7109        64.1056        7.59454        7.58896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        20.6915        64.1001        7.60400        7.60438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        20.6721        64.0947        7.61345        7.61981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        20.6526        64.0892        7.62291        7.63523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        20.6332        64.0837        7.63237        7.65066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        20.6138        64.0783        7.64183        7.66609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        20.5944        64.0728        7.65128        7.68152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        20.5750        64.0673        7.66074        7.69695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        20.5556        64.0618        7.67020        7.71238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        20.5362        64.0563        7.67966        7.72781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        20.5168        64.0508        7.68912        7.74324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        20.4974        64.0453        7.69858        7.75868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        20.4780        64.0399        7.70804        7.77411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        20.4586        64.0344        7.71750        7.78955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        20.4392        64.0289        7.72696        7.80498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        20.3575        64.0016        7.77121        7.86966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        20.3469        63.9992        7.77574        7.87812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        20.3364        63.9968        7.78028        7.88658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        20.3258        63.9943        7.78481        7.89504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        20.3153        63.9919        7.78934        7.90351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        20.3047        63.9895        7.79387        7.91197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        20.2941        63.9870        7.79841        7.92044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        20.2836        63.9846        7.80294        7.92890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        19.7609        63.8046        8.07272        8.36173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        19.7601        63.8055        8.07257        8.36178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
