|6.6.6
mars_lf97_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        945.622        3386.88        7.56112        4.27471     
  10501.0        950.290        3387.78        7.56108        4.27544     
  10601.0        954.933        3388.97        7.56293        4.27652     
  10701.0        959.552        3391.05        7.56807        4.27899     
  10801.0        964.146        3392.05        7.56872        4.27990     
  10901.0        968.715        3390.58        7.56337        4.27638     
  11001.0        973.261        3393.35        7.57019        4.28011     
  11101.0        977.781        3394.63        7.57218        4.28137     
  11201.0        982.278        3395.28        7.57258        4.28156     
  11301.0        986.751        3394.47        7.56870        4.27930     
  11401.0        991.199        3396.77        7.57340        4.28231     
  11501.0        995.624        3390.65        7.55779        4.27064     
  11601.0        1000.02        3397.17        7.57205        4.28116     
  11701.0        1004.40        3405.03        7.59160        4.29400     
  11801.0        1008.76        3405.77        7.59233        4.29436     
  11901.0        1013.09        3399.50        7.57450        4.28242     
  12001.0        1017.39        3400.45        7.57581        4.28317     
  12101.0        1021.68        3404.93        7.58647        4.29010     
  12201.0        1025.94        3406.20        7.58860        4.29142     
  12301.0        1030.18        3407.07        7.58954        4.29206     
  12401.0        1034.39        3408.30        7.59160        4.29331     
  12501.0        1038.58        3408.34        7.59059        4.29249     
  12601.0        1042.75        3409.19        7.59171        4.29308     
  12701.0        1046.90        3410.34        7.59357        4.29421     
  12801.0        1051.02        3410.48        7.59269        4.29357     
  12901.0        1055.12        3410.83        7.59406        4.29309     
  13001.0        1059.20        3420.52        7.61713        4.30969     
  13101.0        1063.26        3421.50        7.61862        4.31059     
  13201.0        1067.29        3420.51        7.61469        4.30793     
  13301.0        1071.31        3432.99        7.64895        4.32949     
  13401.0        1075.30        3424.40        7.62342        4.31309     
  13501.0        1079.27        3425.85        7.62630        4.31481     
  13601.0        1083.21        3426.86        7.62790        4.31578     
  13701.0        1087.14        3428.74        7.63188        4.31834     
  13801.0        1091.04        3422.36        7.61393        4.30580     
  13901.0        1094.93        3422.24        7.61271        4.30474     
  14001.0        1098.79        3419.06        7.60274        4.29814     
  14101.0        1102.63        3431.34        7.63609        4.31955     
  14201.0        1106.45        3431.23        7.63489        4.31849     
