|6.6.6
mars_t13_atl_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        283.541        9.19614                 NaN   100.000                 NaN   25.8476                 NaN            NaN            NaN   15.9333        3.22926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        9.18728                 NaN   100.000                 NaN   25.8461                 NaN            NaN            NaN   15.9247        3.23136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        9.17665                 NaN   100.000                 NaN   25.8445                 NaN            NaN            NaN   15.9144        3.23427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        9.16770                 NaN   100.000                 NaN   25.8429                 NaN            NaN            NaN   15.9058        3.23625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        9.16037                 NaN   100.000                 NaN   25.8420                 NaN            NaN            NaN   15.8985        3.23853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        9.15135                 NaN   100.000                 NaN   25.8406                 NaN            NaN            NaN   15.8900        3.24039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        9.14206                 NaN   100.000                 NaN   25.8389                 NaN            NaN            NaN   15.8812        3.24226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        9.13409                 NaN   100.000                 NaN   25.8374                 NaN            NaN            NaN   15.8734        3.24420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        9.12425                 NaN   100.000                 NaN   25.8359                 NaN            NaN            NaN   15.8639        3.24669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        9.15388                 NaN   100.000                 NaN   25.8351                 NaN            NaN            NaN   15.8928        3.23217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        9.14199                 NaN   100.000                 NaN   25.8338                 NaN            NaN            NaN   15.8814        3.23526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        9.13269                 NaN   100.000                 NaN   25.8314                 NaN            NaN            NaN   15.8718        3.23792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        9.11946                 NaN   100.000                 NaN   25.8299                 NaN            NaN            NaN   15.8588        3.24218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        9.15222                 NaN   100.000                 NaN   25.8299                 NaN            NaN            NaN   15.8890        3.23033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        9.14205                 NaN   100.000                 NaN   25.8281                 NaN            NaN            NaN   15.8798        3.23154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        9.12484                 NaN   100.000                 NaN   25.8266                 NaN            NaN            NaN   15.8626        3.23818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        9.10772                 NaN   100.000                 NaN   25.8252                 NaN            NaN            NaN   15.8455        3.24477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        9.13877                 NaN   100.000                 NaN   25.8241                 NaN            NaN            NaN   15.8798        3.22197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        9.10077                 NaN   100.000                 NaN   25.8251                 NaN            NaN            NaN   15.8310        3.26011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        9.08637                 NaN   100.000                 NaN   25.8225                 NaN            NaN            NaN   15.8199        3.25890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        9.08597                 NaN   100.000                 NaN   25.8215                 NaN            NaN            NaN   15.8188        3.25893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        24.9806                 NaN   96.7061                 NaN   35.1187                 NaN            NaN            NaN   24.9806        19.1449        19.1449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        24.9799                 NaN   96.7061                 NaN   35.1180                 NaN            NaN            NaN   24.9799        19.1446        19.1446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        358.069        24.9762                 NaN   96.7066                 NaN   35.1202                 NaN            NaN            NaN   24.9762        19.1500        19.1500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        361.242        24.9761                 NaN   96.7067                 NaN   35.1196                 NaN            NaN            NaN   24.9761        19.1494        19.1494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        364.410        25.0231                 NaN   96.7260                 NaN   35.1553                 NaN            NaN            NaN   25.0231        19.1792        19.1792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        24.9649                 NaN   96.7065                 NaN   35.1256                 NaN            NaN            NaN   24.9649        19.1657        19.1657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        24.9596                 NaN   96.7065                 NaN   35.1288                 NaN            NaN            NaN   24.9596        19.1740        19.1740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        24.9543                 NaN   96.7065                 NaN   35.1320                 NaN            NaN            NaN   24.9543        19.1822        19.1822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        24.9491                 NaN   96.7065                 NaN   35.1352                 NaN            NaN            NaN   24.9491        19.1904        19.1904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        24.9442                 NaN   96.7066                 NaN   35.1385                 NaN            NaN            NaN   24.9442        19.1988        19.1988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        24.9375                 NaN   96.7063                 NaN   35.1419                 NaN            NaN            NaN   24.9375        19.2080        19.2080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        24.9317                 NaN   96.7063                 NaN   35.1453                 NaN            NaN            NaN   24.9317        19.2168        19.2168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        24.9173                 NaN   96.7062                 NaN   35.1580                 NaN            NaN            NaN   24.9173        19.2452        19.2452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
