|6.6.6
mars_ma79_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        283.541                 NaN   67.7150        21.4732                 NaN            NaN            NaN            NaN   1.01784                 NaN   9.50281       0.291159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844                 NaN   67.7165        21.4822                 NaN            NaN            NaN            NaN   1.00398                 NaN   9.50333       0.293990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141                 NaN   67.7182        21.4917                 NaN            NaN            NaN            NaN  0.989254                 NaN   9.50401       0.296909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432                 NaN   67.7197        21.5010                 NaN            NaN            NaN            NaN  0.974853                 NaN   9.50454       0.299865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718                 NaN   67.7207        21.5087                 NaN            NaN            NaN            NaN  0.963461                 NaN   9.50527       0.301918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998                 NaN   67.7224        21.5186                 NaN            NaN            NaN            NaN  0.948178                 NaN   9.50577       0.305114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272                 NaN   67.7241        21.5285                 NaN            NaN            NaN            NaN  0.932855                 NaN   9.50627       0.308309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540                 NaN   67.7256        21.5364                 NaN            NaN            NaN            NaN  0.920396                 NaN   9.50677       0.310822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803                 NaN   67.7272        21.5461                 NaN            NaN            NaN            NaN  0.905408                 NaN   9.50733       0.313896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060                 NaN   67.7240        21.5259                 NaN            NaN            NaN            NaN  0.937159                 NaN   9.50489       0.308018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312                 NaN   67.7251        21.5386                 NaN            NaN            NaN            NaN  0.919104                 NaN   9.50551       0.311688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558                 NaN   67.7278        21.5469                 NaN            NaN            NaN            NaN  0.905105                 NaN   9.50572       0.314488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798                 NaN   67.7297        21.5592                 NaN            NaN            NaN            NaN  0.886400                 NaN   9.50654       0.318241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033                 NaN   67.7255        21.5284                 NaN            NaN            NaN            NaN  0.932384                 NaN   9.50464       0.309064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262                 NaN   67.7275        21.5409                 NaN            NaN            NaN            NaN  0.913339                 NaN   9.50512       0.313124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485                 NaN   67.7296        21.5547                 NaN            NaN            NaN            NaN  0.892249                 NaN   9.50623       0.317235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703                 NaN   67.7317        21.5684                 NaN            NaN            NaN            NaN  0.871194                 NaN   9.50734       0.321342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915                 NaN   67.7280        21.5625                 NaN            NaN            NaN            NaN  0.885021                 NaN   9.50433       0.320144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
