|6.6.6
mars_lf97_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        309.347        10.8839                 NaN   70.3864                 NaN   9.39863                 NaN            NaN            NaN   7.51117        1.81992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        10.7722                 NaN   70.3809                 NaN   9.47564                 NaN            NaN            NaN   7.49673        1.87450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        10.7703                 NaN   70.3832                 NaN   9.47637                 NaN            NaN            NaN   7.49862        1.87156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        10.8749                 NaN   70.3925                 NaN   9.40305                 NaN            NaN            NaN   7.51477        1.81481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        10.8863                 NaN   70.3928                 NaN   9.39503                 NaN            NaN            NaN   7.51318        1.81266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        10.9038                 NaN   70.3974                 NaN   9.38216                 NaN            NaN            NaN   7.52046        1.79620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        10.9314                 NaN   70.4002                 NaN   9.36261                 NaN            NaN            NaN   7.52290        1.78287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        10.9369                 NaN   70.4023                 NaN   9.35834                 NaN            NaN            NaN   7.52426        1.77821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        10.9365                 NaN   70.4040                 NaN   9.35809                 NaN            NaN            NaN   7.52463        1.77675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        10.9306                 NaN   70.4054                 NaN   9.36165                 NaN            NaN            NaN   7.52448        1.77782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        10.9309                 NaN   70.4070                 NaN   9.36130                 NaN            NaN            NaN   7.52529        1.77550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        10.9296                 NaN   70.4098                 NaN   9.36113                 NaN            NaN            NaN   7.52567        1.77383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        10.8915                 NaN   70.4112                 NaN   9.38744                 NaN            NaN            NaN   7.52847        1.78139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        10.7067                 NaN   70.4041                 NaN   9.51358                 NaN            NaN            NaN   7.50927        1.86644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        10.6958                 NaN   70.4060                 NaN   9.52037                 NaN            NaN            NaN   7.51039        1.86741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        10.6850                 NaN   70.4079                 NaN   9.52717                 NaN            NaN            NaN   7.51150        1.86838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        10.6756                 NaN   70.4099                 NaN   9.53301                 NaN            NaN            NaN   7.51271        1.86875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        10.6742                 NaN   70.4106                 NaN   9.53367                 NaN            NaN            NaN   7.51068        1.87084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844        10.6750                 NaN   70.4139                 NaN   9.53245                 NaN            NaN            NaN   7.51524        1.86339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207        10.6743                 NaN   70.4151                 NaN   9.53259                 NaN            NaN            NaN   7.51461        1.86340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        398.559        10.6736                 NaN   70.4163                 NaN   9.53273                 NaN            NaN            NaN   7.51398        1.86341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        402.900        10.7218                 NaN   56.3339                 NaN   9.69235                 NaN            NaN            NaN            NaN   1.89231        21.3596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        407.230        10.7192                 NaN   56.3316                 NaN   9.69367                 NaN            NaN            NaN            NaN   1.88892        21.3666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        411.548        10.7179                 NaN   56.3288                 NaN   9.69402                 NaN            NaN            NaN            NaN   1.88491        21.3743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
