|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  2601.00        424.437        24.9598                 NaN   96.7179                 NaN   35.1596                 NaN            NaN            NaN   24.9598        19.2172        19.2172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        428.711        24.9560                 NaN   96.7195                 NaN   35.1679                 NaN            NaN            NaN   24.9560        19.2331        19.2331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        432.973        24.9484                 NaN   96.7188                 NaN   35.1704                 NaN            NaN            NaN   24.9484        19.2412        19.2412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        437.225        24.9433                 NaN   96.7194                 NaN   35.1759                 NaN            NaN            NaN   24.9433        19.2530        19.2530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        441.466        24.9370                 NaN   96.7197                 NaN   35.1810                 NaN            NaN            NaN   24.9370        19.2646        19.2646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        445.695        24.9317                 NaN   96.7201                 NaN   35.1862                 NaN            NaN            NaN   24.9317        19.2759        19.2759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        449.914        24.9257                 NaN   96.7204                 NaN   35.1912                 NaN            NaN            NaN   24.9257        19.2873        19.2873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        454.121        24.9261                 NaN   96.7217                 NaN   35.1941                 NaN            NaN            NaN   24.9261        19.2918        19.2918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        458.318        24.9119                 NaN   96.7221                 NaN   35.2083                 NaN            NaN            NaN   24.9119        19.3224        19.3224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        462.503        24.9057                 NaN   96.7232                 NaN   35.2173                 NaN            NaN            NaN   24.9057        19.3402        19.3402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        466.678        24.8957                 NaN   96.7260                 NaN   35.2375                 NaN            NaN            NaN   24.8957        19.3784        19.3784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        470.842        24.8876                 NaN   96.7236                 NaN   35.2336                 NaN            NaN            NaN   24.8876        19.3762        19.3762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        474.994        24.9201                 NaN   96.7412                 NaN   35.2724                 NaN            NaN            NaN   24.9201        19.4221        19.4221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        479.136        24.8820                 NaN   96.7282                 NaN   35.2544                 NaN            NaN            NaN   24.8820        19.4128        19.4128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        483.267        24.8668                 NaN   96.7263                 NaN   35.2604                 NaN            NaN            NaN   24.8668        19.4307        19.4307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        487.388        24.8614                 NaN   96.7277                 NaN   35.2699                 NaN            NaN            NaN   24.8614        19.4488        19.4488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        491.497        24.8547                 NaN   96.7287                 NaN   35.2789                 NaN            NaN            NaN   24.8547        19.4669        19.4669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        495.596        24.8431                 NaN   96.7281                 NaN   35.2862                 NaN            NaN            NaN   24.8431        19.4847        19.4847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        499.683        24.8316                 NaN   96.7274                 NaN   35.2934                 NaN            NaN            NaN   24.8316        19.5025        19.5025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        503.761        24.7818                 NaN   96.7194                 NaN   35.3099                 NaN            NaN            NaN   24.7818        19.5562        19.5562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        507.827        24.8922                 NaN   96.7650                 NaN   35.3877                 NaN            NaN            NaN   24.8922        19.6175        19.6175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        511.883        24.8783                 NaN   96.7663                 NaN   35.4049                 NaN            NaN            NaN   24.8783        19.6524        19.6524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        515.927        24.8585                 NaN   96.7653                 NaN   35.4192                 NaN            NaN            NaN   24.8585        19.6857        19.6857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
