|6.6.6
mars_kc08_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        945.622        3447.98        7.75807        4.40218     
  10501.0        950.290        3447.19        7.75357        4.39988     
  10601.0        954.933        3446.87        7.75137        4.39831     
  10701.0        959.552        3446.57        7.74919        4.39674     
  10801.0        964.146        3446.26        7.74703        4.39518     
  10901.0        968.715        3446.18        7.74594        4.39397     
  11001.0        973.261        3446.29        7.74576        4.39306     
  11101.0        977.781        3445.60        7.74173        4.39090     
  11201.0        982.278        3445.00        7.73813        4.38888     
  11301.0        986.751        3444.82        7.73658        4.38755     
  11401.0        991.199        3445.17        7.73758        4.38707     
  11501.0        995.624        3444.89        7.73554        4.38557     
  11601.0        1000.02        3444.07        7.73089        4.38322     
  11701.0        1004.40        3444.31        7.73136        4.38258     
  11801.0        1008.76        3444.10        7.72967        4.38122     
  11901.0        1013.09        3442.80        7.72267        4.37806     
  12001.0        1017.39        3442.89        7.72247        4.37722     
  12101.0        1021.68        3442.65        7.72056        4.37580     
  12201.0        1025.94        3442.04        7.71695        4.37378     
  12301.0        1030.18        3442.47        7.71837        4.37349     
  12401.0        1034.39        3442.43        7.71751        4.37244     
  12501.0        1038.58        3441.40        7.71183        4.36973     
  12601.0        1042.75        3441.42        7.71126        4.36878     
  12701.0        1046.90        3441.17        7.70937        4.36738     
  12801.0        1051.02        3440.86        7.70716        4.36587     
  12901.0        1055.12        3440.61        7.70530        4.36449     
  13001.0        1059.20        3440.94        7.70620        4.36410     
  13101.0        1063.26        3440.16        7.70178        4.36181     
  13201.0        1067.29        3439.86        7.69963        4.36033     
  13301.0        1071.31        3439.62        7.69780        4.35897     
  13401.0        1075.30        3439.41        7.69610        4.35766     
  13501.0        1079.27        3439.17        7.69428        4.35631     
  13601.0        1083.21        3439.10        7.69327        4.35524     
  13701.0        1087.14        3438.88        7.69157        4.35394     
  13801.0        1091.04        3438.71        7.69005        4.35271     
  13901.0        1094.93        3438.49        7.68830        4.35140     
