|6.6.6
mars_bf97_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        283.541        5.55452                 NaN   75.6803                 NaN   10.0375                 NaN            NaN            NaN   5.32954        3.39816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        5.54380                 NaN   75.6818                 NaN   10.0443                 NaN            NaN            NaN   5.32998        3.40012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        5.53063                 NaN   75.6833                 NaN   10.0528                 NaN            NaN            NaN   5.33044        3.40283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        5.51992                 NaN   75.6848                 NaN   10.0597                 NaN            NaN            NaN   5.33096        3.40468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        5.51062                 NaN   75.6857                 NaN   10.0658                 NaN            NaN            NaN   5.33115        3.40680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        5.49992                 NaN   75.6870                 NaN   10.0727                 NaN            NaN            NaN   5.33179        3.40853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        5.48896                 NaN   75.6885                 NaN   10.0798                 NaN            NaN            NaN   5.33245        3.41028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        5.47927                 NaN   75.6900                 NaN   10.0859                 NaN            NaN            NaN   5.33274        3.41210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        5.46726                 NaN   75.6914                 NaN   10.0937                 NaN            NaN            NaN   5.33323        3.41442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        5.50933                 NaN   75.6918                 NaN   10.0653                 NaN            NaN            NaN   5.33260        3.40090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        5.49473                 NaN   75.6930                 NaN   10.0752                 NaN            NaN            NaN   5.33323        3.40377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        5.48314                 NaN   75.6953                 NaN   10.0821                 NaN            NaN            NaN   5.33315        3.40624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        5.46623                 NaN   75.6968                 NaN   10.0932                 NaN            NaN            NaN   5.33357        3.41020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        5.50927                 NaN   75.6964                 NaN   10.0642                 NaN            NaN            NaN   5.33100        3.39917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        5.49794                 NaN   75.6982                 NaN   10.0714                 NaN            NaN            NaN   5.33219        3.40031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        5.47502                 NaN   75.6996                 NaN   10.0865                 NaN            NaN            NaN   5.33239        3.40649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        5.45223                 NaN   75.7011                 NaN   10.1015                 NaN            NaN            NaN   5.33260        3.41262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        5.50257                 NaN   75.7017                 NaN   10.0686                 NaN            NaN            NaN   5.33573        3.39142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        5.43257                 NaN   75.7010                 NaN   10.1141                 NaN            NaN            NaN   5.32541        3.42686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        5.41900                 NaN   75.7035                 NaN   10.1229                 NaN            NaN            NaN   5.32886        3.42574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        5.41859                 NaN   75.7044                 NaN   10.1229                 NaN            NaN            NaN   5.32828        3.42576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        5.41101                 NaN   65.7701                 NaN   10.2379                 NaN            NaN            NaN            NaN   3.45496        15.1261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        5.41059                 NaN   65.7707                 NaN   10.2379                 NaN            NaN            NaN            NaN   3.45498        15.1259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
