|6.6.6
mars_t13_2.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          14
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wad            C2/c           Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        12.4088        60.4580        22.1338        4.99940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        12.3780        60.4488        22.1507        5.02249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        12.3473        60.4395        22.1676        5.04559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        12.3165        60.4302        22.1846        5.06868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        12.2857        60.4210        22.2015        5.09179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        12.2549        60.4117        22.2185        5.11489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        12.2247        60.4021        22.2353        5.13797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        12.1938        60.3921        22.2531        5.16102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        12.1630        60.3828        22.2701        5.18413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        12.1318        60.3746        22.2863        5.20734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        12.1010        60.3653        22.3033        5.23046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        12.0702        60.3560        22.3202        5.25358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        12.0395        60.3467        22.3372        5.27670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        12.0087        60.3374        22.3541        5.29983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        11.9779        60.3281        22.3711        5.32296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        11.9471        60.3187        22.3881        5.34609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        11.9163        60.3094        22.4050        5.36923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        11.8855        60.3001        22.4220        5.39237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        11.8548        60.2908        22.4390        5.41551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        11.8240        60.2814        22.4559        5.43865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        11.7932        60.2721        22.4729        5.46180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        11.7624        60.2628        22.4899        5.48495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        11.7316        60.2534        22.5068        5.50810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        11.7008        60.2441        22.5238        5.53126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        11.6701        60.2347        22.5408        5.55442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        11.6393        60.2254        22.5578        5.57758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        11.6085        60.2160        22.5748        5.60075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        11.5777        60.2066        22.5917        5.62391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        11.5469        60.1973        22.6087        5.64708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        11.5161        60.1879        22.6257        5.67026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        11.4854        60.1785        22.6427        5.69343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        11.4546        60.1691        22.6597        5.71661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        11.4238        60.1598        22.6767        5.73979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        11.3930        60.1504        22.6937        5.76298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        11.3622        60.1410        22.7107        5.78617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        11.3314        60.1316        22.7276        5.80936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        11.3006        60.1222        22.7446        5.83255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        11.2210        60.0960        22.7899        5.89309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        11.1385        60.0688        22.8369        5.95582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
