|6.6.6
mars_ma79_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  2701.00        502.478                 NaN   66.9354        22.0038                 NaN            NaN            NaN            NaN  0.252960                 NaN   9.51420                 NaN   1.29361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412                 NaN   66.9587        21.9521                 NaN            NaN            NaN            NaN  0.334282                 NaN   9.51128                 NaN   1.24364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312                 NaN   66.9094        22.0635                 NaN            NaN            NaN            NaN  0.166097                 NaN   9.51667                 NaN   1.34436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178                 NaN   66.8929        22.1040                 NaN            NaN            NaN            NaN  0.107894                 NaN   9.51921                 NaN   1.37603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010                 NaN   66.8801        22.1324                 NaN            NaN            NaN            NaN  0.662386E-001            NaN   9.52010                 NaN   1.40111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808                 NaN   66.8668        22.1621                 NaN            NaN            NaN            NaN  0.227403E-001            NaN   9.52106                 NaN   1.42729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572                 NaN   66.8597        22.1787                 NaN            NaN            NaN            NaN            NaN            NaN   9.52149                 NaN   1.44016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303                 NaN   66.8592        22.1806                 NaN            NaN            NaN            NaN            NaN            NaN   9.52117                 NaN   1.43904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000                 NaN   66.8587        22.1825                 NaN            NaN            NaN            NaN            NaN            NaN   9.52086                 NaN   1.43793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663                 NaN   66.8581        22.1852                 NaN            NaN            NaN            NaN            NaN            NaN   9.52042                 NaN   1.43628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294                 NaN   66.8576        22.1873                 NaN            NaN            NaN            NaN            NaN            NaN   9.52007                 NaN   1.43506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891                 NaN   66.8570        22.1897                 NaN            NaN            NaN            NaN            NaN            NaN   9.51966                 NaN   1.43369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456                 NaN   66.8565        22.1918                 NaN            NaN            NaN            NaN            NaN            NaN   9.51931                 NaN   1.43243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988                 NaN   66.8560        22.1939                 NaN            NaN            NaN            NaN            NaN            NaN   9.51895                 NaN   1.43118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487                 NaN   66.8554        22.1961                 NaN            NaN            NaN            NaN            NaN            NaN   9.51860                 NaN   1.42991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953                 NaN   66.8552        22.1971                 NaN            NaN            NaN            NaN            NaN            NaN   9.51835                 NaN   1.42937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        2.42571        61.4196        22.1681                 NaN            NaN            NaN            NaN            NaN            NaN   6.85179                 NaN   7.13485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        3.68071        58.6060        22.1547                 NaN            NaN            NaN            NaN            NaN            NaN   5.46880                 NaN   10.0898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
