|6.6.6
mars_kc08_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        301.774        100.000                 NaN   12.7211                 NaN            NaN   22.2400        3.75242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        100.000                 NaN   12.7211                 NaN            NaN   22.2397        3.75230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        100.000                 NaN   12.7205                 NaN            NaN   22.2388        3.75225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        100.000                 NaN   12.7213                 NaN            NaN   22.2394        3.75207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        100.000                 NaN   12.7209                 NaN            NaN   22.2391        3.75200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        100.000                 NaN   12.7212                 NaN            NaN   22.2390        3.75186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        100.000                 NaN   12.7222                 NaN            NaN   22.2397        3.75161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        100.000                 NaN   12.7218                 NaN            NaN   22.2390        3.75163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        100.000                 NaN   12.7225                 NaN            NaN   22.2393        3.75140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        100.000                 NaN   12.7217                 NaN            NaN   22.2383        3.75149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        100.000                 NaN   12.7224                 NaN            NaN   22.2385        3.75137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        100.000                 NaN   12.7222                 NaN            NaN   22.2375        3.75111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        100.000                 NaN   12.7225                 NaN            NaN   22.2375        3.75100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        100.000                 NaN   12.7229                 NaN            NaN   22.2375        3.75107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        100.000                 NaN   12.7232                 NaN            NaN   22.2374        3.75096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        100.000                 NaN   12.7235                 NaN            NaN   22.2374        3.75085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        100.000                 NaN   12.7239                 NaN            NaN   22.2373        3.75073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        100.000                 NaN   12.7238                 NaN            NaN   22.2369        3.75063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        100.000                 NaN   12.7245                 NaN            NaN   22.2372        3.75049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        100.000                 NaN   12.7249                 NaN            NaN   22.2372        3.75035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        100.000                 NaN   39.9291                 NaN            NaN   39.9291        30.8208                 NaN   27.0157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        100.000                 NaN   39.9279                 NaN            NaN   39.9279        30.8191                 NaN   27.0142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        100.000                 NaN   39.9269                 NaN            NaN   39.9269        30.8175                 NaN   27.0130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        100.000                 NaN   39.9259                 NaN            NaN   39.9259        30.8160                 NaN   27.0120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        100.000                 NaN   39.9250                 NaN            NaN   39.9250        30.8145                 NaN   27.0110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        100.000                 NaN   39.9243                 NaN            NaN   39.9243        30.8133                 NaN   27.0104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
