|6.6.6
mars_t13_atm_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        309.347        5.96634                 NaN   74.1509                 NaN   9.91464                 NaN            NaN            NaN   6.74351        3.22457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        5.87680                 NaN   74.1510                 NaN   9.97558                 NaN            NaN            NaN   6.74179        3.25487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        5.87426                 NaN   74.1527                 NaN   9.97688                 NaN            NaN            NaN   6.74291        3.25327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        5.95162                 NaN   74.1560                 NaN   9.92351                 NaN            NaN            NaN   6.74692        3.22196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        5.96214                 NaN   74.1559                 NaN   9.91637                 NaN            NaN            NaN   6.74503        3.22060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        5.96152                 NaN   74.1594                 NaN   9.91618                 NaN            NaN            NaN   6.75108        3.21178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        5.97603                 NaN   74.1611                 NaN   9.90603                 NaN            NaN            NaN   6.75235        3.20446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        5.97688                 NaN   74.1627                 NaN   9.90516                 NaN            NaN            NaN   6.75335        3.20191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        5.97524                 NaN   74.1640                 NaN   9.90600                 NaN            NaN            NaN   6.75365        3.20111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        5.97054                 NaN   74.1652                 NaN   9.90888                 NaN            NaN            NaN   6.75365        3.20170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        5.96860                 NaN   74.1664                 NaN   9.91029                 NaN            NaN            NaN   6.75432        3.20043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        5.96586                 NaN   74.1688                 NaN   9.91132                 NaN            NaN            NaN   6.75464        3.19944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        5.93435                 NaN   74.1705                 NaN   9.93310                 NaN            NaN            NaN   6.75838        3.20366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        5.83490                 NaN   74.1685                 NaN   9.99911                 NaN            NaN            NaN   6.74696        3.25049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        5.82482                 NaN   74.1703                 NaN   10.0055                 NaN            NaN            NaN   6.74828        3.25106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        5.81474                 NaN   74.1721                 NaN   10.0120                 NaN            NaN            NaN   6.74960        3.25163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
