|6.6.6
mars_kc08_1.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10001.0        1320.62        3378.49        7.39317        4.21824     
  10101.0        1321.42        3378.73        7.39386        4.21824     
  10201.0        1322.22        3378.97        7.39456        4.21824     
  10301.0        1323.02        3379.21        7.39526        4.21824     
  10401.0        1323.82        3379.45        7.39596        4.21824     
  10501.0        1324.62        3379.68        7.39666        4.21824     
  10601.0        1325.42        3379.92        7.39735        4.21824     
  10701.0        1326.22        3380.16        7.39805        4.21823     
  10801.0        1327.02        3380.40        7.39875        4.21823     
  10901.0        1327.81        3380.64        7.39944        4.21823     
  11001.0        1328.61        3380.87        7.40014        4.21823     
  11101.0        1329.41        3381.11        7.40083        4.21823     
  11201.0        1330.21        3381.35        7.40153        4.21823     
  11301.0        1331.01        3381.59        7.40222        4.21823     
  11401.0        1331.81        3381.82        7.40292        4.21823     
  11501.0        1332.60        3382.06        7.40361        4.21823     
  11601.0        1333.40        3382.30        7.40431        4.21823     
  11701.0        1334.20        3382.54        7.40500        4.21823     
  11801.0        1335.00        3382.77        7.40569        4.21823     
  11901.0        1335.79        3383.01        7.40639        4.21823     
  12001.0        1336.59        3383.25        7.40708        4.21823     
  12101.0        1337.39        3383.49        7.40777        4.21823     
  12201.0        1338.18        3383.72        7.40846        4.21823     
  12301.0        1338.98        3383.96        7.40916        4.21823     
  12401.0        1339.78        3384.20        7.40985        4.21823     
  12501.0        1340.57        3384.43        7.41054        4.21823     
  12601.0        1341.37        3384.67        7.41123        4.21823     
  12701.0        1342.17        3384.91        7.41192        4.21822     
  12801.0        1342.96        3385.14        7.41261        4.21822     
  12901.0        1343.76        3385.38        7.41333        4.21823     
  13001.0        1344.55        3385.62        7.41406        4.21825     
  13101.0        1345.35        3385.86        7.41479        4.21826     
  13201.0        1346.14        3386.10        7.41552        4.21828     
  13301.0        1346.94        3392.78        7.44537        4.22891     
  13401.0        1347.73        3393.01        7.44609        4.22892     
  13501.0        1348.53        3393.25        7.44680        4.22893     
  13601.0        1349.32        3393.49        7.44751        4.22895     
  13701.0        1350.12        3393.85        7.44886        4.22917     
  13801.0        1350.91        3394.25        7.45040        4.22945     
  13901.0        1351.71        3394.64        7.45193        4.22974     
  14001.0        1352.50        3394.98        7.45316        4.22992     
  14101.0        1353.29        3395.44        7.45499        4.23030     
  14201.0        1354.09        3395.83        7.45651        4.23059     
  14301.0        1354.88        3396.23        7.45804        4.23087     
  14401.0        1355.67        3396.62        7.45957        4.23115     
  14501.0        1356.47        3396.94        7.46068        4.23129     
  14601.0        1357.26        3397.33        7.46217        4.23156     
  14701.0        1358.05        3397.67        7.46339        4.23174     
  14801.0        1358.85        3398.06        7.46490        4.23202     
  14901.0        1359.64        3398.47        7.46652        4.23233     
  15001.0        1360.43        3398.85        7.46797        4.23259     
  15101.0        1361.22        3399.23        7.46942        4.23285     
  15201.0        1362.01        3399.60        7.47079        4.23308     
  15301.0        1362.81        3399.95        7.47210        4.23329     
  15401.0        1363.60        3400.33        7.47353        4.23354     
  15501.0        1364.39        3400.69        7.47488        4.23377     
  15601.0        1365.18        3401.09        7.47645        4.23407     
  15701.0        1365.97        3401.46        7.47786        4.23431     
  15801.0        1366.76        3401.83        7.47925        4.23455     
  15901.0        1367.55        3402.20        7.48065        4.23480     
  16001.0        1368.34        3402.57        7.48205        4.23504     
  16101.0        1369.13        3402.68        7.48211        4.23481     
