|6.6.6
mars_ma79_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  2701.00        370.728                 NaN   98.9142        31.8675                 NaN            NaN            NaN            NaN  0.578145                 NaN   10.0974        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879                 NaN   98.8812        31.8508                 NaN            NaN            NaN            NaN  0.526265                 NaN   10.0465        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024                 NaN   98.8473        31.8336                 NaN            NaN            NaN            NaN  0.472821                 NaN   9.99406        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163                 NaN   98.8134        31.8164                 NaN            NaN            NaN            NaN  0.419396                 NaN   9.94164        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297                 NaN   98.7911        31.8048                 NaN            NaN            NaN            NaN  0.384312                 NaN   9.90729        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426                 NaN   98.7630        31.7903                 NaN            NaN            NaN            NaN  0.339906                 NaN   9.86375        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549                 NaN   98.7871        31.8025                 NaN            NaN            NaN            NaN  0.377711                 NaN   9.90076        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667                 NaN   98.7616        31.7894                 NaN            NaN            NaN            NaN  0.337697                 NaN   9.86152        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779                 NaN   98.7617        31.7893                 NaN            NaN            NaN            NaN  0.337669                 NaN   9.86148        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885                 NaN   98.9596        31.8909                 NaN            NaN            NaN            NaN  0.649183                 NaN   10.1664        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986                 NaN   98.7187        31.7663                 NaN            NaN            NaN            NaN  0.268918                 NaN   9.79409        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082                 NaN   98.7175        31.7658                 NaN            NaN            NaN            NaN  0.266681                 NaN   9.79188        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172                 NaN   98.7244        31.7696                 NaN            NaN            NaN            NaN  0.276999                 NaN   9.80194        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257                 NaN   98.7107        31.7623                 NaN            NaN            NaN            NaN  0.255183                 NaN   9.78061        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336                 NaN   89.0182        22.1483                 NaN            NaN            NaN            NaN   0.00000        0.00000        0.00000        0.00000        0.00000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
