|6.6.6
mars_lf97_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  2501.00        420.152        41.7910                 NaN   98.1166                 NaN   31.0866                 NaN            NaN            NaN   21.3846        21.3846        21.3846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        424.437        41.7963                 NaN   98.1172                 NaN   31.1088                 NaN            NaN            NaN   21.3963        21.3963        21.3963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        428.711        41.8065                 NaN   98.1203                 NaN   31.1364                 NaN            NaN            NaN   21.4137        21.4137        21.4137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        432.973        41.8074                 NaN   98.1192                 NaN   31.1508                 NaN            NaN            NaN   21.4192        21.4192        21.4192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        437.225        41.8133                 NaN   98.1206                 NaN   31.1712                 NaN            NaN            NaN   21.4307        21.4307        21.4307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        441.466        41.8185                 NaN   98.1211                 NaN   31.1928                 NaN            NaN            NaN   21.4420        21.4420        21.4420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        445.695        41.8240                 NaN   98.1222                 NaN   31.2131                 NaN            NaN            NaN   21.4532        21.4532        21.4532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        449.914        41.8293                 NaN   98.1229                 NaN   31.2343                 NaN            NaN            NaN   21.4644        21.4644        21.4644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        454.121        41.8333                 NaN   98.1253                 NaN   31.2398                 NaN            NaN            NaN   21.4694        21.4694        21.4694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        458.318        41.8479                 NaN   98.1265                 NaN   31.2955                 NaN            NaN            NaN   21.4990        21.4990        21.4990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
