|6.6.6
mars_lf97_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        301.774        10.8813                 NaN   70.3869                 NaN   9.40047                 NaN            NaN            NaN   7.50918        1.82215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        10.7889                 NaN   70.3826                 NaN   9.46405                 NaN            NaN            NaN   7.49861        1.86586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        10.7705                 NaN   70.3832                 NaN   9.47624                 NaN            NaN            NaN   7.49831        1.87176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        10.8257                 NaN   70.3878                 NaN   9.43761                 NaN            NaN            NaN   7.50626        1.84265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        10.8369                 NaN   70.3903                 NaN   9.42909                 NaN            NaN            NaN   7.51048        1.83325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        10.9365                 NaN   70.3985                 NaN   9.35943                 NaN            NaN            NaN   7.52583        1.77980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        10.9431                 NaN   70.4005                 NaN   9.35429                 NaN            NaN            NaN   7.52830        1.77380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        10.9445                 NaN   70.4021                 NaN   9.35276                 NaN            NaN            NaN   7.52967        1.77093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        10.9482                 NaN   70.4041                 NaN   9.34966                 NaN            NaN            NaN   7.53196        1.76610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        10.7450                 NaN   70.3960                 NaN   9.48939                 NaN            NaN            NaN   7.51467        1.85495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        10.7341                 NaN   70.3977                 NaN   9.49654                 NaN            NaN            NaN   7.51720        1.85446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        10.7247                 NaN   70.4008                 NaN   9.50172                 NaN            NaN            NaN   7.51962        1.85316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        10.7372                 NaN   70.4037                 NaN   9.49234                 NaN            NaN            NaN   7.52382        1.84290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        10.7308                 NaN   70.4059                 NaN   9.49605                 NaN            NaN            NaN   7.52676        1.84055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        10.7151                 NaN   70.4075                 NaN   9.50623                 NaN            NaN            NaN   7.52854        1.84264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        10.7129                 NaN   70.4099                 NaN   9.50700                 NaN            NaN            NaN   7.53195        1.83818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        10.7026                 NaN   70.4122                 NaN   9.51341                 NaN            NaN            NaN   7.53504        1.83679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        10.8268                 NaN   70.4128                 NaN   9.42906                 NaN            NaN            NaN   7.53323        1.79815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        10.7281                 NaN   70.4171                 NaN   9.49480                 NaN            NaN            NaN   7.54177        1.81823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        10.7571                 NaN   69.3367                 NaN   9.48943                 NaN            NaN            NaN   6.96615        1.80748        1.64313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        10.8226                 NaN   56.3084                 NaN   9.62480                 NaN            NaN            NaN            NaN   1.82923        21.4150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        10.8339                 NaN   56.3000                 NaN   9.61605                 NaN            NaN            NaN            NaN   1.81551        21.4346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        10.8243                 NaN   56.2939                 NaN   9.62175                 NaN            NaN            NaN            NaN   1.81088        21.4492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        10.8450                 NaN   56.2850                 NaN   9.60653                 NaN            NaN            NaN            NaN   1.79352        21.4700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        10.8363                 NaN   56.2618                 NaN   9.60948                 NaN            NaN            NaN            NaN   1.77184        21.5206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        10.9171                 NaN   56.2451                 NaN   9.55234                 NaN            NaN            NaN            NaN   1.72675        21.5587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        10.8266                 NaN   56.2652                 NaN   9.61660                 NaN            NaN            NaN            NaN   1.77502        21.5166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        10.8352                 NaN   56.2592                 NaN   9.60996                 NaN            NaN            NaN            NaN   1.76452        21.5311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        10.7833                 NaN   56.2164                 NaN   9.63996                 NaN            NaN            NaN            NaN   1.73801        21.6224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        11.1748                 NaN   56.2062                 NaN   9.37383                 NaN            NaN            NaN            NaN   1.59760        21.6476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        10.7094                 NaN   56.1787                 NaN   9.68743                 NaN            NaN            NaN            NaN   1.72320        21.7013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        10.9749                 NaN   56.1442                 NaN   9.50173                 NaN            NaN            NaN            NaN   1.59891        21.7803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        10.8368                 NaN   56.2042                 NaN   9.60350                 NaN            NaN            NaN            NaN   1.70244        21.6530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        11.2581                 NaN   56.2172                 NaN   9.31680                 NaN            NaN            NaN            NaN   1.57375        21.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        10.7803                 NaN   56.0766                 NaN   9.62630                 NaN            NaN            NaN            NaN   1.59206        21.9248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        10.8346                 NaN   56.1804                 NaN   9.60220                 NaN            NaN            NaN            NaN   1.67476        21.7081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        10.7945                 NaN   56.1283                 NaN   9.62278                 NaN            NaN            NaN            NaN   1.63492        21.8195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        10.8441                 NaN   56.1641                 NaN   9.59367                 NaN            NaN            NaN            NaN   1.65219        21.7460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        10.8711                 NaN   56.0739                 NaN   9.56427                 NaN            NaN            NaN            NaN   1.55279        21.9379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        10.9406                 NaN   56.0436                 NaN   9.51329                 NaN            NaN            NaN            NaN   1.49834        22.0042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        10.8669                 NaN   56.0156                 NaN   9.56024                 NaN            NaN            NaN            NaN   1.49369        22.0636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        11.0062                 NaN   55.3162                 NaN   9.47480                 NaN            NaN            NaN            NaN   1.15276        22.6911                 NaN  0.358949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
