|6.6.6
mars_bf97_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        309.347        5.55326                 NaN   75.6793                 NaN   10.0384                 NaN            NaN            NaN   5.33526        3.39375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        5.50133                 NaN   75.6772                 NaN   10.0736                 NaN            NaN            NaN   5.32609        3.42178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        5.49590                 NaN   75.6790                 NaN   10.0769                 NaN            NaN            NaN   5.32792        3.42031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        5.53786                 NaN   75.6841                 NaN   10.0477                 NaN            NaN            NaN   5.33900        3.39135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        5.54836                 NaN   75.6838                 NaN   10.0406                 NaN            NaN            NaN   5.33715        3.39006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        5.54598                 NaN   75.6873                 NaN   10.0416                 NaN            NaN            NaN   5.34324        3.38190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        5.55929                 NaN   75.6888                 NaN   10.0323                 NaN            NaN            NaN   5.34456        3.37510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        5.55971                 NaN   75.6902                 NaN   10.0317                 NaN            NaN            NaN   5.34566        3.37273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        5.55792                 NaN   75.6914                 NaN   10.0326                 NaN            NaN            NaN   5.34607        3.37199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        5.55329                 NaN   75.6925                 NaN   10.0355                 NaN            NaN            NaN   5.34619        3.37253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        5.55112                 NaN   75.6935                 NaN   10.0370                 NaN            NaN            NaN   5.34698        3.37134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        5.54822                 NaN   75.6958                 NaN   10.0382                 NaN            NaN            NaN   5.34745        3.37040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        5.51710                 NaN   75.6975                 NaN   10.0597                 NaN            NaN            NaN   5.35136        3.37434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        5.42514                 NaN   75.6961                 NaN   10.1205                 NaN            NaN            NaN   5.34043        3.41785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        5.41503                 NaN   75.6978                 NaN   10.1269                 NaN            NaN            NaN   5.34187        3.41839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        5.40493                 NaN   75.6995                 NaN   10.1334                 NaN            NaN            NaN   5.34331        3.41893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        5.39560                 NaN   75.7012                 NaN   10.1393                 NaN            NaN            NaN   5.34478        3.41916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        5.39710                 NaN   75.7015                 NaN   10.1381                 NaN            NaN            NaN   5.34306        3.42020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844        5.38899                 NaN   75.7041                 NaN   10.1433                 NaN            NaN            NaN   5.34721        3.41647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207        5.38858                 NaN   75.7049                 NaN   10.1433                 NaN            NaN            NaN   5.34673        3.41647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        398.559        5.38817                 NaN   75.7057                 NaN   10.1434                 NaN            NaN            NaN   5.34624        3.41647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        402.900        5.36192                 NaN   65.7536                 NaN   10.2718                 NaN            NaN            NaN            NaN   3.44855        15.1641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        407.230        5.35522                 NaN   65.7511                 NaN   10.2761                 NaN            NaN            NaN            NaN   3.44688        15.1707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        411.548        5.34925                 NaN   65.7484                 NaN   10.2799                 NaN            NaN            NaN            NaN   3.44489        15.1776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        415.856        5.34884                 NaN   65.7490                 NaN   10.2799                 NaN            NaN            NaN            NaN   3.44489        15.1773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        420.152        5.33358                 NaN   65.7446                 NaN   10.2896                 NaN            NaN            NaN            NaN   3.44421        15.1881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        424.437        5.31460                 NaN   65.7394                 NaN   10.3016                 NaN            NaN            NaN            NaN   3.44401        15.2004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        428.711        5.29445                 NaN   65.7327                 NaN   10.3141                 NaN            NaN            NaN            NaN   3.44256        15.2162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        432.973        5.27882                 NaN   65.7294                 NaN   10.3241                 NaN            NaN            NaN            NaN   3.44321        15.2245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        437.225        5.26162                 NaN   65.7245                 NaN   10.3349                 NaN            NaN            NaN            NaN   3.44265        15.2363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        441.466        5.24357                 NaN   65.7196                 NaN   10.3464                 NaN            NaN            NaN            NaN   3.44248        15.2480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        445.695        5.22668                 NaN   65.7148                 NaN   10.3571                 NaN            NaN            NaN            NaN   3.44205        15.2593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        449.914        5.20896                 NaN   65.7100                 NaN   10.3683                 NaN            NaN            NaN            NaN   3.44182        15.2709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        454.121        5.20465                 NaN   65.7084                 NaN   10.3710                 NaN            NaN            NaN            NaN   3.44063        15.2754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        458.318        5.15928                 NaN   65.6947                 NaN   10.3997                 NaN            NaN            NaN            NaN   3.44031        15.3060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        462.503        5.13483                 NaN   65.6868                 NaN   10.4152                 NaN            NaN            NaN            NaN   3.43934        15.3238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        466.678        5.08548                 NaN   65.6695                 NaN   10.4461                 NaN            NaN            NaN            NaN   3.43682        15.3620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        470.842        5.08006                 NaN   65.6710                 NaN   10.4500                 NaN            NaN            NaN            NaN   3.43902        15.3599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        474.994        5.06318                 NaN   65.6500                 NaN   10.4587                 NaN            NaN            NaN            NaN   3.42277        15.4053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        479.136        5.03653                 NaN   65.6548                 NaN   10.4773                 NaN            NaN            NaN            NaN   3.43493        15.3964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        483.267        5.00340                 NaN   65.6470                 NaN   10.4986                 NaN            NaN            NaN            NaN   3.43666        15.4144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        487.388        4.97926                 NaN   65.6390                 NaN   10.5138                 NaN            NaN            NaN            NaN   3.43542        15.4325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        491.497        4.95400                 NaN   65.6310                 NaN   10.5299                 NaN            NaN            NaN            NaN   3.43458        15.4506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        495.596        4.92448                 NaN   65.6231                 NaN   10.5488                 NaN            NaN            NaN            NaN   3.43523        15.4684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        499.683        4.89497                 NaN   65.6153                 NaN   10.5677                 NaN            NaN            NaN            NaN   3.43589        15.4862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        503.761        4.79169                 NaN   65.5911                 NaN   10.6337                 NaN            NaN            NaN            NaN   3.44339        15.5401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        507.827        4.83262                 NaN   65.5610                 NaN   10.6071                 NaN            NaN            NaN            NaN   3.40264        15.5966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        511.883        4.58955                 NaN   65.4835                 NaN   10.7610                 NaN            NaN            NaN            NaN   3.40149        15.7644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        515.927        4.51365                 NaN   65.4612                 NaN   10.8096                 NaN            NaN            NaN            NaN   3.40254        15.8130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        519.962        4.37915                 NaN   65.4476                 NaN   10.9001                 NaN            NaN            NaN            NaN   3.43090        15.8422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        523.985        4.34348                 NaN   65.4366                 NaN   10.9229                 NaN            NaN            NaN            NaN   3.43038        15.8666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        527.998        4.32302                 NaN   65.4308                 NaN   10.9359                 NaN            NaN            NaN            NaN   3.43007        15.8802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        532.001        4.28702                 NaN   65.4196                 NaN   10.9589                 NaN            NaN            NaN            NaN   3.42956        15.9049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        535.993        3.66880                 NaN   65.2352                 NaN   11.3517                 NaN            NaN            NaN            NaN   3.44116        16.3032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        539.974        3.60782                 NaN   65.2165                 NaN   11.3906                 NaN            NaN            NaN            NaN   3.44114        16.3439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        543.945        3.54832                 NaN   65.1983                 NaN   11.4287                 NaN            NaN            NaN            NaN   3.44113        16.3836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        547.905        3.48729                 NaN   65.1795                 NaN   11.4677                 NaN            NaN            NaN            NaN   3.44112        16.4244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        551.854        3.42678                 NaN   65.1609                 NaN   11.5064                 NaN            NaN            NaN            NaN   3.44108        16.4649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        555.794        3.36588                 NaN   65.1422                 NaN   11.5453                 NaN            NaN            NaN            NaN   3.44107        16.5055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        559.722        3.33583                 NaN   65.1328                 NaN   11.5644                 NaN            NaN            NaN            NaN   3.44044        16.5265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        563.641        3.27370                 NaN   65.1137                 NaN   11.6042                 NaN            NaN            NaN            NaN   3.44046        16.5679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        567.548        3.24677                 NaN   65.1054                 NaN   11.6213                 NaN            NaN            NaN            NaN   3.43989        16.5866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        571.446        3.18278                 NaN   65.0857                 NaN   11.6623                 NaN            NaN            NaN            NaN   3.43994        16.6293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        575.333        3.13520                 NaN   65.0682                 NaN   11.6923                 NaN            NaN            NaN            NaN   3.43696        16.6674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        579.210        3.07060                 NaN   65.0485                 NaN   11.7337                 NaN            NaN            NaN            NaN   3.43718        16.7101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        583.076        3.07882                 NaN   65.0546                 NaN   11.7289                 NaN            NaN            NaN            NaN   3.43983        16.6978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        586.932        3.00963                 NaN   65.0333                 NaN   11.7732                 NaN            NaN            NaN            NaN   3.43990        16.7440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        590.778        2.94056                 NaN   65.0119                 NaN   11.8174                 NaN            NaN            NaN            NaN   3.43997        16.7902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        594.613        2.87160                 NaN   64.9906                 NaN   11.8615                 NaN            NaN            NaN            NaN   3.44005        16.8362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        598.438        2.82350                 NaN   64.9695                 NaN   11.8913                 NaN            NaN            NaN            NaN   3.43373        16.8819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        602.253        2.75295                 NaN   64.9482                 NaN   11.9366                 NaN            NaN            NaN            NaN   3.43434        16.9279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        606.058        2.68251                 NaN   64.9269                 NaN   11.9818                 NaN            NaN            NaN            NaN   3.43496        16.9738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        609.853        3.29165                 NaN   65.1254                 NaN   11.5934                 NaN            NaN            NaN            NaN   3.43695        16.5526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        613.637        3.32794                 NaN   65.1323                 NaN   11.5713                 NaN            NaN            NaN            NaN   3.43183        16.5367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        617.411        3.32767                 NaN   65.1328                 NaN   11.5713                 NaN            NaN            NaN            NaN   3.43183        16.5364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        621.175        3.36334                 NaN   65.1390                 NaN   11.5495                 NaN            NaN            NaN            NaN   3.42615        16.5219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        624.929        3.36307                 NaN   65.1396                 NaN   11.5496                 NaN            NaN            NaN            NaN   3.42615        16.5216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        628.673        2.48602                 NaN   64.8718                 NaN   12.1085                 NaN            NaN            NaN            NaN   3.43862        17.0951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
