|6.6.6
mars_kc08_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        283.541        100.000                 NaN   12.7214                 NaN            NaN   22.2371        3.75297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        100.000                 NaN   12.7215                 NaN            NaN   22.2362        3.75299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        100.000                 NaN   12.7216                 NaN            NaN   22.2353        3.75302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        100.000                 NaN   12.7218                 NaN            NaN   22.2344        3.75304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        100.000                 NaN   12.7218                 NaN            NaN   22.2338        3.75305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        100.000                 NaN   12.7214                 NaN            NaN   22.2325        3.75310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        100.000                 NaN   12.7217                 NaN            NaN   22.2317        3.75312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        100.000                 NaN   12.7219                 NaN            NaN   22.2309        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        100.000                 NaN   12.7222                 NaN            NaN   22.2301        3.75314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        100.000                 NaN   12.7228                 NaN            NaN   22.2296        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        100.000                 NaN   12.7233                 NaN            NaN   22.2291        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        100.000                 NaN   12.7229                 NaN            NaN   22.2272        3.75301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        100.000                 NaN   12.7229                 NaN            NaN   22.2263        3.75305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        100.000                 NaN   12.7234                 NaN            NaN   22.2257        3.75322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        100.000                 NaN   12.7225                 NaN            NaN   22.2239        3.75338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        100.000                 NaN   12.7226                 NaN            NaN   22.2229        3.75341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        100.000                 NaN   12.7240                 NaN            NaN   22.2232        3.75326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        100.000                 NaN   12.7242                 NaN            NaN   22.2223        3.75328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        100.000                 NaN   12.7229                 NaN            NaN   22.2201        3.75349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        100.000                 NaN   12.7235                 NaN            NaN   22.2196        3.75351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        100.000                 NaN   12.7236                 NaN            NaN   22.2187        3.75354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        100.000                 NaN   39.9457                 NaN            NaN   39.9457        30.8445                 NaN   27.0361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        100.000                 NaN   39.9453                 NaN            NaN   39.9453        30.8440                 NaN   27.0357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        358.069        100.000                 NaN   39.9432                 NaN            NaN   39.9432        30.8417                 NaN   27.0333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        361.242        100.000                 NaN   39.9559                 NaN            NaN   39.9559        30.8531                 NaN   27.0461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        364.410        100.000                 NaN   39.9546                 NaN            NaN   39.9546        30.8516                 NaN   27.0447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        100.000                 NaN   39.9405                 NaN            NaN   39.9405        30.8386                 NaN   27.0302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        100.000                 NaN   39.9394                 NaN            NaN   39.9394        30.8373                 NaN   27.0289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        100.000                 NaN   39.9382                 NaN            NaN   39.9382        30.8360                 NaN   27.0276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        100.000                 NaN   39.9370                 NaN            NaN   39.9370        30.8347                 NaN   27.0262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        100.000                 NaN   39.9359                 NaN            NaN   39.9359        30.8334                 NaN   27.0249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        100.000                 NaN   39.9348                 NaN            NaN   39.9348        30.8322                 NaN   27.0237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        100.000                 NaN   39.9338                 NaN            NaN   39.9338        30.8310                 NaN   27.0225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
