|6.6.6
mars_t13_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  2601.00        367.572        5.79920                 NaN   61.5809                 NaN   10.1607                 NaN            NaN            NaN            NaN   3.29347        19.1657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        5.78561                 NaN   61.5777                 NaN   10.1692                 NaN            NaN            NaN            NaN   3.29350        19.1740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        5.77206                 NaN   61.5745                 NaN   10.1777                 NaN            NaN            NaN            NaN   3.29352        19.1822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        5.75866                 NaN   61.5714                 NaN   10.1861                 NaN            NaN            NaN            NaN   3.29346        19.1904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        5.74540                 NaN   61.5681                 NaN   10.1944                 NaN            NaN            NaN            NaN   3.29335        19.1988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        5.72949                 NaN   61.5644                 NaN   10.2044                 NaN            NaN            NaN            NaN   3.29365        19.2080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        5.71498                 NaN   61.5610                 NaN   10.2135                 NaN            NaN            NaN            NaN   3.29372        19.2168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        5.67214                 NaN   61.5482                 NaN   10.2407                 NaN            NaN            NaN            NaN   3.29383        19.2452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667        5.70532                 NaN   61.5595                 NaN   10.2195                 NaN            NaN            NaN            NaN   3.29329        19.2224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779        5.70488                 NaN   61.5602                 NaN   10.2195                 NaN            NaN            NaN            NaN   3.29332        19.2221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885        5.78836                 NaN   61.5835                 NaN   10.1662                 NaN            NaN            NaN            NaN   3.28980        19.1722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        5.61971                 NaN   61.5359                 NaN   10.2735                 NaN            NaN            NaN            NaN   3.29398        19.2769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        5.59959                 NaN   61.5306                 NaN   10.2862                 NaN            NaN            NaN            NaN   3.29413        19.2895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        5.57779                 NaN   61.5246                 NaN   10.2999                 NaN            NaN            NaN            NaN   3.29412        19.3036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        5.56367                 NaN   61.5216                 NaN   10.3087                 NaN            NaN            NaN            NaN   3.29483        19.3113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        5.55094                 NaN   61.5179                 NaN   10.3169                 NaN            NaN            NaN            NaN   3.29413        19.3201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        5.55051                 NaN   61.5186                 NaN   10.3169                 NaN            NaN            NaN            NaN   3.29415        19.3199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        5.53840                 NaN   61.5150                 NaN   10.3247                 NaN            NaN            NaN            NaN   3.29328        19.3286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541        5.44901                 NaN   61.4887                 NaN   10.3813                 NaN            NaN            NaN            NaN   3.29505        19.3860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599                 NaN            NaN   59.7447                 NaN   3.42804        10.4000                 NaN            NaN            NaN   3.33608        23.0911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651        5.39404                 NaN   61.4730                 NaN   10.4160                 NaN            NaN            NaN            NaN   3.29528        19.4216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697        5.35550                 NaN   61.4619                 NaN   10.4403                 NaN            NaN            NaN            NaN   3.29556        19.4468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        5.32054                 NaN   61.4517                 NaN   10.4623                 NaN            NaN            NaN            NaN   3.29578        19.4697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        5.30410                 NaN   61.4472                 NaN   10.4726                 NaN            NaN            NaN            NaN   3.29564        19.4805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        5.30369                 NaN   61.4478                 NaN   10.4726                 NaN            NaN            NaN            NaN   3.29567        19.4802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        5.30328                 NaN   61.4484                 NaN   10.4727                 NaN            NaN            NaN            NaN   3.29569        19.4799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        5.30288                 NaN   61.4490                 NaN   10.4727                 NaN            NaN            NaN            NaN   3.29572        19.4796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
