|6.6.6
mars_t13_ath_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        945.622        3449.59        7.69953        4.34319     
  10501.0        950.290        3450.05        7.69860        4.34331     
  10601.0        954.933        3450.63        7.69900        4.34337     
  10701.0        959.552        3451.23        7.69970        4.34338     
  10801.0        964.146        3447.03        7.68775        4.33473     
  10901.0        968.715        3452.93        7.70172        4.34454     
  11001.0        973.261        3453.58        7.70342        4.34449     
  11101.0        977.781        3454.30        7.70425        4.34483     
  11201.0        982.278        3455.88        7.70632        4.34700     
  11301.0        986.751        3454.47        7.70246        4.34325     
  11401.0        991.199        3453.15        7.69743        4.33988     
  11501.0        995.624        3452.97        7.69595        4.33865     
  11601.0        1000.02        3451.70        7.69110        4.33540     
  11701.0        1004.40        3463.12        7.72168        4.35509     
  11801.0        1008.76        3462.94        7.72021        4.35386     
  11901.0        1013.09        3462.52        7.71759        4.35213     
  12001.0        1017.39        3462.34        7.71613        4.35092     
  12101.0        1021.68        3461.35        7.71196        4.34817     
  12201.0        1025.94        3461.18        7.71054        4.34697     
  12301.0        1030.18        3459.48        7.70443        4.34293     
  12401.0        1034.39        3459.31        7.70303        4.34175     
  12501.0        1038.58        3460.47        7.70433        4.34314     
  12601.0        1042.75        3460.63        7.70435        4.34232     
  12701.0        1046.90        3460.37        7.70251        4.34095     
  12801.0        1051.02        3459.71        7.69886        4.33901     
  12901.0        1055.12        3460.04        7.69973        4.33852     
  13001.0        1059.20        3459.09        7.69471        4.33612     
  13101.0        1063.26        3458.85        7.69299        4.33480     
  13201.0        1067.29        3458.85        7.69242        4.33388     
  13301.0        1071.31        3458.63        7.69075        4.33259     
  13401.0        1075.30        3458.25        7.68834        4.33103     
  13501.0        1079.27        3458.09        7.68699        4.32985     
  13601.0        1083.21        3457.60        7.68401        4.32811     
  13701.0        1087.14        3457.64        7.68365        4.32728     
  13801.0        1091.04        3457.26        7.68121        4.32572     
  13901.0        1094.93        3457.04        7.67958        4.32446     
  14001.0        1098.79        3457.06        7.67911        4.32360     
  14101.0        1102.63        3457.32        7.67984        4.32317     
  14201.0        1106.45        3456.37        7.67460        4.32065     
  14301.0        1110.25        3456.16        7.67301        4.31941     
  14401.0        1114.02        3456.65        7.67489        4.31939     
  14501.0        1117.78        3456.46        7.67340        4.31820     
  14601.0        1121.51        3456.29        7.67203        4.31704     
  14701.0        1125.23        3456.11        7.67057        4.31586     
  14801.0        1128.92        3456.01        7.66933        4.31470     
  14901.0        1132.60        3454.50        7.66150        4.31139     
  15001.0        1136.25        3455.96        7.66797        4.31293     
  15101.0        1139.88        3455.87        7.66699        4.31194     
  15201.0        1143.50        3455.70        7.66562        4.31080     
  15301.0        1147.09        3455.51        7.66416        4.30964     
  15401.0        1150.66        3455.36        7.66286        4.30854     
  15501.0        1154.22        3455.18        7.66143        4.30740     
  15601.0        1157.75        3454.86        7.65928        4.30601     
  15701.0        1161.26        3454.95        7.65923        4.30536     
  15801.0        1164.76        3454.81        7.65801        4.30429     
  15901.0        1168.23        3454.67        7.65676        4.30323     
  16001.0        1171.68        3454.54        7.65560        4.30219     
  16101.0        1175.12        3454.38        7.65427        4.30110     
  16201.0        1178.54        3454.21        7.65284        4.29999     
  16301.0        1181.93        3454.10        7.65181        4.29900     
  16401.0        1185.31        3453.93        7.65041        4.29789     
  16501.0        1188.67        3453.86        7.64957        4.29698     
  16601.0        1192.01        3453.73        7.64838        4.29596     
  16701.0        1195.33        3453.60        7.64721        4.29494     
  16801.0        1198.63        3453.41        7.64571        4.29381     
  16901.0        1201.91        3453.31        7.64469        4.29285     
  17001.0        1205.18        3453.18        7.64350        4.29183     
  17101.0        1208.43        3452.29        7.63848        4.28946     
  17201.0        1211.65        3452.82        7.64066        4.28964     
  17301.0        1214.86        3452.85        7.64029        4.28892     
  17401.0        1218.06        3452.72        7.63913        4.28793     
  17501.0        1221.23        3452.60        7.63799        4.28694     
  17601.0        1224.38        3452.11        7.63504        4.28532     
  17701.0        1227.52        3451.98        7.63383        4.28432     
  17801.0        1230.64        3451.84        7.63262        4.28332     
  17901.0        1233.74        3452.03        7.63306        4.28289     
  18001.0        1236.83        3451.74        7.63107        4.28162     
  18101.0        1239.89        3451.80        7.63089        4.28099     
  18201.0        1242.94        3451.25        7.62757        4.27926     
  18301.0        1245.97        3451.10        7.62633        4.27826     
  18401.0        1248.99        3450.96        7.62510        4.27727     
  18501.0        1251.98        3451.94        7.62959        4.27827     
  18601.0        1254.96        3451.90        7.62884        4.27745     
  18701.0        1257.93        3451.85        7.62810        4.27664     
  18801.0        1260.87        3451.81        7.62738        4.27583     
  18901.0        1263.80        3451.79        7.62680        4.27508     
  19001.0        1266.71        3451.72        7.62592        4.27422     
  19101.0        1269.61        3451.66        7.62512        4.27339     
  19201.0        1272.48        3451.63        7.62446        4.27262     
  19301.0        1275.34        3451.41        7.62284        4.27151     
  19401.0        1278.19        3451.29        7.62174        4.27058     
  19501.0        1281.02        3451.18        7.62065        4.26966     
  19601.0        1283.83        3451.07        7.61957        4.26875     
  19701.0        1286.63        3450.12        7.61422        4.26635     
  19801.0        1289.40        3450.95        7.61797        4.26713     
  19901.0        1292.17        3450.86        7.61700        4.26627     
  20001.0        1294.91        3450.77        7.61605        4.26541     
  20101.0        1297.65        3450.96        7.61657        4.26507     
  20201.0        1300.36        3450.90        7.61575        4.26427     
  20301.0        1303.06        3450.84        7.61495        4.26347     
  20401.0        1305.74        3450.56        7.61300        4.26227     
  20501.0        1308.41        3450.73        7.61337        4.26189     
  20601.0        1311.06        3450.67        7.61261        4.26111     
  20701.0        1313.70        3450.58        7.61160        4.26025     
  20801.0        1316.32        3450.67        7.61157        4.25973     
  20901.0        1318.93        3450.68        7.61113        4.25907     
  21001.0        1321.52        3450.42        7.60927        4.25792     
  21101.0        1324.09        3450.51        7.60926        4.25741     
  21201.0        1326.65        3450.61        7.60925        4.25692     
  21301.0        1329.20        3450.70        7.60925        4.25643     
  21401.0        1331.73        3450.66        7.60855        4.25569     
  21501.0        1334.24        3450.39        7.60669        4.25454     
  21601.0        1336.74        3450.13        7.60486        4.25341     
  21701.0        1339.23        3449.88        7.60304        4.25229     
  21801.0        1341.70        3449.62        7.60124        4.25117     
  21901.0        1344.16        3450.57        7.60564        4.25224     
  22001.0        1346.60        3450.54        7.60501        4.25154     
  22101.0        1349.02        3450.52        7.60439        4.25085     
  22201.0        1351.44        3450.49        7.60379        4.25016     
  22301.0        1353.83        3450.47        7.60320        4.24948     
  22401.0        1356.22        3450.46        7.60262        4.24880     
  22501.0        1358.59        3450.44        7.60205        4.24814     
  22601.0        1360.94        3451.21        7.60551        4.24888     
  22701.0        1363.29        3451.26        7.60528        4.24834     
  22801.0        1365.61        3451.30        7.60498        4.24777     
  22901.0        1367.93        3451.31        7.60459        4.24717     
  23001.0        1370.23        3451.34        7.60421        4.24658     
  23101.0        1372.51        3451.36        7.60384        4.24600     
  23201.0        1374.78        3451.38        7.60349        4.24542     
