|6.6.6
mars_kc08_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        309.347        100.000                 NaN   12.7209                 NaN            NaN   22.2410        3.75220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        100.000                 NaN   12.7202                 NaN            NaN   22.2396        3.75224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        100.000                 NaN   12.7205                 NaN            NaN   22.2390        3.75222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        100.000                 NaN   12.7213                 NaN            NaN   22.2390        3.75214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        100.000                 NaN   12.7214                 NaN            NaN   22.2386        3.75207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        100.000                 NaN   12.7219                 NaN            NaN   22.2383        3.75202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        100.000                 NaN   12.7214                 NaN            NaN   22.2369        3.75211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        100.000                 NaN   12.7217                 NaN            NaN   22.2364        3.75208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        100.000                 NaN   12.7225                 NaN            NaN   22.2363        3.75195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        100.000                 NaN   12.7226                 NaN            NaN   22.2355        3.75195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        100.000                 NaN   12.7232                 NaN            NaN   22.2352        3.75192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        100.000                 NaN   12.7229                 NaN            NaN   22.2337        3.75176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        100.000                 NaN   12.7232                 NaN            NaN   22.2331        3.75174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        100.000                 NaN   12.7225                 NaN            NaN   22.2316        3.75212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        100.000                 NaN   12.7227                 NaN            NaN   22.2310        3.75211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        100.000                 NaN   12.7230                 NaN            NaN   22.2303        3.75210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        100.000                 NaN   12.7232                 NaN            NaN   22.2297        3.75209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        100.000                 NaN   12.7231                 NaN            NaN   22.2287        3.75209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844        100.000                 NaN   12.7238                 NaN            NaN   22.2285        3.75206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207        100.000                 NaN   12.7239                 NaN            NaN   22.2277        3.75206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        398.559        100.000                 NaN   12.7239                 NaN            NaN   22.2269        3.75205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        402.900        100.000                 NaN   39.9358                 NaN            NaN   39.9358        30.8314                 NaN   27.0242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        407.230        100.000                 NaN   39.9343                 NaN            NaN   39.9343        30.8296                 NaN   27.0224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        411.548        100.000                 NaN   39.9327                 NaN            NaN   39.9327        30.8276                 NaN   27.0205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
