|6.6.6
mars_s99_atl_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        597.617        3475.89        7.81620        4.45635     
  10501.0        600.360        3475.93        7.81581        4.45577     
  10601.0        603.099        3475.96        7.81542        4.45519     
  10701.0        605.833        3476.00        7.81502        4.45461     
  10801.0        608.561        3476.03        7.81464        4.45404     
  10901.0        611.285        3476.07        7.81425        4.45346     
  11001.0        614.004        3476.11        7.81386        4.45288     
  11101.0        616.717        3476.14        7.81348        4.45231     
  11201.0        619.426        3476.18        7.81310        4.45173     
  11301.0        622.130        3476.22        7.81272        4.45116     
  11401.0        624.828        3476.26        7.81234        4.45059     
  11501.0        627.522        3476.29        7.81196        4.45002     
  11601.0        630.211        3476.33        7.81158        4.44945     
  11701.0        632.895        3476.37        7.81121        4.44888     
  11801.0        635.573        3476.41        7.81084        4.44831     
  11901.0        638.247        3476.45        7.81047        4.44774     
  12001.0        640.916        3476.49        7.81010        4.44718     
  12101.0        643.580        3476.53        7.80974        4.44661     
  12201.0        646.239        3476.57        7.80937        4.44605     
  12301.0        648.893        3476.61        7.80901        4.44548     
  12401.0        651.543        3476.65        7.80865        4.44492     
  12501.0        654.187        3476.73        7.80829        4.44416     
  12601.0        656.826        3476.77        7.80794        4.44360     
  12701.0        659.461        3476.81        7.80758        4.44304     
  12801.0        662.090        3476.85        7.80723        4.44248     
  12901.0        664.715        3476.90        7.80688        4.44193     
  13001.0        667.335        3476.94        7.80653        4.44137     
  13101.0        669.950        3476.98        7.80618        4.44081     
  13201.0        672.560        3477.03        7.80584        4.44026     
  13301.0        675.165        3477.07        7.80549        4.43971     
  13401.0        677.766        3477.11        7.80515        4.43915     
  13501.0        680.361        3477.16        7.80481        4.43860     
  13601.0        682.952        3477.20        7.80448        4.43805     
  13701.0        685.538        3477.25        7.80414        4.43750     
  13801.0        688.119        3477.30        7.80381        4.43695     
  13901.0        690.695        3476.86        7.80060        4.43470     
  14001.0        693.267        3476.91        7.80027        4.43416     
  14101.0        695.833        3476.95        7.79995        4.43361     
  14201.0        698.395        3477.00        7.79962        4.43307     
  14301.0        700.952        3477.05        7.79930        4.43253     
  14401.0        703.504        3477.10        7.79898        4.43198     
  14501.0        706.052        3477.15        7.79866        4.43144     
  14601.0        708.594        3477.20        7.79835        4.43091     
  14701.0        711.132        3477.24        7.79803        4.43037     
  14801.0        713.665        3477.29        7.79772        4.42983     
  14901.0        716.194        3477.34        7.79741        4.42930     
  15001.0        718.717        3477.39        7.79710        4.42876     
  15101.0        721.236        3477.64        7.79775        4.42862     
  15201.0        723.750        3477.69        7.79744        4.42809     
  15301.0        726.259        3477.75        7.79714        4.42756     
  15401.0        728.764        3477.64        7.79601        4.42660     
  15501.0        731.264        3477.80        7.79624        4.42631     
  15601.0        733.759        3477.85        7.79591        4.42575     
  15701.0        736.250        3477.89        7.79558        4.42519     
  15801.0        738.735        3477.93        7.79526        4.42463     
  15901.0        741.216        3477.98        7.79494        4.42408     
  16001.0        743.693        3478.02        7.79462        4.42352     
  16101.0        746.165        3478.07        7.79428        4.42296     
  16201.0        748.632        3478.12        7.79398        4.42243     
  16301.0        751.094        3478.17        7.79370        4.42191     
  16401.0        753.552        3478.23        7.79342        4.42139     
  16501.0        756.005        3478.01        7.79196        4.42034     
  16601.0        758.453        3478.16        7.79209        4.41995     
  16701.0        760.897        3478.08        7.79120        4.41919     
  16801.0        763.336        3478.08        7.79069        4.41856     
  16901.0        765.770        3478.08        7.79016        4.41793     
  17001.0        768.200        3478.08        7.78965        4.41730     
  17101.0        770.625        3478.09        7.78915        4.41668     
  17201.0        773.046        3478.29        7.78957        4.41642     
  17301.0        775.462        3478.56        7.79026        4.41627     
  17401.0        777.873        3478.30        7.78855        4.41514     
  17501.0        780.280        3478.36        7.78830        4.41462     
  17601.0        782.682        3478.63        7.78904        4.41452     
  17701.0        785.079        3478.67        7.78870        4.41397     
  17801.0        787.472        3478.71        7.78837        4.41342     
  17901.0        789.861        3478.90        7.78873        4.41314     
  18001.0        792.244        3478.96        7.78846        4.41261     
  18101.0        794.624        3479.02        7.78826        4.41212     
  18201.0        796.998        3479.06        7.78791        4.41156     
  18301.0        799.369        3479.12        7.78764        4.41104     
  18401.0        801.734        3479.17        7.78738        4.41051     
  18501.0        804.095        3479.21        7.78704        4.40996     
  18601.0        806.452        3479.27        7.78679        4.40944     
  18701.0        808.804        3479.32        7.78654        4.40893     
  18801.0        811.151        3479.38        7.78629        4.40841     
  18901.0        813.494        3479.44        7.78605        4.40790     
  19001.0        815.833        3479.50        7.78581        4.40739     
  19101.0        818.167        3479.56        7.78557        4.40688     
  19201.0        820.496        3479.62        7.78533        4.40637     
  19301.0        822.821        3479.67        7.78507        4.40585     
  19401.0        825.141        3479.73        7.78480        4.40533     
  19501.0        827.457        3479.78        7.78454        4.40481     
  19601.0        829.769        3479.83        7.78427        4.40429     
  19701.0        832.076        3479.89        7.78401        4.40377     
  19801.0        834.378        3479.96        7.78385        4.40330     
  19901.0        836.677        3480.02        7.78361        4.40279     
  20001.0        838.970        3480.08        7.78336        4.40228     
  20101.0        841.260        3480.13        7.78309        4.40176     
  20201.0        843.544        3480.18        7.78282        4.40124     
  20301.0        845.825        3480.23        7.78254        4.40072     
  20401.0        848.101        3480.28        7.78228        4.40021     
  20501.0        850.372        3480.34        7.78201        4.39969     
  20601.0        852.639        3480.39        7.78175        4.39918     
  20701.0        854.902        3480.44        7.78149        4.39867     
  20801.0        857.160        3480.50        7.78123        4.39815     
  20901.0        859.414        3480.55        7.78097        4.39764     
  21001.0        861.664        3480.60        7.78072        4.39714     
  21101.0        863.909        3480.66        7.78047        4.39663     
  21201.0        866.149        3480.72        7.78022        4.39612     
  21301.0        868.386        3480.77        7.77998        4.39562     
  21401.0        870.618        3480.83        7.77973        4.39512     
  21501.0        872.845        3480.88        7.77949        4.39462     
  21601.0        875.069        3480.94        7.77926        4.39412     
  21701.0        877.288        3481.14        7.77966        4.39387     
  21801.0        879.502        3481.20        7.77945        4.39338     
  21901.0        881.712        3481.27        7.77925        4.39290     
  22001.0        883.918        3481.33        7.77905        4.39241     
  22101.0        886.120        3481.40        7.77885        4.39193     
  22201.0        888.317        3481.46        7.77865        4.39145     
  22301.0        890.510        3481.53        7.77846        4.39097     
  22401.0        892.699        3481.59        7.77827        4.39049     
  22501.0        894.883        3481.66        7.77808        4.39001     
  22601.0        897.063        3481.73        7.77789        4.38953     
  22701.0        899.239        3481.80        7.77770        4.38906     
  22801.0        901.410        3481.83        7.77737        4.38853     
  22901.0        903.578        3481.91        7.77726        4.38808     
  23001.0        905.741        3481.97        7.77704        4.38759     
  23101.0        907.899        3482.03        7.77681        4.38711     
  23201.0        910.054        3482.09        7.77659        4.38662     
  23301.0        912.204        3482.15        7.77638        4.38614     
  23401.0        914.350        3482.21        7.77616        4.38565     
  23501.0        916.491        3482.27        7.77595        4.38517     
  23601.0        918.629        3482.33        7.77574        4.38469     
  23701.0        920.762        3482.56        7.77630        4.38451     
  23801.0        922.891        3482.64        7.77618        4.38406     
  23901.0        925.016        3482.72        7.77605        4.38362     
  24001.0        927.136        3482.80        7.77593        4.38317     
  24101.0        929.252        3482.88        7.77582        4.38273     
  24201.0        931.364        3482.96        7.77570        4.38229     
