|6.6.6
mars_s99_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  2501.00        364.410        13.2781                 NaN   44.1009                 NaN   8.12330                 NaN            NaN            NaN            NaN  0.732082        33.7657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        13.1747                 NaN   44.1152                 NaN   8.19263                 NaN            NaN            NaN            NaN  0.776931        33.7406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        13.1637                 NaN   44.1130                 NaN   8.19937                 NaN            NaN            NaN            NaN  0.776764        33.7472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        13.1530                 NaN   44.1107                 NaN   8.20603                 NaN            NaN            NaN            NaN  0.776557        33.7537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        13.1423                 NaN   44.1084                 NaN   8.21251                 NaN            NaN            NaN            NaN  0.776201        33.7606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        13.1323                 NaN   44.1061                 NaN   8.21870                 NaN            NaN            NaN            NaN  0.775707        33.7672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        13.1174                 NaN   44.1031                 NaN   8.22777                 NaN            NaN            NaN            NaN  0.776116        33.7756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        13.1048                 NaN   44.1004                 NaN   8.23536                 NaN            NaN            NaN            NaN  0.776029        33.7834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        13.0873                 NaN   44.0955                 NaN   8.24609                 NaN            NaN            NaN            NaN  0.775566        33.7955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667        13.0968                 NaN   44.0997                 NaN   8.23954                 NaN            NaN            NaN            NaN  0.774818        33.7892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779        13.0959                 NaN   44.1006                 NaN   8.23967                 NaN            NaN            NaN            NaN  0.774831        33.7890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885        13.1748                 NaN   44.1216                 NaN   8.18862                 NaN            NaN            NaN            NaN  0.767983        33.7469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        13.0252                 NaN   44.0797                 NaN   8.28460                 NaN            NaN            NaN            NaN  0.774997        33.8355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        13.0107                 NaN   44.0761                 NaN   8.29378                 NaN            NaN            NaN            NaN  0.775003        33.8444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        12.9957                 NaN   44.0719                 NaN   8.30327                 NaN            NaN            NaN            NaN  0.774608        33.8546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        12.9819                 NaN   44.0696                 NaN   8.31178                 NaN            NaN            NaN            NaN  0.776008        33.8607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        12.9662                 NaN   44.0647                 NaN   8.32093                 NaN            NaN            NaN            NaN  0.774131        33.8741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        12.9653                 NaN   44.0656                 NaN   8.32106                 NaN            NaN            NaN            NaN  0.774144        33.8739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        12.9664                 NaN   44.0652                 NaN   8.32072                 NaN            NaN            NaN            NaN  0.771863        33.8759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541        12.9655                 NaN   44.0661                 NaN   8.32085                 NaN            NaN            NaN            NaN  0.771876        33.8757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599                 NaN            NaN   39.3752                 NaN   8.32540        8.27236                 NaN            NaN            NaN  0.805164        43.2219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651                 NaN            NaN   39.3758                 NaN   8.25413        8.34567                 NaN            NaN            NaN  0.805002        43.2193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697                 NaN            NaN   39.3763                 NaN   8.25419        8.34571                 NaN            NaN            NaN  0.805009        43.2188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        12.7789                 NaN   44.0078                 NaN   8.43899                 NaN            NaN            NaN            NaN  0.773495        34.0008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        12.7781                 NaN   44.0087                 NaN   8.43911                 NaN            NaN            NaN            NaN  0.773508        34.0007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        12.7772                 NaN   44.0095                 NaN   8.43924                 NaN            NaN            NaN            NaN  0.773521        34.0005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        12.7764                 NaN   44.0104                 NaN   8.43937                 NaN            NaN            NaN            NaN  0.773535        34.0003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        12.7755                 NaN   44.0113                 NaN   8.43950                 NaN            NaN            NaN            NaN  0.773548        34.0002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        450.864                 NaN            NaN   39.3828                 NaN   8.35511        8.24639                 NaN            NaN            NaN  0.804356        43.2113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        453.873                 NaN            NaN   39.3833                 NaN   8.35515        8.24645                 NaN            NaN            NaN  0.804363        43.2107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        456.876                 NaN            NaN   39.3838                 NaN   8.35519        8.24651                 NaN            NaN            NaN  0.804370        43.2102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875                 NaN            NaN   39.3848                 NaN   8.36135        8.24095                 NaN            NaN            NaN  0.804004        43.2089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867                 NaN            NaN   39.3853                 NaN   8.36139        8.24101                 NaN            NaN            NaN  0.804011        43.2083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855                 NaN            NaN   39.3859                 NaN   8.23506        8.36792                 NaN            NaN            NaN  0.803562        43.2075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837                 NaN            NaN   39.3864                 NaN   8.23512        8.36796                 NaN            NaN            NaN  0.803570        43.2070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814                 NaN            NaN   39.3869                 NaN   8.23517        8.36800                 NaN            NaN            NaN  0.803577        43.2064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
