|6.6.6
mars_lf97_2.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Gt             C2/c           Wad            Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        14.2591        55.6402        23.4133        6.68742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        14.2328        55.6325        23.4270        6.70760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        14.2066        55.6248        23.4408        6.72777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        14.1804        55.6172        23.4545        6.74795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        14.1542        55.6095        23.4682        6.76813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        14.1286        55.6014        23.4818        6.78826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        14.1023        55.5937        23.4955        6.80845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        14.0760        55.5853        23.5102        6.82856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        14.0497        55.5776        23.5239        6.84874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        14.0231        55.5710        23.5369        6.86907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        13.9969        55.5633        23.5506        6.88926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        13.9706        55.5556        23.5644        6.90946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        13.9444        55.5478        23.5781        6.92965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        13.9182        55.5401        23.5918        6.94986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        13.8920        55.5324        23.6056        6.97006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        13.8658        55.5247        23.6193        6.99027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        13.8395        55.5169        23.6331        7.01047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        13.8133        55.5092        23.6468        7.03068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        13.7871        55.5015        23.6605        7.05090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        13.7609        55.4937        23.6743        7.07111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        13.7347        55.4860        23.6880        7.09133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        13.7085        55.4782        23.7018        7.11155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        13.6822        55.4705        23.7155        7.13177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        13.6560        55.4627        23.7293        7.15200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        13.6298        55.4549        23.7430        7.17222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        13.6036        55.4472        23.7568        7.19245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        13.5774        55.4394        23.7705        7.21268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        13.5512        55.4316        23.7843        7.23292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        13.5249        55.4239        23.7980        7.25315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        13.4987        55.4161        23.8118        7.27339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        13.4725        55.4083        23.8256        7.29363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        13.4463        55.4005        23.8393        7.31387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        13.4201        55.3927        23.8531        7.33412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        13.3939        55.3849        23.8668        7.35437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        13.3677        55.3771        23.8806        7.37462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
