|6.6.6
mars_s99_atm_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  2501.00        420.152        13.1798                 NaN   44.1003                 NaN   8.19096                 NaN            NaN            NaN            NaN  0.752623        33.7764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        424.437        13.1668                 NaN   44.0965                 NaN   8.19899                 NaN            NaN            NaN            NaN  0.751722        33.7860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        428.711        13.1578                 NaN   44.0912                 NaN   8.20410                 NaN            NaN            NaN            NaN  0.747738        33.7992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        432.973        13.1431                 NaN   44.0891                 NaN   8.21333                 NaN            NaN            NaN            NaN  0.749017        33.8055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        437.225        13.1326                 NaN   44.0853                 NaN   8.21973                 NaN            NaN            NaN            NaN  0.747259        33.8151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        441.466        13.1192                 NaN   44.0815                 NaN   8.22802                 NaN            NaN            NaN            NaN  0.746442        33.8248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        445.695        13.1076                 NaN   44.0778                 NaN   8.23504                 NaN            NaN            NaN            NaN  0.744997        33.8345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        449.914        13.0947                 NaN   44.0740                 NaN   8.24299                 NaN            NaN            NaN            NaN  0.744025        33.8442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        454.121        13.0955                 NaN   44.0729                 NaN   8.24191                 NaN            NaN            NaN            NaN  0.740910        33.8487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        458.318        13.0620                 NaN   44.0609                 NaN   8.26295                 NaN            NaN            NaN            NaN  0.739231        33.8749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        462.503        13.0468                 NaN   44.0541                 NaN   8.27211                 NaN            NaN            NaN            NaN  0.736272        33.8908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        466.678        13.0182                 NaN   44.0382                 NaN   8.28929                 NaN            NaN            NaN            NaN  0.729154        33.9252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        470.842        13.0058                 NaN   44.0406                 NaN   8.29775                 NaN            NaN            NaN            NaN  0.734313        33.9215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        474.994        13.0547                 NaN   44.0183                 NaN   8.26108                 NaN            NaN            NaN            NaN  0.692962        33.9730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        479.136        12.9880                 NaN   44.0261                 NaN   8.30739                 NaN            NaN            NaN            NaN  0.722853        33.9557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        483.267        12.9559                 NaN   44.0199                 NaN   8.32823                 NaN            NaN            NaN            NaN  0.726552        33.9695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        487.388        12.9421                 NaN   44.0128                 NaN   8.33645                 NaN            NaN            NaN            NaN  0.722836        33.9858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        491.497        12.9259                 NaN   44.0059                 NaN   8.34630                 NaN            NaN            NaN            NaN  0.720098        34.0018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        495.596        12.9007                 NaN   43.9993                 NaN   8.36238                 NaN            NaN            NaN            NaN  0.721055        34.0165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        499.683        12.8756                 NaN   43.9928                 NaN   8.37845                 NaN            NaN            NaN            NaN  0.722021        34.0312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        503.761        12.7681                 NaN   43.9728                 NaN   8.44890                 NaN            NaN            NaN            NaN  0.739161        34.0710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        507.827        12.9732                 NaN   43.9255                 NaN   8.30468                 NaN            NaN            NaN            NaN  0.620324        34.1762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        511.883        12.9133                 NaN   43.9128                 NaN   8.34380                 NaN            NaN            NaN            NaN  0.627437        34.2027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        515.927        12.8660                 NaN   43.8990                 NaN   8.37428                 NaN            NaN            NaN            NaN  0.629252        34.2315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        519.962        12.4525                 NaN   43.8271                 NaN   8.64900                 NaN            NaN            NaN            NaN  0.705576        34.3658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        523.985        12.4096                 NaN   43.8113                 NaN   8.67595                 NaN            NaN            NaN            NaN  0.703734        34.3994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
