|6.6.6
mars_kc08_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        726.010        3475.23        7.90322        4.48769     
  10501.0        729.479        3475.12        7.90209        4.48666     
  10601.0        732.938        3475.02        7.90101        4.48563     
  10701.0        736.388        3474.95        7.90011        4.48468     
  10801.0        739.829        3474.86        7.89907        4.48368     
  10901.0        743.260        3474.80        7.89819        4.48272     
  11001.0        746.681        3474.71        7.89716        4.48173     
  11101.0        750.093        3474.56        7.89587        4.48066     
  11201.0        753.496        3474.46        7.89480        4.47966     
  11301.0        756.889        3474.36        7.89373        4.47866     
  11401.0        760.273        3474.26        7.89267        4.47766     
  11501.0        763.648        3474.16        7.89161        4.47667     
  11601.0        767.013        3474.23        7.89134        4.47593     
  11701.0        770.369        3474.14        7.89034        4.47495     
  11801.0        773.715        3474.06        7.88933        4.47398     
  11901.0        777.052        3473.97        7.88833        4.47301     
  12001.0        780.380        3473.88        7.88731        4.47204     
  12101.0        783.699        3473.79        7.88630        4.47107     
  12201.0        787.009        3473.69        7.88524        4.47010     
  12301.0        790.309        3473.65        7.88447        4.46922     
  12401.0        793.600        3473.57        7.88351        4.46827     
  12501.0        796.882        3473.49        7.88256        4.46734     
  12601.0        800.155        3473.42        7.88162        4.46640     
  12701.0        803.419        3473.34        7.88068        4.46547     
  12801.0        806.673        3473.27        7.87974        4.46454     
  12901.0        809.919        3473.20        7.87883        4.46363     
  13001.0        813.155        3473.00        7.87728        4.46247     
  13101.0        816.382        3472.94        7.87643        4.46157     
  13201.0        819.601        3472.88        7.87558        4.46068     
  13301.0        822.810        3472.83        7.87473        4.45979     
  13401.0        826.010        3472.77        7.87389        4.45890     
  13501.0        829.201        3472.72        7.87305        4.45801     
  13601.0        832.384        3472.66        7.87218        4.45710     
  13701.0        835.557        3472.61        7.87135        4.45622     
  13801.0        838.722        3472.50        7.87026        4.45525     
  13901.0        841.877        3472.47        7.86951        4.45441     
  14001.0        845.024        3472.32        7.86821        4.45337     
  14101.0        848.161        3472.20        7.86707        4.45239     
  14201.0        851.290        3472.08        7.86594        4.45142     
  14301.0        854.410        3472.03        7.86511        4.45056     
  14401.0        857.522        3471.92        7.86404        4.44961     
  14501.0        860.624        3472.05        7.86406        4.44904     
  14601.0        863.718        3471.98        7.86315        4.44815     
  14701.0        866.803        3471.91        7.86226        4.44726     
  14801.0        869.879        3471.85        7.86136        4.44637     
  14901.0        872.946        3471.78        7.86047        4.44549     
  15001.0        876.005        3471.71        7.85959        4.44462     
  15101.0        879.055        3471.78        7.85932        4.44394     
  15201.0        882.096        3471.72        7.85847        4.44308     
  15301.0        885.129        3471.67        7.85763        4.44222     
  15401.0        888.153        3471.61        7.85679        4.44136     
  15501.0        891.169        3471.54        7.85587        4.44047     
  15601.0        894.175        3471.49        7.85507        4.43963     
  15701.0        897.174        3471.44        7.85428        4.43879     
  15801.0        900.163        3470.23        7.84802        4.43627     
  15901.0        903.144        3470.20        7.84728        4.43545     
  16001.0        906.117        3471.37        7.85225        4.43649     
  16101.0        909.081        3471.33        7.85148        4.43567     
  16201.0        912.037        3471.29        7.85071        4.43484     
  16301.0        914.984        3471.25        7.84994        4.43402     
  16401.0        917.923        3471.21        7.84918        4.43321     
  16501.0        920.853        3470.98        7.84752        4.43201     
  16601.0        923.775        3470.93        7.84669        4.43117     
  16701.0        926.688        3471.08        7.84684        4.43067     
  16801.0        929.593        3471.05        7.84613        4.42987     
  16901.0        932.490        3471.02        7.84542        4.42908     
  17001.0        935.378        3470.99        7.84471        4.42829     
  17101.0        938.258        3470.96        7.84401        4.42751     
  17201.0        941.130        3470.93        7.84332        4.42672     
  17301.0        943.993        3470.90        7.84259        4.42593     
  17401.0        946.848        3470.86        7.84184        4.42513     
  17501.0        949.695        3470.82        7.84109        4.42433     
  17601.0        952.534        3470.78        7.84034        4.42353     
  17701.0        955.364        3470.75        7.83960        4.42274     
  17801.0        958.186        3470.71        7.83887        4.42195     
  17901.0        961.000        3470.67        7.83814        4.42116     
  18001.0        963.806        3469.01        7.82960        4.41774     
  18101.0        966.604        3470.58        7.83657        4.41956     
  18201.0        969.393        3470.54        7.83579        4.41876     
  18301.0        972.175        3470.60        7.83552        4.41813     
  18401.0        974.948        3470.58        7.83489        4.41739     
  18501.0        977.713        3470.57        7.83425        4.41664     
  18601.0        980.470        3470.55        7.83363        4.41590     
  18701.0        983.219        3470.54        7.83300        4.41516     
  18801.0        985.960        3470.53        7.83239        4.41442     
  18901.0        988.693        3470.51        7.83177        4.41369     
  19001.0        991.418        3470.50        7.83116        4.41296     
  19101.0        994.135        3470.49        7.83056        4.41223     
  19201.0        996.845        3470.48        7.82996        4.41150     
  19301.0        999.546        3470.47        7.82933        4.41077     
  19401.0        1002.24        3470.45        7.82867        4.41003     
  19501.0        1004.92        3470.43        7.82803        4.40929     
  19601.0        1007.60        3470.41        7.82739        4.40855     
  19701.0        1010.27        3470.39        7.82675        4.40782     
  19801.0        1012.93        3470.38        7.82612        4.40709     
  19901.0        1015.59        3470.36        7.82549        4.40636     
  20001.0        1018.23        3470.39        7.82505        4.40570     
  20101.0        1020.87        3470.38        7.82446        4.40498     
  20201.0        1023.50        3468.43        7.81448        4.40102     
  20301.0        1026.12        3468.44        7.81397        4.40034     
  20401.0        1028.74        3470.22        7.82199        4.40263     
  20501.0        1031.35        3470.22        7.82146        4.40195     
  20601.0        1033.94        3470.22        7.82093        4.40126     
  20701.0        1036.54        3469.85        7.81855        4.39992     
  20801.0        1039.12        3469.82        7.81786        4.39918     
  20901.0        1041.70        3469.79        7.81718        4.39845     
  21001.0        1044.27        3469.86        7.81694        4.39787     
  21101.0        1046.83        3469.83        7.81627        4.39714     
  21201.0        1049.38        3469.81        7.81561        4.39641     
  21301.0        1051.93        3469.81        7.81504        4.39572     
  21401.0        1054.46        3469.78        7.81439        4.39500     
  21501.0        1056.99        3469.76        7.81373        4.39428     
  21601.0        1059.52        3468.22        7.80569        4.39093     
  21701.0        1062.03        3468.14        7.80474        4.39010     
  21801.0        1064.54        3468.11        7.80403        4.38936     
  21901.0        1067.04        3468.05        7.80322        4.38859     
  22001.0        1069.53        3468.02        7.80251        4.38785     
  22101.0        1072.02        3467.98        7.80180        4.38711     
  22201.0        1074.50        3467.89        7.80077        4.38626     
  22301.0        1076.97        3467.86        7.80007        4.38553     
  22401.0        1079.43        3467.83        7.79937        4.38481     
  22501.0        1081.89        3466.85        7.79411        4.38247     
  22601.0        1084.34        3467.22        7.79537        4.38244     
  22701.0        1086.78        3467.28        7.79511        4.38188     
  22801.0        1089.21        3467.59        7.79603        4.38170     
  22901.0        1091.64        3469.79        7.80620        4.38489     
  23001.0        1094.06        3469.77        7.80556        4.38419     
  23101.0        1096.47        3469.78        7.80503        4.38354     
  23201.0        1098.87        3469.75        7.80439        4.38284     
  23301.0        1101.27        3469.76        7.80386        4.38219     
  23401.0        1103.66        3469.76        7.80333        4.38153     
  23501.0        1106.04        3469.74        7.80268        4.38083     
  23601.0        1108.42        3469.74        7.80215        4.38018     
  23701.0        1110.78        3467.22        7.78931        4.37506     
  23801.0        1113.15        3467.11        7.78825        4.37421     
  23901.0        1115.50        3467.19        7.78810        4.37370     
  24001.0        1117.85        3467.27        7.78795        4.37318     
  24101.0        1120.18        3467.99        7.79090        4.37378     
  24201.0        1122.52        3467.26        7.78678        4.37183     
  24301.0        1124.84        3467.34        7.78666        4.37133     
  24401.0        1127.16        3468.70        7.79271        4.37311     
  24501.0        1129.47        3467.52        7.78643        4.37034     
  24601.0        1131.78        3467.61        7.78632        4.36985     
  24701.0        1134.07        3467.70        7.78622        4.36935     
  24801.0        1136.36        3467.79        7.78612        4.36887     
  24901.0        1138.64        3467.88        7.78602        4.36838     
  25001.0        1140.92        3470.25        7.79716        4.37195     
  25101.0        1143.19        3467.83        7.78470        4.36698     
  25201.0        1145.45        3467.92        7.78462        4.36650     
  25301.0        1147.71        3469.27        7.79061        4.36832     
  25401.0        1149.95        3469.33        7.79039        4.36779     
  25501.0        1152.20        3471.44        7.80031        4.37085     
  25601.0        1154.43        3471.49        7.80001        4.37030     
  25701.0        1156.66        3471.53        7.79968        4.36974     
  25801.0        1158.88        3471.57        7.79933        4.36917     
  25901.0        1161.09        3471.60        7.79897        4.36860     
  26001.0        1163.30        3471.64        7.79863        4.36804     
  26101.0        1165.50        3471.68        7.79828        4.36747     
  26201.0        1167.69        3471.72        7.79795        4.36691     
  26301.0        1169.88        3471.76        7.79761        4.36636     
