|6.6.6
mars_ma79_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        309.347                 NaN   67.7168        21.4873                 NaN            NaN            NaN            NaN  0.998807                 NaN   9.50104       0.296077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918                 NaN   67.7155        21.4769                 NaN            NaN            NaN            NaN   1.01294                 NaN   9.50515       0.289600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476                 NaN   67.7173        21.4887                 NaN            NaN            NaN            NaN  0.995199                 NaN   9.50517       0.293661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023                 NaN   67.7214        21.5174                 NaN            NaN            NaN            NaN  0.953260                 NaN   9.50255       0.305352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558                 NaN   67.7195        21.5031                 NaN            NaN            NaN            NaN  0.975283                 NaN   9.50061       0.301485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082                 NaN   67.7237        21.5330                 NaN            NaN            NaN            NaN  0.930872                 NaN   9.50094       0.311503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594                 NaN   67.7241        21.5342                 NaN            NaN            NaN            NaN  0.929313                 NaN   9.50010       0.312339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095                 NaN   67.7251        21.5403                 NaN            NaN            NaN            NaN  0.920245                 NaN   9.49983       0.314560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584                 NaN   67.7258        21.5445                 NaN            NaN            NaN            NaN  0.913829                 NaN   9.49974       0.316033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061                 NaN   67.7267        21.5489                 NaN            NaN            NaN            NaN  0.907140                 NaN   9.49983       0.317455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
