|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  2601.00        495.510        25.0803                 NaN   96.7772                 NaN   35.2647                 NaN            NaN            NaN   25.0803        19.3144        19.3144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        25.0898                 NaN   96.7829                 NaN   35.2757                 NaN            NaN            NaN   25.0898        19.3266        19.3266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        25.0921                 NaN   96.7969                 NaN   35.3306                 NaN            NaN            NaN   25.0921        19.4142        19.4142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        25.3184                 NaN   96.8719                 NaN   35.4089                 NaN            NaN            NaN   25.3184        19.4191        19.4191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        25.1440                 NaN   96.8148                 NaN   35.3458                 NaN            NaN            NaN   25.1440        19.4074        19.4074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        25.2821                 NaN   96.8717                 NaN   35.4400                 NaN            NaN            NaN   25.2821        19.4875        19.4875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        25.1032                 NaN   96.8108                 NaN   35.3657                 NaN            NaN            NaN   25.1032        19.4606        19.4606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        25.3755                 NaN   96.8874                 NaN   35.4041                 NaN            NaN            NaN   25.3755        19.3805        19.3805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        25.2454                 NaN   96.8772                 NaN   35.4932                 NaN            NaN            NaN   25.2454        19.5913        19.5913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        25.1458                 NaN   96.8308                 NaN   35.3969                 NaN            NaN            NaN   25.1458        19.4869        19.4869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        25.2093                 NaN   96.8783                 NaN   35.5298                 NaN            NaN            NaN   25.2093        19.6682        19.6682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
