|6.6.6
mars_ma79_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        726.010        3524.63        8.14312        4.58708     
  10501.0        729.479        3524.63        8.14265        4.58631     
  10601.0        732.938        3524.63        8.14219        4.58554     
  10701.0        736.388        3524.71        8.14205        4.58498     
  10801.0        739.829        3524.73        8.14168        4.58427     
  10901.0        743.260        3524.76        8.14133        4.58357     
  11001.0        746.681        3524.79        8.14098        4.58288     
  11101.0        750.093        3524.76        8.14043        4.58209     
  11201.0        753.496        3524.77        8.14002        4.58138     
  11301.0        756.889        3524.78        8.13961        4.58066     
  11401.0        760.273        3524.82        8.13930        4.57998     
  11501.0        763.648        3524.83        8.13891        4.57928     
  11601.0        767.013        3524.75        8.13809        4.57826     
  11701.0        770.369        3524.76        8.13767        4.57754     
  11801.0        773.715        3525.53        8.14038        4.57884     
  11901.0        777.052        3524.79        8.13687        4.57612     
  12001.0        780.380        3524.87        8.13675        4.57560     
  12101.0        783.699        3525.29        8.13822        4.57646     
  12201.0        787.009        3524.86        8.13583        4.57412     
  12301.0        790.309        3524.94        8.13571        4.57358     
  12401.0        793.600        3524.92        8.13518        4.57281     
  12501.0        796.882        3524.99        8.13500        4.57225     
  12601.0        800.155        3525.01        8.13465        4.57158     
  12701.0        803.419        3525.02        8.13425        4.57092     
  12801.0        806.673        3525.07        8.13399        4.57027     
  12901.0        809.919        3525.08        8.13360        4.56960     
  13001.0        813.155        3525.13        8.13335        4.56898     
  13101.0        816.382        3525.15        8.13298        4.56833     
  13201.0        819.601        3525.20        8.13272        4.56771     
  13301.0        822.810        3524.95        8.13170        4.56743     
  13401.0        826.010        3525.23        8.13194        4.56635     
  13501.0        829.201        3525.27        8.13169        4.56576     
  13601.0        832.384        3525.32        8.13143        4.56517     
  13701.0        835.557        3525.31        8.13091        4.56428     
  13801.0        838.722        3525.25        8.13025        4.56353     
  13901.0        841.877        3525.19        8.12959        4.56278     
  14001.0        845.024        3525.16        8.12923        4.56243     
  14101.0        848.161        3525.07        8.12851        4.56175     
  14201.0        851.290        3524.99        8.12775        4.56085     
  14301.0        854.410        3524.93        8.12695        4.55970     
  14401.0        857.522        3524.83        8.12624        4.55906     
  14501.0        860.624        3524.76        8.12550        4.55816     
  14601.0        863.718        3524.68        8.12476        4.55727     
  14701.0        866.803        3524.64        8.12387        4.55570     
  14801.0        869.879        3524.57        8.12314        4.55483     
  14901.0        872.946        3524.50        8.12242        4.55397     
  15001.0        876.005        3524.43        8.12171        4.55310     
  15101.0        879.055        3524.36        8.12099        4.55224     
  15201.0        882.096        3524.29        8.12029        4.55137     
  15301.0        885.129        3524.22        8.11959        4.55052     
  15401.0        888.153        3524.16        8.11891        4.54968     
  15501.0        891.169        3524.09        8.11820        4.54882     
  15601.0        894.175        3524.03        8.11750        4.54797     
  15701.0        897.174        3523.97        8.11685        4.54715     
  15801.0        900.163        3523.90        8.11617        4.54632     
  15901.0        903.144        3523.84        8.11550        4.54549     
  16001.0        906.117        3523.78        8.11483        4.54467     
  16101.0        909.081        3523.72        8.11418        4.54386     
  16201.0        912.037        3523.66        8.11352        4.54304     
  16301.0        914.984        3523.61        8.11287        4.54223     
  16401.0        917.923        3523.55        8.11222        4.54143     
  16501.0        920.853        3523.49        8.11154        4.54059     
  16601.0        923.775        3523.43        8.11090        4.53978     
  16701.0        926.688        3523.37        8.11024        4.53897     
  16801.0        929.593        3523.32        8.10961        4.53817     
  16901.0        932.490        3523.27        8.10899        4.53738     
  17001.0        935.378        3523.23        8.10841        4.53664     
  17101.0        938.258        3523.18        8.10780        4.53586     
  17201.0        941.130        3523.13        8.10718        4.53506     
  17301.0        943.993        3523.08        8.10656        4.53428     
  17401.0        946.848        3523.03        8.10595        4.53351     
  17501.0        949.695        3522.98        8.10534        4.53273     
  17601.0        952.534        3522.93        8.10473        4.53196     
  17701.0        955.364        3522.88        8.10413        4.53119     
  17801.0        958.186        3522.84        8.10353        4.53042     
  17901.0        961.000        3522.79        8.10294        4.52966     
  18001.0        963.806        3522.74        8.10231        4.52890     
  18101.0        966.604        3522.69        8.10173        4.52816     
  18201.0        969.393        3522.65        8.10114        4.52741     
  18301.0        972.175        3522.63        8.10071        4.52675     
  18401.0        974.948        3522.59        8.10014        4.52601     
  18501.0        977.713        3522.56        8.09958        4.52528     
  18601.0        980.470        3522.52        8.09903        4.52454     
  18701.0        983.219        3522.48        8.09847        4.52380     
  18801.0        985.960        3522.44        8.09792        4.52308     
  18901.0        988.693        3522.41        8.09738        4.52236     
  19001.0        991.418        3522.37        8.09684        4.52164     
  19101.0        994.135        3522.34        8.09630        4.52092     
  19201.0        996.845        3522.31        8.09577        4.52021     
  19301.0        999.546        3522.28        8.09524        4.51950     
  19401.0        1002.24        3522.24        8.09471        4.51879     
  19501.0        1004.92        3522.21        8.09419        4.51808     
  19601.0        1007.60        3522.18        8.09367        4.51738     
  19701.0        1010.27        3522.15        8.09315        4.51668     
  19801.0        1012.93        3522.13        8.09264        4.51598     
  19901.0        1015.59        3522.10        8.09213        4.51529     
  20001.0        1018.23        3522.08        8.09166        4.51460     
  20101.0        1020.87        3522.06        8.09116        4.51392     
  20201.0        1023.50        3521.58        8.08886        4.51283     
  20301.0        1026.12        3521.56        8.08839        4.51215     
  20401.0        1028.74        3522.02        8.09002        4.51234     
  20501.0        1031.35        3522.00        8.08954        4.51167     
  20601.0        1033.94        3521.98        8.08907        4.51100     
  20701.0        1036.54        3521.91        8.08836        4.51020     
  20801.0        1039.12        3521.89        8.08789        4.50954     
  20901.0        1041.70        3521.87        8.08742        4.50887     
  21001.0        1044.27        3521.90        8.08715        4.50829     
  21101.0        1046.83        3521.88        8.08669        4.50764     
  21201.0        1049.38        3521.86        8.08624        4.50699     
  21301.0        1051.93        3521.72        8.08522        4.50608     
  21401.0        1054.46        3521.71        8.08477        4.50543     
  21501.0        1056.99        3521.69        8.08432        4.50478     
  21601.0        1059.52        3521.76        8.08416        4.50414     
  21701.0        1062.03        3521.16        8.08110        4.50237     
  21801.0        1064.54        3521.14        8.08064        4.50174     
  21901.0        1067.04        3521.20        8.08059        4.50134     
  22001.0        1069.53        3521.18        8.08012        4.50070     
  22101.0        1072.02        3521.26        8.07988        4.49986     
  22201.0        1074.50        3521.14        8.07923        4.49946     
  22301.0        1076.97        3521.12        8.07875        4.49882     
  22401.0        1079.43        3521.04        8.07800        4.49802     
  22501.0        1081.89        3521.33        8.07895        4.49809     
  22601.0        1084.34        3521.43        8.07907        4.49776     
  22701.0        1086.78        3521.07        8.07698        4.49630     
  22801.0        1089.21        3521.17        8.07692        4.49560     
  22901.0        1091.64        3521.66        8.07864        4.49591     
  23001.0        1094.06        3521.65        8.07824        4.49529     
  23101.0        1096.47        3521.64        8.07782        4.49468     
  23201.0        1098.87        3521.64        8.07744        4.49408     
  23301.0        1101.27        3521.64        8.07702        4.49347     
  23401.0        1103.66        3521.64        8.07664        4.49287     
  23501.0        1106.04        3521.63        8.07623        4.49227     
  23601.0        1108.42        3521.63        8.07585        4.49167     
  23701.0        1110.78        3521.08        8.07319        4.49022     
  23801.0        1113.15        3521.12        8.07296        4.48972     
  23901.0        1115.50        3521.11        8.07259        4.48915     
  24001.0        1117.85        3521.11        8.07222        4.48858     
  24101.0        1120.18        3521.12        8.07185        4.48801     
  24201.0        1122.52        3521.32        8.07224        4.48759     
  24301.0        1124.84        3521.32        8.07188        4.48703     
  24401.0        1127.16        3521.33        8.07153        4.48647     
  24501.0        1129.47        3521.34        8.07120        4.48592     
  24601.0        1131.78        3521.34        8.07085        4.48536     
  24701.0        1134.07        3521.35        8.07050        4.48481     
  24801.0        1136.36        3521.35        8.07016        4.48426     
  24901.0        1138.64        3521.36        8.06982        4.48371     
  25001.0        1140.92        3521.89        8.07179        4.48421     
  25101.0        1143.19        3521.90        8.07147        4.48366     
  25201.0        1145.45        3521.91        8.07113        4.48311     
  25301.0        1147.71        3521.51        8.06881        4.48149     
  25401.0        1149.95        3521.54        8.06856        4.48099     
  25501.0        1152.20        3521.98        8.07032        4.48157     
  25601.0        1154.43        3522.00        8.07004        4.48105     
  25701.0        1156.66        3522.02        8.06975        4.48053     
  25801.0        1158.88        3522.04        8.06947        4.48001     
  25901.0        1161.09        3522.06        8.06918        4.47949     
  26001.0        1163.30        3522.08        8.06890        4.47898     
  26101.0        1165.50        3522.11        8.06863        4.47847     
  26201.0        1167.69        3522.13        8.06835        4.47796     
  26301.0        1169.88        3522.15        8.06808        4.47745     
  26401.0        1172.06        3522.18        8.06782        4.47694     
  26501.0        1174.23        3522.20        8.06756        4.47644     
  26601.0        1176.39        3522.23        8.06730        4.47594     
  26701.0        1178.55        3522.26        8.06704        4.47544     
  26801.0        1180.71        3522.29        8.06679        4.47495     
  26901.0        1182.85        3522.31        8.06654        4.47445     
  27001.0        1184.99        3522.34        8.06629        4.47396     
  27101.0        1187.12        3522.37        8.06605        4.47347     
  27201.0        1189.25        3522.40        8.06581        4.47299     
  27301.0        1191.37        3522.44        8.06558        4.47250     
  27401.0        1193.48        3522.50        8.06549        4.47208     
  27501.0        1195.59        3522.54        8.06526        4.47161     
  27601.0        1197.68        3522.57        8.06505        4.47113     
  27701.0        1199.78        3522.61        8.06483        4.47066     
  27801.0        1201.86        3522.65        8.06462        4.47019     
  27901.0        1203.94        3522.68        8.06442        4.46973     
  28001.0        1206.02        3522.72        8.06421        4.46926     
  28101.0        1208.08        3522.76        8.06401        4.46880     
  28201.0        1210.14        3522.80        8.06380        4.46834     
  28301.0        1212.20        3522.84        8.06359        4.46788     
  28401.0        1214.24        3522.88        8.06339        4.46742     
  28501.0        1216.28        3522.91        8.06318        4.46697     
  28601.0        1218.32        3522.95        8.06299        4.46652     
  28701.0        1220.34        3522.99        8.06279        4.46607     
  28801.0        1222.37        3523.04        8.06260        4.46562     
  28901.0        1224.38        3523.08        8.06241        4.46517     
  29001.0        1226.39        3523.12        8.06223        4.46473     
  29101.0        1228.39        3523.16        8.06205        4.46429     
  29201.0        1230.39        3523.21        8.06187        4.46385     
  29301.0        1232.38        3523.25        8.06170        4.46342     
  29401.0        1234.36        3523.37        8.06184        4.46313     
  29501.0        1236.34        3523.43        8.06170        4.46271     
  29601.0        1238.31        3523.48        8.06156        4.46229     
  29701.0        1240.27        3523.53        8.06142        4.46187     
  29801.0        1242.23        3523.59        8.06129        4.46146     
  29901.0        1244.18        3523.64        8.06115        4.46105     
  30001.0        1246.13        3523.70        8.06103        4.46064     
  30101.0        1248.06        3523.75        8.06090        4.46023     
  30201.0        1250.00        3523.81        8.06078        4.45982     
  30301.0        1251.92        3523.87        8.06066        4.45942     
  30401.0        1253.85        3523.92        8.06054        4.45902     
  30501.0        1255.76        3523.98        8.06041        4.45861     
  30601.0        1257.67        3524.04        8.06029        4.45821     
  30701.0        1259.57        3524.10        8.06017        4.45781     
  30801.0        1261.47        3524.15        8.06006        4.45741     
  30901.0        1263.36        3524.21        8.05995        4.45702     
  31001.0        1265.24        3524.27        8.05984        4.45663     
  31101.0        1267.12        3524.33        8.05973        4.45623     
  31201.0        1268.99        3524.40        8.05963        4.45585     
  31301.0        1270.86        3524.45        8.05951        4.45545     
  31401.0        1272.71        3524.51        8.05940        4.45506     
  31501.0        1274.57        3524.59        8.05938        4.45472     
  31601.0        1276.42        3524.66        8.05930        4.45435     
  31701.0        1278.26        3524.73        8.05922        4.45398     
  31801.0        1280.09        3524.79        8.05915        4.45361     
  31901.0        1281.92        3524.86        8.05908        4.45324     
  32001.0        1283.75        3524.93        8.05902        4.45288     
  32101.0        1285.56        3525.00        8.05895        4.45252     
  32201.0        1287.38        3525.07        8.05888        4.45215     
  32301.0        1289.18        3525.14        8.05880        4.45179     
  32401.0        1290.98        3525.21        8.05874        4.45142     
  32501.0        1292.78        3525.28        8.05867        4.45106     
  32601.0        1294.57        3525.35        8.05861        4.45071     
  32701.0        1296.35        3525.42        8.05855        4.45035     
  32801.0        1298.12        3525.49        8.05849        4.45000     
  32901.0        1299.90        3525.56        8.05844        4.44964     
  33001.0        1301.66        3525.64        8.05839        4.44929     
  33101.0        1303.42        3525.71        8.05834        4.44895     
  33201.0        1305.17        3525.79        8.05830        4.44860     
  33301.0        1306.92        3525.86        8.05826        4.44826     
  33401.0        1308.66        3525.94        8.05822        4.44791     
  33501.0        1310.40        3526.01        8.05818        4.44757     
  33601.0        1312.13        3526.09        8.05815        4.44724     
  33701.0        1313.86        3526.17        8.05812        4.44690     
  33801.0        1315.57        3526.29        8.05826        4.44664     
  33901.0        1317.29        3526.37        8.05824        4.44632     
