|6.6.6
mars_lf97_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  2501.00        488.506        42.0282                 NaN   98.2732                 NaN   31.1110                 NaN            NaN            NaN   21.5587        21.5587        21.5587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        41.9598                 NaN   98.2250                 NaN   31.1332                 NaN            NaN            NaN   21.5166        21.5166        21.5166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        41.9763                 NaN   98.2355                 NaN   31.1410                 NaN            NaN            NaN   21.5311        21.5311        21.5311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        42.0456                 NaN   98.2620                 NaN   31.2623                 NaN            NaN            NaN   21.6224        21.6224        21.6224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        42.1962                 NaN   98.4024                 NaN   31.0214                 NaN            NaN            NaN   21.6476        21.6476        21.6476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        42.0981                 NaN   98.2768                 NaN   31.3887                 NaN            NaN            NaN   21.7013        21.7013        21.7013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        42.2569                 NaN   98.4011                 NaN   31.2820                 NaN            NaN            NaN   21.7803        21.7803        21.7803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        42.0934                 NaN   98.2976                 NaN   31.2565                 NaN            NaN            NaN   21.6530        21.6530        21.6530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        42.2091                 NaN   98.4263                 NaN   30.9509                 NaN            NaN            NaN   21.6341        21.6341        21.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        42.3313                 NaN   98.4079                 NaN   31.5511                 NaN            NaN            NaN   21.9248        21.9248        21.9248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        42.1449                 NaN   98.3252                 NaN   31.3103                 NaN            NaN            NaN   21.7081        21.7081        21.7081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        42.2368                 NaN   98.3651                 NaN   31.4423                 NaN            NaN            NaN   21.8195        21.8195        21.8195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        42.1838                 NaN   98.3478                 NaN   31.3396                 NaN            NaN            NaN   21.7460        21.7460        21.7460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        42.3733                 NaN   98.4472                 NaN   31.5022                 NaN            NaN            NaN   21.9379        21.9379        21.9379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        42.4580                 NaN   98.5017                 NaN   31.5175                 NaN            NaN            NaN   22.0042        22.0042        22.0042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        42.4907                 NaN   98.5063                 NaN   31.6239                 NaN            NaN            NaN   22.0636        22.0636        22.0636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        43.5310                 NaN   98.8472                 NaN   32.5248                 NaN            NaN            NaN   23.0500        23.0500        23.0500                 NaN  0.358949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953        43.5300                 NaN   98.8472                 NaN   32.5247                 NaN            NaN            NaN   23.0497        23.0497        23.0497                 NaN  0.358950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        46.9522                 NaN   100.000                 NaN   35.8567                 NaN            NaN            NaN   26.4546        26.4546        26.4546                 NaN   1.36941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        47.0639                 NaN   100.000                 NaN   36.1701                 NaN            NaN            NaN   26.6328        26.6328        26.6328                 NaN   1.40969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        47.0380                 NaN   100.000                 NaN   36.1316                 NaN            NaN            NaN   26.6043        26.6043        26.6043                 NaN   1.39175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        47.0362                 NaN   100.000                 NaN   36.1474                 NaN            NaN            NaN   26.6090        26.6090        26.6090                 NaN   1.38602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        46.9073                 NaN   100.000                 NaN   35.9511                 NaN            NaN            NaN   26.4673        26.4673        26.4673                 NaN   1.29279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        47.0374                 NaN   100.000                 NaN   36.1900                 NaN            NaN            NaN   26.6250        26.6250        26.6250                 NaN   1.37709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        46.9811                 NaN   100.000                 NaN   36.1040                 NaN            NaN            NaN   26.5624        26.5624        26.5624                 NaN   1.33717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        46.9832                 NaN   100.000                 NaN   36.1243                 NaN            NaN            NaN   26.5710        26.5710        26.5710                 NaN   1.33472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        46.9977                 NaN   100.000                 NaN   36.1810                 NaN            NaN            NaN   26.5996        26.5996        26.5996                 NaN   1.33612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        665.859        46.8938                 NaN   100.000                 NaN   36.0009                 NaN            NaN            NaN   26.4771        26.4771        26.4771                 NaN   1.26791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        671.976        46.8582                 NaN   100.000                 NaN   35.9313                 NaN            NaN            NaN   26.4307        26.4307        26.4307                 NaN   1.24763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        678.062        46.9243                 NaN   100.000                 NaN   36.0934                 NaN            NaN            NaN   26.5267        26.5267        26.5267                 NaN   1.27871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        684.118        46.8810                 NaN   100.000                 NaN   36.0215                 NaN            NaN            NaN   26.4764        26.4764        26.4764                 NaN   1.25002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        690.143        46.7961                 NaN   100.000                 NaN   35.8543                 NaN            NaN            NaN   26.3679        26.3679        26.3679                 NaN   1.20049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        696.137        46.6066                 NaN   100.000                 NaN   35.4476                 NaN            NaN            NaN   26.1137        26.1137        26.1137                 NaN   1.09865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        702.101        46.7195                 NaN   100.000                 NaN   35.8331                 NaN            NaN            NaN   26.3200        26.3200        26.3200                 NaN   1.11799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        708.034        46.4006                 NaN   100.000                 NaN   35.1577                 NaN            NaN            NaN   25.8968        25.8968        25.8968                 NaN  0.943242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        713.938        46.8163                 NaN   100.000                 NaN   35.9991                 NaN            NaN            NaN   26.4314        26.4314        26.4314                 NaN   1.18550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        719.811        46.9480                 NaN   100.000                 NaN   36.3851                 NaN            NaN            NaN   26.6436        26.6436        26.6436                 NaN   1.22568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        725.654        46.9532                 NaN   100.000                 NaN   36.4321                 NaN            NaN            NaN   26.6634        26.6634        26.6634                 NaN   1.21878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        731.468        46.9588                 NaN   100.000                 NaN   36.4800                 NaN            NaN            NaN   26.6838        26.6838        26.6838                 NaN   1.21205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        737.251        46.9491                 NaN   100.000                 NaN   36.5017                 NaN            NaN            NaN   26.6857        26.6857        26.6857                 NaN   1.19488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        743.005        47.0505                 NaN   100.000                 NaN   36.7655                 NaN            NaN            NaN   26.8372        26.8372        26.8372                 NaN   1.23688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        748.730        47.0578                 NaN   100.000                 NaN   36.8176                 NaN            NaN            NaN   26.8600        26.8600        26.8600                 NaN   1.23089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        754.426        47.0513                 NaN   100.000                 NaN   36.9066                 NaN            NaN            NaN   26.8878        26.8878        26.8878                 NaN   1.19721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        760.092        47.0924                 NaN   100.000                 NaN   37.1926                 NaN            NaN            NaN   27.0135        27.0135        27.0135                 NaN   1.16047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        765.729        46.9699                 NaN   100.000                 NaN   36.6486                 NaN            NaN            NaN   26.7539        26.7539        26.7539                 NaN   1.18218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
