|6.6.6
mars_bf97_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        301.774        5.55308                 NaN   75.6797                 NaN   10.0385                 NaN            NaN            NaN   5.33374        3.39502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        5.50822                 NaN   75.6782                 NaN   10.0688                 NaN            NaN            NaN   5.32735        3.41745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        5.49636                 NaN   75.6790                 NaN   10.0766                 NaN            NaN            NaN   5.32765        3.42042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        5.52125                 NaN   75.6812                 NaN   10.0595                 NaN            NaN            NaN   5.33267        3.40538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        5.52055                 NaN   75.6831                 NaN   10.0595                 NaN            NaN            NaN   5.33629        3.40064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        5.56074                 NaN   75.6875                 NaN   10.0315                 NaN            NaN            NaN   5.34677        3.37340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        5.56081                 NaN   75.6889                 NaN   10.0312                 NaN            NaN            NaN   5.34876        3.37029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        5.55916                 NaN   75.6901                 NaN   10.0320                 NaN            NaN            NaN   5.34995        3.36878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        5.55763                 NaN   75.6915                 NaN   10.0328                 NaN            NaN            NaN   5.35186        3.36628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        5.45110                 NaN   75.6896                 NaN   10.1046                 NaN            NaN            NaN   5.34322        3.41154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
