|6.6.6
mars_t13_atl_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10401.0        597.617        3507.51        7.95886        4.50465     
  10501.0        600.360        3507.53        7.95842        4.50405     
  10601.0        603.099        3507.54        7.95799        4.50345     
  10701.0        605.833        3507.56        7.95756        4.50285     
  10801.0        608.561        3507.57        7.95713        4.50225     
  10901.0        611.285        3507.59        7.95670        4.50165     
  11001.0        614.004        3507.60        7.95627        4.50105     
  11101.0        616.717        3507.62        7.95585        4.50045     
  11201.0        619.426        3507.64        7.95542        4.49986     
  11301.0        622.130        3507.65        7.95500        4.49926     
  11401.0        624.828        3507.67        7.95458        4.49867     
  11501.0        627.522        3507.69        7.95416        4.49807     
  11601.0        630.211        3507.71        7.95375        4.49748     
  11701.0        632.895        3507.73        7.95333        4.49689     
  11801.0        635.573        3507.74        7.95292        4.49630     
  11901.0        638.247        3507.76        7.95251        4.49571     
  12001.0        640.916        3507.78        7.95210        4.49512     
  12101.0        643.580        3507.80        7.95169        4.49453     
  12201.0        646.239        3507.82        7.95128        4.49395     
  12301.0        648.893        3507.84        7.95088        4.49336     
  12401.0        651.543        3507.86        7.95048        4.49278     
  12501.0        654.187        3507.84        7.94953        4.49133     
  12601.0        656.826        3507.86        7.94913        4.49074     
  12701.0        659.461        3507.44        7.94608        4.48795     
  12801.0        662.090        3507.46        7.94568        4.48737     
  12901.0        664.715        3507.48        7.94529        4.48680     
  13001.0        667.335        3507.50        7.94490        4.48622     
  13101.0        669.950        3507.53        7.94451        4.48564     
  13201.0        672.560        3507.55        7.94412        4.48507     
  13301.0        675.165        3507.98        7.94585        4.48587     
  13401.0        677.766        3508.01        7.94546        4.48530     
  13501.0        680.361        3508.03        7.94508        4.48473     
  13601.0        682.952        3508.05        7.94470        4.48415     
  13701.0        685.538        3508.08        7.94432        4.48358     
  13801.0        688.119        3508.11        7.94394        4.48301     
  13901.0        690.695        3507.96        7.94258        4.48164     
  14001.0        693.267        3508.00        7.94227        4.48110     
  14101.0        695.833        3508.01        7.94184        4.48046     
  14201.0        698.395        3508.03        7.94141        4.47981     
  14301.0        700.952        3508.04        7.94097        4.47916     
  14401.0        703.504        3508.06        7.94056        4.47853     
  14501.0        706.052        3508.08        7.94012        4.47788     
  14601.0        708.594        3508.09        7.93969        4.47725     
  14701.0        711.132        3508.11        7.93927        4.47661     
  14801.0        713.665        3508.13        7.93884        4.47596     
  14901.0        716.194        3508.12        7.93831        4.47532     
  15001.0        718.717        3508.12        7.93782        4.47464     
  15101.0        721.236        3508.13        7.93738        4.47400     
  15201.0        723.750        3508.20        7.93717        4.47343     
  15301.0        726.259        3508.22        7.93676        4.47280     
  15401.0        728.764        3508.23        7.93631        4.47215     
  15501.0        731.264        3508.25        7.93591        4.47153     
  15601.0        733.759        3508.27        7.93550        4.47090     
  15701.0        736.250        3508.23        7.93481        4.47018     
  15801.0        738.735        3508.24        7.93439        4.46955     
  15901.0        741.216        3508.26        7.93396        4.46893     
  16001.0        743.693        3508.28        7.93354        4.46830     
  16101.0        746.165        3508.39        7.93353        4.46780     
  16201.0        748.632        3508.37        7.93297        4.46719     
  16301.0        751.094        3508.43        7.93273        4.46657     
  16401.0        753.552        3508.45        7.93233        4.46595     
  16501.0        756.005        3508.47        7.93194        4.46534     
  16601.0        758.453        3508.49        7.93154        4.46473     
  16701.0        760.897        3508.52        7.93115        4.46412     
  16801.0        763.336        3508.54        7.93076        4.46351     
  16901.0        765.770        3508.56        7.93038        4.46290     
  17001.0        768.200        3508.59        7.92999        4.46229     
  17101.0        770.625        3508.61        7.92961        4.46168     
  17201.0        773.046        3508.64        7.92923        4.46108     
  17301.0        775.462        3508.66        7.92885        4.46048     
  17401.0        777.873        3508.47        7.92749        4.45962     
  17501.0        780.280        3508.50        7.92717        4.45904     
  17601.0        782.682        3508.73        7.92767        4.45867     
  17701.0        785.079        3508.75        7.92728        4.45807     
  17801.0        787.472        3508.77        7.92689        4.45748     
  17901.0        789.861        3508.85        7.92676        4.45697     
  18001.0        792.244        3508.88        7.92642        4.45639     
  18101.0        794.624        3508.92        7.92608        4.45581     
  18201.0        796.998        3508.95        7.92575        4.45524     
  18301.0        799.369        3508.98        7.92542        4.45467     
  18401.0        801.734        3509.02        7.92509        4.45409     
  18501.0        804.095        3509.05        7.92476        4.45352     
  18601.0        806.452        3509.09        7.92443        4.45295     
  18701.0        808.804        3509.12        7.92411        4.45238     
  18801.0        811.151        3509.16        7.92379        4.45182     
  18901.0        813.494        3509.20        7.92347        4.45125     
  19001.0        815.833        3509.24        7.92316        4.45069     
  19101.0        818.167        3509.27        7.92284        4.45013     
  19201.0        820.496        3509.31        7.92253        4.44956     
  19301.0        822.821        3509.35        7.92221        4.44900     
  19401.0        825.141        3509.38        7.92188        4.44844     
  19501.0        827.457        3509.42        7.92156        4.44787     
  19601.0        829.769        3509.45        7.92124        4.44731     
  19701.0        832.076        3509.49        7.92092        4.44675     
  19801.0        834.378        3509.54        7.92065        4.44620     
  19901.0        836.677        3509.58        7.92034        4.44565     
  20001.0        838.970        3509.62        7.92004        4.44509     
  20101.0        841.260        3509.65        7.91972        4.44454     
  20201.0        843.544        3509.69        7.91941        4.44399     
  20301.0        845.825        3509.73        7.91910        4.44344     
  20401.0        848.101        3509.76        7.91879        4.44289     
  20501.0        850.372        3509.80        7.91848        4.44235     
  20601.0        852.639        3509.84        7.91818        4.44180     
  20701.0        854.902        3509.88        7.91788        4.44126     
  20801.0        857.160        3509.92        7.91758        4.44071     
  20901.0        859.414        3509.96        7.91728        4.44017     
  21001.0        861.664        3510.00        7.91698        4.43963     
  21101.0        863.909        3510.04        7.91669        4.43910     
  21201.0        866.149        3510.08        7.91640        4.43856     
  21301.0        868.386        3510.12        7.91611        4.43802     
  21401.0        870.618        3510.16        7.91583        4.43749     
  21501.0        872.845        3510.21        7.91554        4.43696     
  21601.0        875.069        3510.25        7.91526        4.43643     
  21701.0        877.288        3510.36        7.91529        4.43599     
  21801.0        879.502        3510.41        7.91502        4.43547     
  21901.0        881.712        3510.45        7.91476        4.43494     
  22001.0        883.918        3510.50        7.91450        4.43442     
  22101.0        886.120        3510.55        7.91424        4.43390     
  22201.0        888.317        3510.60        7.91399        4.43338     
  22301.0        890.510        3510.65        7.91373        4.43287     
  22401.0        892.699        3510.70        7.91348        4.43235     
  22501.0        894.883        3510.75        7.91323        4.43184     
  22601.0        897.063        3510.80        7.91299        4.43132     
  22701.0        899.239        3510.85        7.91275        4.43081     
  22801.0        901.410        3510.89        7.91249        4.43030     
  22901.0        903.578        3510.94        7.91223        4.42979     
  23001.0        905.741        3510.99        7.91197        4.42928     
  23101.0        907.899        3511.04        7.91172        4.42877     
  23201.0        910.054        3511.08        7.91147        4.42826     
  23301.0        912.204        3511.13        7.91122        4.42775     
  23401.0        914.350        3511.18        7.91097        4.42725     
  23501.0        916.491        3511.23        7.91073        4.42675     
  23601.0        918.629        3511.28        7.91048        4.42624     
  23701.0        920.762        3511.41        7.91062        4.42588     
  23801.0        922.891        3511.47        7.91042        4.42539     
  23901.0        925.016        3511.53        7.91023        4.42491     
  24001.0        927.136        3511.59        7.91003        4.42442     
  24101.0        929.252        3511.65        7.90984        4.42394     
  24201.0        931.364        3511.71        7.90965        4.42346     
  24301.0        933.472        3511.77        7.90946        4.42298     
  24401.0        935.576        3511.84        7.90928        4.42251     
  24501.0        937.676        3511.90        7.90909        4.42203     
  24601.0        939.771        3511.96        7.90891        4.42156     
